SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
amusement_park;bn:03613750n,bn:00309788n;2;120,119;240,238;2,2;2;5;2;5;NA;NA;119;239;11.35824;20.32431;0.80888;0.15531;NA;7.50829;
amusement_park;bn:01826381n,bn:02064423n;2;267,121;534,242;2,3;2;5;2;5;NA;NA;119;239;28.90168;29.28117;0.79548;0.17476;NA;8.79984;
amusement_park;bn:03599600n,bn:02228272n;2;122,224;244,448;3,3;3;7;3;7;NA;NA;120;241;9.34050;24.97353;0.89680;0.20003;NA;7.09351;
amusement_park;bn:01296206n,bn:00547702n;2;120,121;240,242;2,2;2;5;2;5;NA;NA;119;239;6.46078;17.48948;0.66089;0.16203;NA;4.90895;
amusement_park;bn:00309788n,bn:04116179n;2;119,220;238,440;2,3;2;5;2;5;NA;NA;119;239;9.17915;24.56957;0.65889;0.17884;NA;6.89286;
amusement_park;bn:00423218n,bn:03571157n;2;294,120;588,240;2,2;2;5;2;5;NA;NA;120;241;9.67854;30.00090;0.69546;0.15510;NA;9.10003;
amusement_park;bn:01711175n,bn:03114652n;2;119,120;238,240;2,2;2;5;2;5;NA;NA;119;239;6.53374;18.24730;0.62948;0.15074;NA;6.22158;
amusement_park;bn:03647705n,bn:03156905n;2;120,236;240,471;3,5;3;7;3;7;NA;NA;120;241;10.67111;25.42266;0.80359;0.23043;NA;7.51272;
amusement_park;bn:00697414n,bn:14856685n;2;122,122;244,244;3,3;3;7;3;7;NA;NA;120;241;7.11946;18.18465;0.79816;0.19114;NA;5.11249;
amusement_park;bn:00615887n,bn:02948029n;2;121,119;242,238;3,2;2;5;2;5;NA;NA;119;239;6.93594;17.78848;0.03646;0.16393;NA;4.76628;
amusement_park;bn:00121485n,bn:02511049n;2;120,119;240,238;3,1;1;3;1;3;NA;NA;118;237;6.70128;21.98726;0.03085;0.13245;NA;4.76126;
