SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
championship;bn:16671738n,bn:15687080n,bn:01079189n;3;241,131,151;481,262,302;7,3,3;2;5;2;5;NA;NA;127;255;17.14593;102.10302;1.75841;0.42270;NA;13.04106;
championship;bn:16511218n,bn:01033356n,bn:00183259n;3;144,131,144;288,262,288;2,4,4;2;5;2;5;NA;NA;127;255;15.28068;30.01017;1.30043;0.37288;NA;11.35397;
championship;bn:14815182n,bn:02008377n,bn:04810599n;3;226,147,221;452,294,442;9,2,4;2;5;2;5;NA;NA;127;255;17.27951;133.09102;1.46201;0.47608;NA;14.57164;
championship;bn:01205048n,bn:14183079n,bn:04739413n;3;126,228,131;252,456,262;1,11,2;1;3;1;3;NA;NA;126;253;15.95939;98.62016;0.04831;0.37872;NA;12.43549;
championship;bn:04297276n,bn:02883759n,bn:02957811n;3;153,146,128;305,292,256;11,2,1;1;3;1;3;NA;NA;127;255;15.07638;30.77401;0.04414;0.38122;NA;11.31336;
championship;bn:01136091n,bn:17224343n,bn:03550542n;3;153,130,145;306,260,289;5,2,5;2;5;2;5;NA;NA;127;255;13.17346;30.56354;1.62509;0.40864;NA;11.30519;
championship;bn:04519908n,bn:01107610n,bn:14445031n;3;132,186,222;264,372,444;4,4,5;1;3;1;3;NA;NA;126;253;18.15076;106.03572;1.31471;0.48495;NA;13.54478;
championship;bn:03495854n,bn:02264198n,bn:18118579n;3;150,160,129;299,320,258;5,4,3;2;5;2;5;NA;NA;127;255;16.50702;32.79167;1.56542;0.40400;NA;12.39432;
championship;bn:14055964n,bn:00607862n,bn:03346709n;3;129,253,147;258,380,294;2,2,2;1;3;1;3;NA;NA;126;253;12.43692;36.74960;0.04853;0.24021;NA;12.70344;
championship;bn:17236494n,bn:14051909n,bn:02884061n;3;230,230,146;460,460,292;15,13,3;2;5;2;5;NA;NA;127;255;20.55261;103.44694;1.43679;0.74681;NA;15.48029;
championship;bn:02117328n,bn:04250196n,bn:14476133n;3;128,129,128;256,258,256;2,2,2;2;5;2;5;NA;NA;127;255;10.60264;24.56546;1.28292;0.29411;NA;10.57239;
championship;bn:01033353n,bn:17932740n,bn:04297625n;3;132,152,132;264,304,264;4,4,5;4;9;4;9;NA;NA;129;259;13.73052;31.66426;2.24090;0.48849;NA;10.90102;
championship;bn:17829689n,bn:14356521n,bn:01136060n;3;131,227,153;262,454,306;4,10,5;2;5;2;5;NA;NA;127;255;21.26929;106.66532;1.67601;0.56006;NA;12.99158;
championship;bn:04738651n,bn:01018414n,bn:15136864n;3;222,129,225;444,258,450;5,2,10;2;5;2;5;NA;NA;127;255;18.25478;97.24590;1.43929;0.49942;NA;14.70340;
championship;bn:01794270n,bn:14810565n,bn:02973386n;3;130,230,130;260,460,260;3,13,3;2;5;2;5;NA;NA;127;255;36.89019;105.37108;1.69598;0.55741;NA;13.77194;
championship;bn:01178543n,bn:16022449n,bn:02594612n;3;127,221,152;254,441,304;2,6,4;1;3;1;3;NA;NA;126;253;17.17576;101.61251;1.45107;0.40774;NA;12.97430;
championship;bn:02067153n,bn:14956161n,bn:01807355n;3;126,128,129;252,256,258;1,2,2;1;3;1;3;NA;NA;126;253;9.54457;24.62539;0.04279;0.21577;NA;10.47010;
championship;bn:14656429n,bn:16218403n,bn:16726831n;3;227,229,130;453,458,260;10,12,3;2;5;2;5;NA;NA;128;257;19.49886;100.73278;0.06876;0.62374;NA;14.40493;
championship;bn:00183371n,bn:16900523n,bn:00672805n;3;129,129,129;258,258,258;2,2,2;2;5;2;5;NA;NA;127;255;9.93351;24.74333;1.43124;0.29753;NA;10.35770;
