SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
company;bn:01302634n,bn:03617144n,bn:04115387n;3;209,208,347;418,416,694;4,4,8;4;9;4;9;NA;NA;193;387;26.89267;78.31068;20.24400;0.58442;NA;21.15948;
company;bn:07829397n,bn:00540246n,bn:01494115n;3;195,257,164;390,514,328;1,4,2;1;3;1;3;NA;NA;163;327;36.63070;53.83920;0.05327;0.26195;NA;17.50316;
company;bn:02531415n,bn:04749095n,bn:11116015n;3;238,239,242;476,477,484;4,11,3;2;5;2;5;NA;NA;196;393;21.36618;76.81283;2.98942;0.56844;NA;20.60031;
company;bn:01590422n,bn:00714454n,bn:16387211n;3;197,211,256;394,422,512;1,3,3;1;3;1;3;NA;NA;195;391;16.00866;71.09927;0.05347;0.25645;NA;18.91123;
company;bn:02385786n,bn:01474746n,bn:02404156n;3;208,203,256;416,406,512;1,8,3;1;3;1;3;NA;NA;195;391;26.66648;70.27402;0.05611;0.35590;NA;19.62613;
company;bn:13992334n,bn:00716480n,bn:02855318n;3;341,256,210;682,512,420;6,6,5;5;11;5;11;NA;NA;194;389;21.28225;76.28615;23.76118;0.68454;NA;41.17638;
company;bn:00546610n,bn:01581905n,bn:00199201n;3;341,298,263;682,596,526;7,4,5;3;7;3;7;NA;NA;192;385;25.71612;157.73576;6.86422;0.53353;NA;24.66955;
company;bn:01305795n,bn:03701003n,bn:15353057n;3;213,199,196;426,398,392;5,2,2;1;3;1;3;NA;NA;195;391;20.36191;64.82814;0.96572;0.35605;NA;17.71510;
company;bn:03796326n,bn:04792799n,bn:17060673n;3;200,243,209;400,485,418;3,14,1;1;3;1;3;NA;NA;195;391;25.19389;75.25040;0.05735;0.47122;NA;24.50512;
company;bn:00125891n,bn:05137267n,bn:04147062n;3;339,347,347;678,694,694;3,5,5;3;7;3;7;NA;NA;339;679;53.82004;194.13030;1.97644;0.45695;NA;30.27277;
company;bn:00194704n,bn:00337217n,bn:03887116n;3;264,204,246;528,407,492;1,9,3;1;3;1;3;NA;NA;195;391;23.06022;76.83636;0.05651;0.36215;NA;19.61232;
company;bn:01699058n,bn:00517725n,bn:12446604n;3;256,341,341;512,682,682;6,8,6;6;13;6;13;NA;NA;232;465;36.72482;90.91892;27.12732;0.67306;NA;26.02324;
company;bn:00533776n,bn:14130004n,bn:14514078n;3;204,197,196;407,394,392;7,3,2;1;3;1;3;NA;NA;195;391;19.73317;64.58033;0.94584;0.36320;NA;17.50695;
company;bn:00459677n,bn:04123998n,bn:03302049n;3;202,371,340;404,742,680;4,7,6;4;9;4;9;NA;NA;194;389;21.34474;82.78550;20.46169;0.61045;NA;25.09995;
company;bn:13948428n,bn:03201057n,bn:03731934n;3;219,238,255;438,476,510;2,4,2;2;5;2;5;NA;NA;196;393;17.46260;69.00192;2.48002;0.32819;NA;19.70607;
company;bn:03740628n,bn:15147983n,bn:08064113n;3;200,197,196;399,394,392;6,3,2;2;5;2;5;NA;NA;196;393;17.02515;68.90699;1.59184;0.41757;NA;36.56249;
company;bn:02528315n,bn:14442300n,bn:01968629n;3;245,341,164;490,682,328;3,3,1;1;3;1;3;NA;NA;163;327;25.45211;62.29173;0.05378;0.25637;NA;20.17764;
company;bn:01155889n,bn:03322749n,bn:02224774n;3;199,227,195;398,454,390;2,5,1;1;3;1;3;NA;NA;195;391;30.59600;74.19528;0.05667;0.28391;NA;17.74987;
company;bn:01626991n,bn:01259538n,bn:02869242n;3;310,197,164;619,394,328;8,3,2;1;3;1;3;NA;NA;163;327;22.22228;126.43256;1.53059;0.43171;NA;18.12767;
company;bn:03074195n,bn:01777333n,bn:00848726n;3;254,311,202;508,622,404;1,8,1;1;3;1;3;NA;NA;195;391;21.85414;145.17541;0.05840;0.31793;NA;21.75340;
company;bn:01956842n,bn:07756454n,bn:17578780n;3;206,195,200;412,390,400;5,1,5;1;3;1;3;NA;NA;195;391;21.13009;63.38926;0.05769;0.33363;NA;17.32880;
company;bn:07851550n,bn:02424600n,bn:14637330n;3;195,203,200;390,406,400;1,2,4;1;3;1;3;NA;NA;195;391;15.96783;60.04472;0.05606;0.27241;NA;17.40810;
company;bn:00265354n,bn:16225221n,bn:00312482n;3;321,209,197;639,418,394;13,2,1;1;3;1;3;NA;NA;196;393;21.71660;141.96549;1.43813;0.46235;NA;20.76239;
company;bn:03596753n,bn:01937898n,bn:03273231n;3;256,196,341;512,392,682;5,4,7;3;7;3;7;NA;NA;192;385;21.82756;75.48244;6.87944;0.52052;NA;43.27920;
company;bn:00753094n,bn:00568990n,bn:00764852n;3;196,339,304;392,678,608;4,5,4;3;7;3;7;NA;NA;192;385;20.56137;77.95543;6.84429;0.49001;NA;22.98893;
company;bn:01665758n,bn:02745356n,bn:17428279n;3;199,196,197;398,392,394;2,1,3;1;3;1;3;NA;NA;195;391;15.54381;58.83480;0.05425;0.23548;NA;17.04349;
company;bn:03569644n,bn:00960475n,bn:00766025n;3;198,256,212;395,512,424;4,3,3;1;3;1;3;NA;NA;195;391;19.56923;67.69397;0.06290;0.34644;NA;18.51605;
company;bn:17389660n,bn:01091076n,bn:07868033n;3;257,256,195;514,512,390;4,3,1;1;3;1;3;NA;NA;195;391;20.46387;66.26084;0.05681;0.27953;NA;39.00471;
company;bn:00547940n,bn:02578296n,bn:00541230n;3;339,306,341;678,612,682;5,12,6;3;7;3;7;NA;NA;192;385;27.16514;148.72632;8.10635;0.74007;NA;26.53590;
company;bn:03281102n,bn:14059534n,bn:16054436n;3;203,203,197;406,406,394;3,2,3;1;3;1;3;NA;NA;195;391;16.70364;60.07080;0.96911;0.33725;NA;17.88436;
company;bn:03096106n,bn:16496429n,bn:03572365n;3;245,208,256;490,416,512;8,4,6;4;9;4;9;NA;NA;180;361;21.13703;68.86856;20.50153;0.65078;NA;19.38679;
company;bn:03685557n,bn:07582496n,bn:03054387n;3;258,195,211;516,390,422;1,1,4;1;3;1;3;NA;NA;195;391;18.26737;68.17214;0.05609;0.23599;NA;38.92889;
company;bn:13864525n,bn:03358503n,bn:02087324n;3;197,214,210;394,428,420;3,2,2;1;3;1;3;NA;NA;195;391;16.37266;62.81233;0.05885;0.25655;NA;17.85303;
company;bn:04031369n,bn:01868320n,bn:10885692n;3;204,278,195;408,555,390;6,41,2;2;5;2;5;NA;NA;172;345;24.71286;62.62468;2.37718;1.14205;NA;18.83005;
company;bn:03250107n,bn:10800992n,bn:00816968n;3;340,255,256;680,510,512;4,5,3;1;3;1;3;NA;NA;163;327;23.84378;142.49837;1.42220;0.42448;NA;22.04411;
company;bn:01387650n,bn:02659643n,bn:01936875n;3;201,246,197;402,492,394;3,2,1;1;3;1;3;NA;NA;195;391;17.09390;69.58049;0.05607;0.24415;NA;38.29658;
company;bn:01350870n,bn:01057251n,bn:02617569n;3;221,256,214;442,512,428;1,3,1;1;3;1;3;NA;NA;195;391;16.35001;69.17256;0.06524;0.26133;NA;19.30676;
company;bn:03389176n,bn:02110046n,bn:15181192n;3;217,207,197;434,414,394;2,2,3;1;3;1;3;NA;NA;195;391;17.01662;65.73218;0.05653;0.26458;NA;17.82462;
company;bn:16950324n,bn:03596745n,bn:00736720n;3;196,256,164;392,512,328;2,3,1;1;3;1;3;NA;NA;163;327;17.14011;53.07604;0.05444;0.23763;NA;17.17401;
company;bn:01535239n,bn:00442776n,bn:01106655n;3;257,196,199;514,392,398;4,2,1;1;3;1;3;NA;NA;195;391;19.59642;68.77962;0.05579;0.26207;NA;39.23272;
company;bn:01928972n,bn:07783489n,bn:02077146n;3;344,196,196;688,392,392;8,4,4;3;7;3;7;NA;NA;192;385;22.64539;75.30475;7.47534;0.56133;NA;20.80115;
company;bn:03379332n,bn:01087777n,bn:14154840n;3;223,195,196;446,390,392;6,1,2;1;3;1;3;NA;NA;195;391;20.94855;64.68530;0.05632;0.29912;NA;17.95679;
company;bn:05321321n,bn:01132333n,bn:02292866n;3;218,253,217;436,506,434;7,5,5;4;9;4;9;NA;NA;180;361;21.75625;63.46779;20.52370;0.60207;NA;20.01334;
company;bn:03009355n,bn:01244451n,bn:17821289n;3;339,272,248;678,544,496;8,8,10;8;17;8;17;NA;NA;234;469;21.54069;92.72074;199.33301;1.28426;NA;44.06990;
company;bn:01823379n,bn:01997544n,bn:03521739n;3;197,257,238;394,514,476;3,4,2;2;5;2;5;NA;NA;196;393;32.41990;69.41227;1.62485;0.35504;NA;22.27631;
company;bn:01032580n,bn:15997818n,bn:17386435n;3;210,199,209;420,398,418;1,1,1;1;3;1;3;NA;NA;195;391;14.07644;62.80709;0.05463;0.17309;NA;17.29431;
company;bn:00539110n,bn:08145862n,bn:00541202n;3;339,195,341;678,390,682;5,3,5;3;7;3;7;NA;NA;192;385;33.25142;78.82443;6.72397;0.45246;NA;23.78218;
company;bn:04768302n,bn:00380849n,bn:16479379n;3;234,341,201;468,682,402;7,5,3;3;7;3;7;NA;NA;192;385;26.09393;83.93254;6.96079;0.50865;NA;40.13215;
company;bn:05200452n,bn:00243799n,bn:03428144n;3;212,343,264;424,686,528;5,9,4;4;9;4;9;NA;NA;193;387;22.29583;78.89811;8.03919;0.61382;NA;22.06680;
company;bn:00122291n,bn:02623992n,bn:12360306n;3;197,208,195;394,416,390;3,1,1;1;3;1;3;NA;NA;195;391;14.69532;61.91835;0.05417;0.21622;NA;17.19124;
company;bn:03380279n,bn:01927695n,bn:02162238n;3;255,363,204;510,726,408;3,3,2;2;5;2;5;NA;NA;196;393;17.17088;76.35313;2.48998;0.32620;NA;22.66238;
company;bn:02662904n,bn:03116286n,bn:01842180n;3;300,196,301;600,392,601;5,2,5;1;3;1;3;NA;NA;195;391;40.88663;139.57510;0.05469;0.34643;NA;21.56389;
company;bn:09704807n,bn:01366634n,bn:02315495n;3;195,169,198;390,338,396;1,7,4;1;3;1;3;NA;NA;163;327;17.39434;47.65597;0.05496;0.34811;NA;15.82289;
company;bn:00626790n,bn:07872367n,bn:02600427n;3;258,195,256;516,390,512;1,1,3;1;3;1;3;NA;NA;195;391;15.91561;70.95076;0.05221;0.22387;NA;19.93715;
company;bn:14740285n,bn:02514014n,bn:02172244n;3;277,275,195;554,550,390;6,6,4;4;9;4;9;NA;NA;180;361;19.19725;65.49308;20.53684;0.58723;NA;19.77191;
company;bn:04518246n,bn:13914079n,bn:03441744n;3;208,319,225;416,638,450;2,6,2;2;5;2;5;NA;NA;196;393;40.24523;146.80669;2.52184;0.35729;NA;20.52004;
company;bn:02023533n,bn:03570663n,bn:02126199n;3;204,254,256;408,508,512;2,1,3;1;3;1;3;NA;NA;195;391;18.95164;65.41322;0.05452;0.24470;NA;19.59228;
