SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
comune;bn:03471431n,bn:03374862n;2;324,319;648,638;12,10;6;13;6;13;NA;NA;314;629;17.75081;150.24711;71.47635;0.77146;NA;14.93559;
comune;bn:03525762n,bn:03419900n;2;318,321;636,642;10,12;6;13;6;13;NA;NA;314;629;17.64877;147.11130;107.30327;0.78189;NA;15.10266;
comune;bn:03497699n,bn:03502621n;2;320,321;640,642;12,13;6;13;6;13;NA;NA;314;629;17.11508;144.97185;298.25603;4.01025;NA;15.17143;
comune;bn:03342340n,bn:03130199n;2;322,328;644,656;13,20;7;15;7;15;NA;NA;315;631;19.35985;151.98010;994.78801;12.21478;NA;35.84699;
comune;bn:03520592n,bn:03447418n;2;318,323;636,646;10,14;6;13;6;13;NA;NA;314;629;20.79243;147.31485;143.69916;0.84345;NA;15.47145;
comune;bn:03498201n,bn:03502683n;2;321,317;642,634;13,9;6;13;6;13;NA;NA;314;629;19.06683;146.31218;87.43283;0.79167;NA;15.23014;
comune;bn:03523207n,bn:03451166n;2;325,324;650,648;12,15;5;11;5;11;NA;NA;313;627;20.61811;149.40010;278.18481;5.05160;NA;15.44905;
comune;bn:03523223n,bn:03375041n;2;322,325;644,650;13,17;7;15;7;15;NA;NA;315;631;21.33466;151.16981;391.50931;7.44772;NA;34.73699;
comune;bn:03447449n,bn:03215113n;2;320,320;640,640;11,12;6;13;6;13;NA;NA;314;629;31.93208;153.62014;48.73259;0.75136;NA;17.44312;
comune;bn:03528059n,bn:03522673n;2;321,323;642,646;13,15;6;13;6;13;NA;NA;314;629;19.98668;152.56390;475.67782;5.96793;NA;15.28875;
