SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
film;bn:05437753n,bn:03815366n,bn:16357258n;3;44,42,37;86,84,74;12,10,5;4;9;4;9;NA;NA;36;73;17.27479;22.02087;2.42759;0.76253;NA;3.70464;
film;bn:00627905n,bn:17753938n,bn:02327745n;3;231,39,39;461,78,78;6,7,6;4;9;4;9;NA;NA;36;73;16.27547;42.80630;5.04320;0.91456;NA;26.77656;
film;bn:08139657n,bn:16905935n,bn:01213605n;3;37,45,168;74,89,336;5,13,13;3;7;3;7;NA;NA;35;71;16.27424;25.24582;2.05915;0.80458;NA;6.14209;
film;bn:01210913n,bn:01623943n,bn:03798244n;3;48,42,55;95,83,110;16,10,23;6;13;6;13;NA;NA;38;77;17.59447;21.51663;23.85881;1.44729;NA;3.82263;
film;bn:00727340n,bn:16932854n,bn:02395927n;3;208,37,51;413,74,102;13,5,19;4;9;4;9;NA;NA;36;73;21.58683;32.40220;2.95992;0.93984;NA;7.61325;
film;bn:17494050n,bn:02778316n,bn:03595821n;3;37,42,235;74,83,470;5,10,8;3;7;3;7;NA;NA;35;71;19.83270;28.13259;1.72866;0.63723;NA;8.20183;
film;bn:14930349n,bn:02924060n,bn:03544395n;3;35,40,49;70,80,98;3,6,5;3;7;3;7;NA;NA;35;71;9.98472;15.41829;1.69744;0.48206;NA;3.35520;
film;bn:14344373n,bn:14026515n,bn:03878276n;3;174,47,178;347,94,356;23,15,21;5;11;5;11;NA;NA;37;75;19.38527;26.41589;1681.42115;1.71207;NA;9.43152;
film;bn:03872715n,bn:03010863n,bn:15933398n;3;173,52,265;345,104,530;19,20,8;4;9;4;9;NA;NA;36;73;25.95862;42.07836;3.68570;1.16009;NA;11.48269;
film;bn:15518659n,bn:15480930n,bn:02403212n;3;73,41,48;145,82,94;41,8,16;5;11;5;11;NA;NA;37;75;19.08148;23.83418;61.39195;2.17098;NA;4.15124;
film;bn:02953143n,bn:00728992n,bn:01055292n;3;183,190,67;363,376,132;26,38,13;10;20;10;20;NA;NA;60;120;29.32908;40.22227;142.40376;2.18791;NA;31.28400;
film;bn:15433674n,bn:21609619n,bn:02420750n;3;38,36,169;76,72,337;6,4,15;4;9;4;9;NA;NA;36;73;15.86270;25.09502;2.50528;0.71522;NA;6.28179;
film;bn:01012841n,bn:02312167n,bn:03866154n;3;57,42,45;113,84,89;25,9,13;6;13;6;13;NA;NA;38;77;18.83612;21.20834;21.38954;1.35827;NA;3.89002;
film;bn:02004662n,bn:03600509n,bn:03624282n;3;39,62,71;78,123,141;7,30,39;5;11;5;11;NA;NA;37;75;24.32202;38.41192;91.54332;2.08178;NA;4.23777;
film;bn:15050134n,bn:16464089n,bn:03842894n;3;59,36,59;117,72,117;27,4,27;4;9;4;9;NA;NA;36;73;17.62353;21.69643;2.99014;1.33619;NA;3.89106;
film;bn:21600970n,bn:02584423n,bn:01295205n;3;34,53,37;68,104,74;2,20,5;2;5;2;5;NA;NA;34;69;21.74241;32.65945;2.08106;0.87292;NA;6.60338;
film;bn:01573431n,bn:00425988n,bn:01822042n;3;43,61,171;86,119,342;11,29,1;1;3;1;3;NA;NA;33;67;22.70323;38.54025;0.06309;1.25680;NA;6.71676;
