SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
scientist;bn:05453606n,bn:03456921n,bn:03595423n,bn:06380215n,bn:03764574n;5;257,319,269,250,272;513,635,538,500,543;9,20,5,3,15;2;5;2;5;NA;NA;249;499;54.31571;199.27326;7.48329;1.43209;NA;42.27216;
scientist;bn:02891274n,bn:00730567n,bn:04692301n,bn:00276144n,bn:00292616n;5;262,302,254,262,254;524,603,507,523,506;11,5,7,12,6;3;7;3;7;NA;NA;250;501;65.82203;189.67283;16.80585;1.34226;NA;42.95180;
scientist;bn:03374087n,bn:00122667n,bn:05371028n,bn:00898719n,bn:00344462n;5;300,216,258,260,287;598,432,515,519,573;14,3,10,12,9;1;3;1;3;NA;NA;161;323;45.58533;144.96813;2.93341;1.13741;NA;55.23872;
scientist;bn:03700535n,bn:16126312n,bn:03102514n,bn:05165444n,bn:05279705n;5;260,255,265,260,305;519,509,528,519,610;12,8,18,13,7;5;11;5;11;NA;NA;252;505;56.98287;197.16201;15.52993;1.75245;NA;43.02696;
scientist;bn:03296470n,bn:08386172n,bn:14535309n,bn:03671077n,bn:05270640n;5;256,256,307,261,266;512,512,613,521,531;5,7,10,13,19;4;9;4;9;NA;NA;251;503;47.59304;194.28655;13.34588;1.73347;NA;64.92879;
scientist;bn:03036817n,bn:05201271n,bn:14194650n,bn:03149583n,bn:02451095n;5;287,255,259,311,339;572,509,515,621,677;16,8,10,11,12;5;10;5;10;NA;NA;252;504;62.62716;205.78204;31.89468;1.87345;NA;46.51435;
scientist;bn:02417981n,bn:00651120n,bn:05208231n,bn:03356585n,bn:03034504n;5;264,312,256,256,305;527,623,512,511,609;6,9,8,8,8;3;7;3;7;NA;NA;250;501;71.78902;188.43845;11.42689;1.27467;NA;45.56017;
scientist;bn:03319597n,bn:02009738n,bn:02875364n,bn:15034793n,bn:03283127n;5;260,258,257,296,269;518,516,512,590,536;13,7,10,11,22;5;11;5;11;NA;NA;252;505;46.06614;180.38298;17.62345;1.91074;NA;62.07045;
scientist;bn:03307262n,bn:00894227n,bn:03611454n,bn:03409953n,bn:01942539n;5;334,319,335,261,254;667,637,667,520,508;15,16,22,13,5;2;5;2;5;NA;NA;249;499;52.97558;193.18932;10.95045;1.81567;NA;48.52290;
scientist;bn:03301936n,bn:03072960n,bn:05317416n,bn:01190302n,bn:04814516n;5;323,266,309,294,254;644,531,617,584,507;23,8,12,36,7;5;10;5;10;NA;NA;252;504;77.00334;195.56311;31.97062;2.39027;NA;46.50276;
