SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
actor;bn:04864113n,bn:16163615n,bn:00721664n,bn:10718710n,bn:03059620n;5;256,256,254,256,258;511,511,507,512,515;5,5,3,5,7;NA;NA;2;5;NA;NA;253;507;39.23534;172.48844;NA;0.88844;NA;60.32358;
actor;bn:03843594n,bn:02034553n,bn:03213146n,bn:04759750n,bn:01117724n;5;258,259,257,256,255;515,516,513,511,509;7,8,5,5,4;NA;NA;4;8;NA;NA;255;510;54.12570;196.95203;NA;1.07162;NA;42.02585;
actor;bn:03121288n,bn:10734331n,bn:03533608n,bn:03735081n,bn:10857937n;5;315,255,255,255,256;629,509,509,509,511;5,4,3,4,5;NA;NA;2;4;NA;NA;253;506;34.98086;175.06499;NA;0.77350;NA;63.99342;
actor;bn:03597794n,bn:01538214n,bn:05558503n,bn:04739574n,bn:01947855n;5;266,257,255,257,268;531,514,509,512,535;15,5,4,7,7;NA;NA;3;7;NA;NA;254;509;36.15942;170.06826;NA;1.17977;NA;40.54008;
actor;bn:05150021n,bn:02955402n,bn:01712262n,bn:03127098n,bn:16992459n;5;257,255,257,259,255;513,510,513,517,510;6,4,6,7,4;NA;NA;2;5;NA;NA;253;507;63.95969;174.06612;NA;0.99516;NA;41.00014;
actor;bn:04720158n,bn:08448423n,bn:03430422n,bn:00252136n,bn:14400639n;5;260,255,262,263,257;519,510,522,525,513;6,4,8,5,6;NA;NA;3;7;NA;NA;254;509;38.54268;183.13649;NA;1.05669;NA;40.24101;
actor;bn:04923140n,bn:00998512n,bn:10865515n,bn:01067824n,bn:03844444n;5;260,268,257,258,262;519,536,513,515,522;9,6,6,7,8;NA;NA;4;9;NA;NA;255;511;61.78521;175.43690;NA;1.21000;NA;40.70857;
actor;bn:05174250n,bn:03411996n,bn:08352321n,bn:00935896n,bn:10881735n;5;257,258,256,264,254;513,515,511,527,507;6,6,5,7,3;NA;NA;3;6;NA;NA;254;508;42.08165;176.64602;NA;1.00016;NA;40.31401;
actor;bn:08690531n,bn:01407881n,bn:01323109n,bn:03444569n,bn:00653814n;5;255,258,256,259,267;509,515,512,517,531;4,7,1,7,11;NA;NA;1;3;NA;NA;252;505;61.63135;171.00708;NA;0.85586;NA;40.67817;
actor;bn:04884706n,bn:01436303n,bn:03206154n,bn:04810022n,bn:01589976n;5;255,257,262,255,258;509,513,524,509,515;4,6,7,4,7;NA;NA;2;5;NA;NA;253;507;45.64339;173.64467;NA;0.92352;NA;59.61259;
actor;bn:04921463n,bn:04711479n,bn:00770114n,bn:03494745n,bn:06538452n;5;256,258,256,259,255;511,515,511,517,509;5,7,4,7,4;NA;NA;3;6;NA;NA;254;508;38.87166;171.17933;NA;0.97202;NA;40.27213;
actor;bn:02785161n,bn:02876313n,bn:03354171n,bn:01542508n,bn:02375822n;5;258,262,261,256,266;515,523,521,511,532;7,8,8,5,3;NA;NA;1;3;NA;NA;252;505;45.24698;176.72278;NA;0.93812;NA;60.13171;
actor;bn:04741287n,bn:03770984n,bn:03214373n,bn:00223695n,bn:02595156n;5;256,259,261,323,274;511,517,521,646,548;5,8,10,8,12;NA;NA;3;7;NA;NA;254;509;53.59081;191.75846;NA;1.33718;NA;42.34737;
actor;bn:02143002n,bn:01064833n,bn:03165443n,bn:16045845n,bn:05459349n;5;260,254,260,257,262;519,508,520,513,523;8,2,9,6,11;NA;NA;2;5;NA;NA;253;507;63.81192;186.84388;NA;1.04539;NA;41.05043;
actor;bn:05565774n,bn:15468047n,bn:04884131n,bn:01785691n,bn:08307617n;5;256,258,257,261,254;511,515,513,521,508;5,7,6,9,3;NA;NA;2;5;NA;NA;253;507;39.08551;171.83072;NA;0.92308;NA;40.17911;
actor;bn:08613582n,bn:03514353n,bn:02328618n,bn:08330843n,bn:03294630n;5;254,286,262,256,265;507,571,523,512,529;3,14,11,5,9;NA;NA;2;5;NA;NA;253;507;66.64010;183.40631;NA;1.17158;NA;40.59938;
actor;bn:05170019n,bn:08440807n,bn:03429333n,bn:04856695n,bn:10719408n;5;256,254,266,257,257;511,508,531,513,512;5,3,5,6,6;NA;NA;2;5;NA;NA;253;507;41.65058;187.97525;NA;0.86282;NA;59.16331;
actor;bn:00624364n,bn:08285914n,bn:02660898n,bn:01595349n,bn:03346345n;5;267,254,259,257,262;533,508,517,513,523;6,3,4,5,5;NA;NA;2;5;NA;NA;253;507;39.12842;181.55702;NA;0.83176;NA;40.86000;
actor;bn:00756938n,bn:03705257n,bn:02114557n,bn:03693597n,bn:02024681n;5;264,255,255,255,260;527,509,509,509,520;7,4,4,4,5;NA;NA;2;5;NA;NA;253;507;42.19679;172.65253;NA;0.93223;NA;59.11573;
actor;bn:01383423n,bn:05306349n,bn:04783125n,bn:01249394n,bn:04922886n;5;259,260,258,256,256;517,520,515,512,512;8,5,7,4,5;NA;NA;4;9;NA;NA;255;511;38.36500;173.16361;NA;1.07191;NA;40.38387;
actor;bn:01641131n,bn:00769943n,bn:03630317n,bn:00176016n,bn:08653484n;5;264,255,264,257,261;526,509,526,513,522;10,3,10,6,6;NA;NA;3;7;NA;NA;254;509;42.88504;174.20771;NA;1.11265;NA;60.25597;
actor;bn:01171878n,bn:01422860n,bn:04319179n,bn:02900661n,bn:05160787n;5;257,269,255,269,257;513,537,509,537,513;6,8,4,5,6;NA;NA;4;8;NA;NA;255;510;36.86644;172.19313;NA;1.06751;NA;40.32735;
