SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
band;bn:03480568n,bn:03166628n,bn:03452035n,bn:01853085n,bn:03846620n;5;125,179,125,272,126;250,358,250,544,252;2,2,1,2,3;NA;NA;1;3;NA;NA;122;245;24.04641;114.84120;NA;0.47515;NA;23.14175;
band;bn:16831142n,bn:03883429n,bn:01775061n,bn:00397188n,bn:03083708n;5;125,124,128,124,182;250,248,256,248,363;3,2,5,2,7;NA;NA;2;5;NA;NA;124;249;22.94493;39.54810;NA;0.70936;NA;20.61455;
band;bn:00578447n,bn:00773983n,bn:16941659n,bn:00601488n,bn:16418722n;5;123,127,125,124,125;246,254,250,248,250;2,4,2,1,2;NA;NA;1;3;NA;NA;122;245;18.97125;33.50145;NA;0.47907;NA;19.45075;
band;bn:16933667n,bn:03530044n,bn:03499107n,bn:03092454n,bn:02308626n;5;125,178,178,138,124;250,356,356,276,248;3,2,2,3,2;NA;NA;2;5;NA;NA;124;249;17.46472;35.73211;NA;0.55671;NA;41.60224;
band;bn:16866265n,bn:01726655n,bn:17549295n,bn:14959092n,bn:01198432n;5;124,125,128,124,193;248,250,256,248,385;2,3,6,2,5;NA;NA;2;5;NA;NA;124;249;19.33066;35.94320;NA;0.69544;NA;21.05746;
band;bn:01835761n,bn:01009043n,bn:02487944n,bn:16429016n,bn:01187845n;5;123,126,132,124,218;246,252,264,248,436;2,2,9,1,5;NA;NA;1;3;NA;NA;122;245;33.00586;118.02162;NA;0.67451;NA;21.56738;
band;bn:02421497n,bn:14505470n,bn:14305165n,bn:14925827n,bn:02779766n;5;125,124,124,124,125;250,248,248,248,250;3,2,2,2,3;NA;NA;2;5;NA;NA;124;249;15.47281;30.08505;NA;0.57267;NA;19.61747;
band;bn:03550259n,bn:03662078n,bn:03573488n,bn:01382333n,bn:14795690n;5;124,125,125,125,125;248,250,250,250,250;2,3,3,3,3;NA;NA;2;5;NA;NA;124;249;15.73657;31.32552;NA;0.60946;NA;40.50483;
band;bn:09042959n,bn:08076605n,bn:14968395n,bn:14434132n,bn:02977383n;5;181,124,124,126,182;362,248,248,252,363;6,1,1,2,5;NA;NA;1;3;NA;NA;122;245;28.59359;62.19531;NA;0.55986;NA;21.75110;
band;bn:02044188n,bn:02476492n,bn:03597828n,bn:17758762n,bn:01704418n;5;124,124,124,125,125;248,248,248,250,250;2,2,2,2,3;NA;NA;2;5;NA;NA;124;249;15.67457;32.95371;NA;0.52930;NA;18.99438;
band;bn:00641994n,bn:02255348n,bn:02530420n,bn:15609558n,bn:15004132n;5;125,124,125,126,134;250,248,250,252,268;2,1,2,3,2;NA;NA;1;3;NA;NA;122;245;30.00497;38.49818;NA;0.46126;NA;22.49169;
band;bn:01348981n,bn:15701028n,bn:02573965n,bn:03402469n,bn:03487050n;5;126,137,125,124,124;252,274,250,248,248;3,1,2,1,3;NA;NA;1;3;NA;NA;122;245;23.16685;41.63335;NA;0.49714;NA;38.46204;
band;bn:03574347n,bn:01291295n,bn:14169729n,bn:03670636n,bn:03686775n;5;124,125,124,125,179;248,250,248,250,358;1,2,1,2,4;NA;NA;1;3;NA;NA;122;245;22.89549;44.08627;NA;0.45819;NA;25.09603;
band;bn:01391409n,bn:03722425n,bn:02290413n,bn:03443891n,bn:01836751n;5;124,126,124,125,171;248,252,248,250,342;1,3,3,2,4;NA;NA;1;3;NA;NA;122;245;26.18335;54.36757;NA;0.51872;NA;20.55332;
band;bn:01866885n,bn:03457429n,bn:03805122n,bn:01747323n,bn:02197791n;5;124,125,178,124,125;248,250,356,248,250;2,3,2,2,3;NA;NA;2;5;NA;NA;124;249;26.87858;47.87418;NA;0.77780;NA;27.22694;
band;bn:03710681n,bn:03201008n,bn:00986995n,bn:03850320n,bn:13391515n;5;124,127,129,125,124;248,254,258,250,248;2,3,6,3,2;NA;NA;2;5;NA;NA;124;249;37.71293;39.08095;NA;0.64144;NA;40.19389;
band;bn:16706072n,bn:14053776n,bn:02264554n,bn:01910784n,bn:02030555n;5;124,127,126,125,125;248,254,252,250,250;2,5,4,3,3;NA;NA;2;5;NA;NA;124;249;18.75178;35.47346;NA;0.66912;NA;19.20613;
band;bn:02264364n,bn:02464047n,bn:07890847n,bn:01731487n,bn:12549880n;5;124,125,125,124,125;248,250,250,248,250;2,3,3,2,3;NA;NA;2;5;NA;NA;124;249;16.42336;32.85981;NA;0.57750;NA;19.37511;
band;bn:02680493n,bn:02163188n,bn:03426981n,bn:01305739n,bn:02891828n;5;124,124,124,122,188;248,248,248,244,376;1,1,1,1,1;NA;NA;1;3;NA;NA;122;245;14.41719;33.43366;NA;0.35231;NA;20.46836;
band;bn:03297478n,bn:16056702n,bn:01228932n,bn:03621308n,bn:03744487n;5;125,126,124,125,122;250,252,248,250,244;2,3,1,2,1;NA;NA;1;3;NA;NA;122;245;16.47918;33.24223;NA;0.45939;NA;19.06017;
band;bn:03474351n,bn:03702256n,bn:03740004n,bn:03685452n,bn:03573080n;5;122,125,125,125,125;244,250,250,250,250;1,2,2,2,2;NA;NA;1;3;NA;NA;122;245;16.90821;37.27568;NA;0.44521;NA;40.87479;
band;bn:00340694n,bn:17521243n,bn:02045288n,bn:01202483n,bn:03345186n;5;125,125,151,125,127;250,250,302,250,254;3,3,2,3,3;NA;NA;2;5;NA;NA;124;249;18.63722;38.19419;NA;0.59280;NA;19.74569;
band;bn:00563142n,bn:01858117n,bn:15674962n,bn:00286254n,bn:03224600n;5;127,126,215,125,127;254,252,430,250,254;4,3,4,1,2;NA;NA;1;3;NA;NA;122;245;26.96450;114.40557;NA;0.56374;NA;21.17374;
