SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
chemical_element;bn:06706332n,bn:14228700n,bn:10255826n,bn:10252695n,bn:03286379n,bn:20244568n;6;96,63,92,92,282,93;150,126,144,144,483,146;4,2,4,4,3,5;NA;NA;2;5;NA;NA;40;81;39.82555;31.64814;NA;0.84827;NA;17.07878;
chemical_element;bn:02651071n,bn:03584157n,bn:20244330n,bn:20244680n,bn:06416512n,bn:06469795n;6;122,231,91,91,135,137;244,462,142,142,270,274;4,8,2,2,4,6;NA;NA;2;5;NA;NA;38;77;40.94137;127.95561;NA;0.92412;NA;19.99813;
chemical_element;bn:15249258n,bn:02550847n,bn:10252956n,bn:20244331n,bn:20245338n,bn:00570215n;6;278,232,97,91,91,230;555,464,152,142,142,460;10,3,4,2,2,4;NA;NA;2;5;NA;NA;40;81;42.63544;127.29834;NA;0.92030;NA;24.28210;
chemical_element;bn:06253857n,bn:20243271n,bn:16954506n,bn:03141226n,bn:01820811n,bn:14044814n;6;137,91,200,182,196,55;274,142,400,364,392,110;6,2,7,2,2,3;NA;NA;2;5;NA;NA;38;77;41.52017;133.10444;NA;0.87398;NA;41.72118;
chemical_element;bn:00018110n,bn:20243183n,bn:20243672n,bn:00015151n,bn:20243624n,bn:17240793n;6;254,99,95,255,92,111;397,154,148,474,144,190;6,5,5,5,6,6;NA;NA;6;12;NA;NA;43;81;26.08376;77.32415;NA;1.42107;NA;23.09552;
chemical_element;bn:06257095n,bn:06383876n,bn:03863044n,bn:16258000n,bn:03332892n,bn:20243228n;6;57,139,301,183,148,91;114,278,600,365,296,142;3,8,16,6,3,2;NA;NA;2;5;NA;NA;38;77;48.95878;131.04460;NA;1.14524;NA;20.99194;
chemical_element;bn:20245383n,bn:15980291n,bn:15716805n,bn:04020631n,bn:15539230n,bn:15941183n;6;91,260,138,258,47,87;142,519,276,515,94,168;1,8,6,6,6,2;NA;NA;1;3;NA;NA;37;75;60.36551;157.40260;NA;0.91825;NA;20.65612;
chemical_element;bn:01875040n,bn:20245778n,bn:20245023n,bn:06311882n,bn:01351374n,bn:00663922n;6;86,114,93,56,224,41;136,175,145,112,448,82;2,2,2,1,4,1;NA;NA;1;3;NA;NA;36;73;22.20937;36.33214;NA;0.55321;NA;14.62727;
chemical_element;bn:03978848n,bn:15296300n,bn:20244722n,bn:20244261n,bn:16387039n,bn:04164824n;6;303,56,91,92,163,70;605,112,142,144,326,140;7,15,1,2,3,2;NA;NA;1;3;NA;NA;37;75;40.11809;130.26349;NA;0.92334;NA;18.87074;
chemical_element;bn:00777656n,bn:15117232n,bn:20244878n,bn:01391522n,bn:00309773n,bn:06354843n;6;42,243,91,41,56,136;84,486,142,82,112,272;3,4,1,2,3,4;NA;NA;1;3;NA;NA;37;75;32.57606;110.84819;NA;0.69684;NA;15.61869;
chemical_element;bn:04197384n,bn:16210619n,bn:20244496n,bn:06562098n,bn:20244744n,bn:02894361n;6;42,41,122,96,91,41;84,82,187,150,142,82;3,2,2,3,2,1;NA;NA;1;3;NA;NA;36;73;17.77415;20.15819;NA;0.59331;NA;11.24480;
chemical_element;bn:18160443n,bn:20243125n,bn:20245073n,bn:15311239n,bn:10254306n,bn:06458617n;6;91,92,91,137,94,138;142,144,142,274,147,276;2,3,2,6,3,7;NA;NA;2;5;NA;NA;37;75;26.52411;101.85878;NA;0.89315;NA;36.75979;
chemical_element;bn:06360288n,bn:16677373n,bn:20245486n,bn:20244250n,bn:03985626n,bn:20243718n;6;133,76,103,93,148,96;266,116,155,146,296,150;1,2,2,4,3,3;NA;NA;1;3;NA;NA;36;73;23.69176;103.94522;NA;0.63905;NA;17.82073;
chemical_element;bn:16370376n,bn:13882914n,bn:20243542n,bn:10264034n,bn:16898532n,bn:16535428n;6;258,136,93,91,148,68;515,272,145,142,296,135;6,5,2,2,4,6;NA;NA;2;5;NA;NA;37;75;27.67063;110.10229;NA;0.94761;NA;19.10170;
chemical_element;bn:01064861n,bn:01875009n,bn:03936167n,bn:20244480n,bn:16954506n,bn:20245014n;6;260,86,72,91,200,93;519,136,143,142,400,145;8,1,4,1,6,1;NA;NA;1;3;NA;NA;36;73;48.51392;135.39741;NA;0.74407;NA;18.72686;
chemical_element;bn:02627329n,bn:20245534n,bn:06706292n,bn:16469707n,bn:03936168n,bn:00156196n;6;46,89,94,71,71,165;92,139,147,142,142,330;1,2,2,3,3,2;NA;NA;1;3;NA;NA;36;73;18.17398;32.68298;NA;0.57881;NA;14.58139;
chemical_element;bn:02070538n,bn:00954241n,bn:20243030n,bn:10252919n,bn:00582436n,bn:06352349n;6;169,219,90,100,159,138;320,438,141,156,317,276;8,3,2,1,7,6;NA;NA;1;3;NA;NA;36;73;65.82591;143.42588;NA;0.87593;NA;21.23567;
chemical_element;bn:00481834n,bn:20244256n,bn:03672921n,bn:20245482n,bn:06365526n,bn:03977707n;6;309,92,345,89,135,257;617,144,690,139,270,513;9,3,2,2,4,6;NA;NA;2;5;NA;NA;37;75;42.38902;124.43394;NA;0.93466;NA;27.55797;
chemical_element;bn:17194844n,bn:00217924n,bn:00319119n,bn:00004694n,bn:06329413n,bn:20243157n;6;138,222,65,135,53,92;276,444,127,234,106,144;6,9,1,34,2,2;NA;NA;1;3;NA;NA;36;73;39.14062;130.89233;NA;1.34691;NA;15.98123;
chemical_element;bn:04287850n,bn:15931949n,bn:20244821n,bn:06331829n,bn:15538145n,bn:00006852n;6;283,87,91,136,48,122;566,168,142,272,95,208;1,2,1,4,7,46;NA;NA;1;3;NA;NA;36;73;72.21668;148.05655;NA;1.50827;NA;18.37988;
chemical_element;bn:04204418n,bn:14536227n,bn:00250662n,bn:06450484n,bn:20244516n,bn:03958720n;6;50,136,41,162,123,168;100,272,82,324,189,335;11,4,2,2,2,5;NA;NA;1;3;NA;NA;37;75;37.15433;116.89979;NA;0.83020;NA;16.58730;
chemical_element;bn:20245186n,bn:00256647n,bn:10252831n,bn:02786406n,bn:20243626n,bn:16774620n;6;91,152,113,170,92,259;142,303,174,340,144,517;2,5,3,2,3,7;NA;NA;2;5;NA;NA;40;81;32.30144;116.60741;NA;0.85791;NA;22.11491;
chemical_element;bn:03680384n,bn:14045148n,bn:10256100n,bn:20243694n,bn:20244641n,bn:10485000n;6;37,260,123,95,91,92;74,518,189,148,142,144;1,8,2,1,1,1;NA;NA;1;3;NA;NA;37;75;27.90995;112.13539;NA;0.59505;NA;35.20363;
chemical_element;bn:04015567n,bn:06708036n,bn:03126508n,bn:00460340n,bn:16277347n,bn:02465231n;6;257,92,126,149,199,38;513,144,219,297,398,76;5,2,1,3,5,1;NA;NA;1;3;NA;NA;36;73;33.36523;119.51638;NA;0.66014;NA;19.66293;
chemical_element;bn:13873966n,bn:16795958n,bn:15025876n,bn:00006859n,bn:20245062n,bn:20244845n;6;139,113,270,153,91,92;278,173,538,270,142,144;7,3,15,72,1,2;NA;NA;1;3;NA;NA;36;73;43.88268;123.40492;NA;2.21272;NA;21.53508;
chemical_element;bn:20243050n,bn:10264036n,bn:18172555n,bn:00481836n,bn:20243144n,bn:20244282n;6;89,91,91,260,91,91;139,142,142,518,142,142;2,2,2,9,2,2;NA;NA;2;5;NA;NA;39;79;26.88803;102.67056;NA;0.81961;NA;20.06000;
chemical_element;bn:20243020n,bn:03936172n,bn:20245482n,bn:01115900n,bn:20244974n,bn:06368912n;6;99,71,89,170,112,138;154,142,139,339,174,276;2,4,2,7,3,7;NA;NA;2;5;NA;NA;37;75;64.10599;127.54571;NA;0.92452;NA;17.28633;
chemical_element;bn:17245292n,bn:01595224n,bn:20244635n,bn:02163458n,bn:01179193n,bn:00358793n;6;58,74,91,42,297,294;115,115,142,84,593,587;4,1,1,2,9,6;NA;NA;1;3;NA;NA;36;73;32.41496;116.89124;NA;0.78472;NA;19.16448;
chemical_element;bn:06710063n,bn:04207533n,bn:20244323n,bn:14163625n,bn:02692374n,bn:20245535n;6;92,44,91,138,258,89;144,88,142,276,515,139;2,5,1,6,6,1;NA;NA;1;3;NA;NA;36;73;42.55670;115.61298;NA;0.76309;NA;16.66032;
chemical_element;bn:20242970n,bn:10485002n,bn:06442768n,bn:20243282n,bn:13871491n,bn:20245152n;6;91,92,144,92,136,91;142,144,288,144,272,142;2,2,13,3,5,2;NA;NA;2;5;NA;NA;38;77;39.14210;124.72886;NA;0.95873;NA;18.54025;
