SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
dialect;bn:16311436n,bn:16311490n,bn:00644181n,bn:02497678n,bn:17675162n,bn:01509132n;6;128,128,190,129,168,250;256,256,332,258,296,379;1,1,18,1,1,2;NA;NA;1;3;NA;NA;121;243;26.12396;56.13692;NA;0.80413;NA;31.56596;
dialect;bn:03461759n,bn:00619875n,bn:16355337n,bn:13546031n,bn:01107797n,bn:01640733n;6;181,164,122,176,176,175;316,288,244,308,306,304;10,1,2,9,1,1;NA;NA;1;3;NA;NA;121;243;25.43542;37.52291;NA;0.75594;NA;47.97008;
dialect;bn:01956064n,bn:16752134n,bn:12990863n,bn:01946793n,bn:07082894n,bn:03755530n;6;168,178,173,164,167,176;295,314,306,288,294,312;5,3,3,3,3,3;NA;NA;3;7;NA;NA;163;287;20.43856;33.34853;NA;0.89852;NA;32.60744;
dialect;bn:12991288n,bn:08940954n,bn:03697812n,bn:14288662n,bn:12991393n,bn:02914683n;6;173,175,170,121,169,122;303,310,300,242,296,244;9,1,2,1,6,1;NA;NA;1;3;NA;NA;121;243;25.42478;35.27850;NA;0.68646;NA;32.49614;
dialect;bn:01345048n,bn:14617850n,bn:17221959n,bn:00868760n,bn:00677253n,bn:00214842n;6;178,163,173,169,241,251;314,286,306,298,414,381;2,2,3,2,2,3;NA;NA;2;5;NA;NA;162;285;25.24665;45.34452;NA;0.71000;NA;55.42493;
dialect;bn:13273627n,bn:14483065n,bn:14772740n,bn:01964141n,bn:15195450n,bn:01316715n;6;121,180,128,128,180,180;242,318,256,256,320,318;1,1,1,1,1,1;NA;NA;1;3;NA;NA;121;243;18.33646;32.68795;NA;0.43007;NA;26.77016;
dialect;bn:02497772n,bn:02443017n,bn:14503855n,bn:01821049n,bn:15170741n,bn:01873357n;6;177,176,184,128,128,230;312,306,319,256,256,394;1,1,2,1,1,1;NA;NA;1;3;NA;NA;121;243;24.24259;39.67107;NA;0.47751;NA;31.49130;
dialect;bn:03891658n,bn:13994760n,bn:15662839n,bn:14983484n,bn:14821515n,bn:13906279n;6;171,123,169,128,179,243;302,246,298,256,310,365;1,2,1,1,1,2;NA;NA;1;3;NA;NA;121;243;23.23906;39.86851;NA;0.47462;NA;48.17353;
dialect;bn:02078995n,bn:07076872n,bn:02711386n,bn:03186379n,bn:05654872n,bn:01068287n;6;212,121,168,134,169,122;374,242,296,268,298,244;4,1,1,7,1,2;NA;NA;1;3;NA;NA;121;243;23.55822;43.35275;NA;0.62512;NA;32.63892;
dialect;bn:16299054n,bn:06751511n,bn:02212269n,bn:14606038n,bn:03593124n,bn:16890739n;6;177,179,171,177,169,175;312,315,302,312,298,304;6,3,3,4,3,3;NA;NA;3;7;NA;NA;163;287;30.64217;43.40384;NA;0.95000;NA;36.61289;
dialect;bn:12989654n,bn:17192689n,bn:12991306n,bn:17580165n,bn:02497678n,bn:01388085n;6;122,174,165,168,129,176;244,306,290,296,258,306;2,1,1,1,1,1;NA;NA;1;3;NA;NA;121;243;22.00623;34.45060;NA;0.45056;NA;46.48559;
dialect;bn:02442980n,bn:03102476n,bn:03584240n,bn:00355579n,bn:04963575n,bn:03589754n;6;168,140,178,173,172,129;296,280,314,306,299,258;1,1,1,2,1,2;NA;NA;1;3;NA;NA;121;243;21.71444;34.86276;NA;0.47110;NA;27.79807;
dialect;bn:01510798n,bn:17458509n,bn:02497772n,bn:04620598n,bn:01912263n,bn:03331599n;6;243,174,177,128,178,182;365,308,312,256,314,322;2,1,1,1,1,1;NA;NA;1;3;NA;NA;121;243;32.33411;39.42856;NA;0.43459;NA;37.14123;
dialect;bn:00070894n,bn:01511172n,bn:12410123n,bn:02463523n,bn:00742122n,bn:15939388n;6;178,258,170,231,191,176;308,389,300,396,328,312;11,3,2,2,4,5;NA;NA;2;5;NA;NA;162;285;32.14262;66.03334;NA;0.99179;NA;61.82214;
