SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
sculpture;bn:01122781n,bn:03441107n,bn:17096510n,bn:01614149n;4;121,136,118,125;241,272,236,249;12,12,9,16;NA;NA;8;17;NA;NA;46;93;23.77647;34.62273;NA;1.48732;NA;14.50865;
sculpture;bn:00639230n,bn:18855411n,bn:07307980n,bn:17776566n;4;119,88,88,121;237,176,176,242;5,3,3,7;NA;NA;3;7;NA;NA;86;173;16.76053;25.50518;NA;0.68318;NA;11.86291;
sculpture;bn:04119130n,bn:02004706n,bn:15484710n,bn:17347930n;4;248,119,88,22;496,238,176,44;2,4,2,1;NA;NA;1;3;NA;NA;19;39;15.10247;48.09736;NA;0.38307;NA;10.32598;
sculpture;bn:03809663n,bn:07591580n,bn:07955624n,bn:07599702n;4;128,122,118,123;256,244,236,246;4,7,3,8;NA;NA;2;5;NA;NA;117;235;21.74036;30.71317;NA;0.69816;NA;13.98389;
sculpture;bn:02290567n,bn:05879664n,bn:06901842n,bn:01211263n;4;119,117,188,124;238,234,376,247;6,4,5,11;NA;NA;4;9;NA;NA;88;177;21.62931;38.96594;NA;0.87518;NA;15.45277;
sculpture;bn:17719555n,bn:03606521n,bn:03074890n,bn:06585401n;4;91,43,209,145;182,86,418,289;6,3,3,14;NA;NA;3;7;NA;NA;30;61;23.34782;37.19686;NA;0.77690;NA;11.12163;
sculpture;bn:00777466n,bn:03649960n,bn:02756599n,bn:00968121n;4;204,194,122,267;408,388,244,533;9,9,13,11;NA;NA;7;15;NA;NA;48;97;27.27341;113.02706;NA;1.31242;NA;19.34613;
sculpture;bn:07645615n,bn:16774729n,bn:00668777n,bn:15787778n;4;118,126,191,120;236,251,382,240;4,12,6,7;NA;NA;3;7;NA;NA;87;175;27.46048;40.77477;NA;0.83551;NA;37.30224;
sculpture;bn:01062351n,bn:02339111n,bn:16451649n,bn:00975795n;4;120,89,119,91;240,178,238,182;6,4,5,6;NA;NA;3;7;NA;NA;86;173;18.05516;29.54067;NA;0.74698;NA;12.26845;
sculpture;bn:07304375n,bn:00381267n,bn:01070313n,bn:01945225n;4;87,214,119,138;174,428,238,276;7,9,10,13;NA;NA;7;15;NA;NA;42;85;27.36992;40.05800;NA;1.22698;NA;13.34099;
sculpture;bn:00750567n,bn:01426543n,bn:15455196n,bn:00883087n;4;89,157,315,258;178,311,630,514;9,32,9,14;NA;NA;7;15;NA;NA;42;85;34.68408;54.82229;NA;1.73252;NA;17.42660;
sculpture;bn:01966527n,bn:15459399n,bn:00507822n,bn:04885616n;4;123,121,121,126;246,242,242,249;8,6,5,11;NA;NA;2;5;NA;NA;117;235;24.89336;38.92222;NA;0.86937;NA;13.99947;
sculpture;bn:01062351n,bn:14042504n,bn:02547926n,bn:01611082n;4;120,88,90,89;240,176,180,178;6,3,5,4;NA;NA;2;5;NA;NA;85;171;35.35638;32.23521;NA;0.62014;NA;11.68008;
sculpture;bn:03818959n,bn:01643263n,bn:01386188n,bn:01577145n;4;211,119,90,118;422,238,179,236;7,5,5,4;NA;NA;3;7;NA;NA;86;173;26.95619;40.90879;NA;0.72343;NA;14.17401;
sculpture;bn:02837956n,bn:18161245n,bn:03629234n,bn:00242834n;4;89,141,127,205;178,281,254,410;9,14,17,8;NA;NA;8;17;NA;NA;43;87;30.86283;41.76460;NA;1.48320;NA;14.04902;
sculpture;bn:01813454n,bn:13861095n,bn:14584675n,bn:03486784n;4;91,88,91,125;181,176,181,250;6,3,6,10;NA;NA;3;7;NA;NA;86;173;18.87543;28.19575;NA;0.79604;NA;11.39844;
sculpture;bn:02075777n,bn:00479780n,bn:02607152n,bn:03740621n;4;124,118,91,215;247,236,181,430;10,4,6,5;NA;NA;3;7;NA;NA;86;173;23.50367;38.59326;NA;0.83111;NA;14.40960;
sculpture;bn:07304106n,bn:01303413n,bn:01499555n,bn:02613405n;4;87,150,121,92;174,300,242,184;8,10,12,9;NA;NA;8;17;NA;NA;44;89;15.90947;33.01512;NA;1.23884;NA;31.38719;
sculpture;bn:03792549n,bn:03816179n,bn:02834161n,bn:01598316n;4;159,89,90,199;318,178,180,398;10,11,12,16;NA;NA;10;21;NA;NA;59;119;18.14139;32.37376;NA;1.52842;NA;14.00149;
sculpture;bn:01425209n,bn:01819726n,bn:02412277n,bn:07309133n;4;99,237,119,87;198,474,238,174;4,4,5,2;NA;NA;2;5;NA;NA;82;165;15.49143;30.68319;NA;0.54910;NA;14.29311;
sculpture;bn:18866853n,bn:15433598n,bn:08150829n,bn:01835304n;4;88,188,121,199;176,376,242,398;3,4,7,4;NA;NA;3;7;NA;NA;86;173;19.76256;33.08529;NA;0.65998;NA;15.37069;
sculpture;bn:00980569n,bn:03827854n,bn:03320906n,bn:02597793n;4;20,128,119,191;40,256,238,382;3,12,3,3;NA;NA;3;7;NA;NA;20;41;20.92837;32.46160;NA;0.75407;NA;10.21214;
sculpture;bn:00378944n,bn:03739274n,bn:01005654n,bn:03576313n;4;91,90,196,237;181,180,392,474;6,5,5,3;NA;NA;3;7;NA;NA;86;173;18.87789;33.99630;NA;0.71435;NA;15.49258;
sculpture;bn:02665908n,bn:00485587n,bn:01658589n,bn:00593023n;4;149,214,130,134;298,427,259,268;8,9,21,9;NA;NA;7;15;NA;NA;44;89;47.70433;45.83812;NA;1.36258;NA;14.99452;
sculpture;bn:03531637n,bn:03617623n,bn:08291068n,bn:03287410n;4;188,88,343,135;376,176,686,270;3,3,7,20;NA;NA;3;7;NA;NA;86;173;28.34368;48.93662;NA;0.93857;NA;23.43405;
sculpture;bn:02403576n,bn:01357180n,bn:08973006n,bn:05606091n;4;193,126,123,188;386,252,245,376;4,12,10,5;NA;NA;4;9;NA;NA;88;177;22.42361;37.69189;NA;1.03048;NA;16.27441;
sculpture;bn:07664044n,bn:03699645n,bn:16874789n,bn:00265176n;4;149,123,124,24;298,246,247,48;2,8,9,1;NA;NA;1;3;NA;NA;19;39;23.86794;31.28400;NA;0.59477;NA;10.83561;
sculpture;bn:03508407n,bn:13865513n,bn:03139160n,bn:00394958n;4;189,219,118,119;378,438,236,238;5,5,5,6;NA;NA;4;9;NA;NA;88;177;18.17940;36.07219;NA;0.78694;NA;35.69022;
sculpture;bn:03177671n,bn:02067149n,bn:03697988n,bn:07309895n;4;118,23,117,87;236,46,234,174;3,2,2,1;NA;NA;1;3;NA;NA;19;39;11.45879;16.83766;NA;0.35967;NA;7.74461;
sculpture;bn:05341648n,bn:02915337n,bn:13087526n,bn:02680885n;4;150,89,118,118;300,178,236,236;10,10,10,10;NA;NA;9;19;NA;NA;45;91;17.82586;29.27118;NA;1.39860;NA;13.00472;
sculpture;bn:00861675n,bn:14960187n,bn:17491906n,bn:01682378n;4;22,119,121,189;44,238,242,378;1,4,6,3;NA;NA;1;3;NA;NA;19;39;18.05128;31.90802;NA;0.49771;NA;10.01973;
sculpture;bn:03680119n,bn:15016743n,bn:14395960n,bn:02481157n;4;119,118,123,122;238,236,246,244;4,3,8,7;NA;NA;2;5;NA;NA;117;235;22.22192;38.63161;NA;0.68532;NA;14.50532;
sculpture;bn:02834169n,bn:14253262n,bn:03898483n,bn:01078156n;4;267,118,193,121;533,236,386,242;11,9,7,12;NA;NA;7;15;NA;NA;48;97;28.94144;113.89696;NA;1.21974;NA;18.02266;
sculpture;bn:15170277n,bn:00769418n,bn:15894184n,bn:02708881n;4;118,123,89,195;236,246,178,390;4,9,4,5;NA;NA;3;7;NA;NA;86;173;22.61268;39.26397;NA;0.73645;NA;33.42070;
sculpture;bn:00891735n,bn:03314548n,bn:15928435n,bn:02319789n;4;120,119,125,118;240,238,249,236;4,4,10,3;NA;NA;2;5;NA;NA;117;235;28.64135;32.48112;NA;0.69740;NA;14.62289;
sculpture;bn:16481692n,bn:02800511n,bn:01065204n,bn:02006824n;4;100,188,118,188;200,376,236,376;2,4,4,4;NA;NA;2;5;NA;NA;84;169;14.94965;29.32485;NA;0.52316;NA;15.10720;
sculpture;bn:15255932n,bn:18103496n,bn:01952286n,bn:02080612n;4;22,120,91,119;44,240,181,238;1,5,5,4;NA;NA;1;3;NA;NA;19;39;19.44759;28.72426;NA;0.50620;NA;7.99143;
sculpture;bn:17319393n,bn:03652599n,bn:02007091n,bn:02950904n;4;188,90,91,118;376,180,180,236;4,5,6,3;NA;NA;3;7;NA;NA;86;173;15.95343;40.05210;NA;0.68959;NA;13.65811;
sculpture;bn:01626462n,bn:08134110n,bn:02412317n,bn:02438493n;4;88,118,119,121;176,236,237,242;3,4,5,7;NA;NA;3;7;NA;NA;86;173;21.19238;27.88950;NA;0.69720;NA;12.38256;
sculpture;bn:03596554n,bn:01989289n,bn:02688596n,bn:02156160n;4;121,125,120,125;242,250,240,250;5,10,5,10;NA;NA;3;7;NA;NA;118;237;42.93360;38.94180;NA;0.92253;NA;14.34443;
