SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
university;bn:01062051n,bn:02498438n,bn:01057548n,bn:01049991n,bn:03211226n,bn:02847179n;6;139,142,142,142,140,139;278,284,284,284,280,278;1,3,3,3,2,1;NA;NA;1;3;NA;NA;139;279;24.60796;39.70625;NA;0.56745;NA;27.14078;
university;bn:00804904n,bn:02697877n,bn:03673615n,bn:01087710n,bn:03672843n,bn:04227988n;6;141,202,144,139,141,140;282,404,288,278,282,280;2,2,3,1,3,2;NA;NA;1;3;NA;NA;139;279;25.03857;47.01279;NA;0.56666;NA;29.90202;
university;bn:11248592n,bn:02556955n,bn:02767880n,bn:00665623n,bn:02581569n,bn:00990995n;6;142,177,198,141,140,143;284,354,396,282,280,286;4,4,1,2,2,5;NA;NA;1;3;NA;NA;139;279;29.28629;73.74906;NA;0.67359;NA;28.39697;
university;bn:02224324n,bn:15920195n,bn:15208961n,bn:02669370n,bn:14244253n,bn:00702401n;6;210,139,141,141,140,141;420,278,282,282,280,282;3,1,3,3,2,3;NA;NA;1;3;NA;NA;139;279;23.33044;47.35012;NA;0.62160;NA;28.94905;
university;bn:01409473n,bn:03690558n,bn:01661665n,bn:03489641n,bn:01998990n,bn:14596707n;6;140,143,142,142,277,139;280,285,284,284,553,278;2,5,3,4,7,1;NA;NA;1;3;NA;NA;139;279;38.45040;133.78572;NA;0.77621;NA;30.16824;
university;bn:01619248n,bn:03467552n,bn:15412967n,bn:15267456n,bn:01043557n,bn:01493881n;6;139,149,139,143,143,141;278,298,278,286,285,282;1,11,1,4,4,3;NA;NA;1;3;NA;NA;139;279;28.78821;49.33875;NA;0.79283;NA;46.46871;
university;bn:02574019n,bn:03788398n,bn:01848280n,bn:02851470n,bn:12845838n,bn:03847034n;6;141,188,140,140,140,141;282,376,280,280,280,282;1,2,2,2,2,3;NA;NA;1;3;NA;NA;139;279;23.07298;42.80370;NA;0.56207;NA;27.72782;
university;bn:00463859n,bn:00696890n,bn:02733278n,bn:02991493n,bn:15324481n,bn:16074058n;6;141,203,191,140,142,139;282,406,382,280,284,278;2,2,3,2,4,1;NA;NA;1;3;NA;NA;139;279;25.35918;46.84854;NA;0.60850;NA;28.83572;
university;bn:00933299n,bn:02436325n,bn:00350402n,bn:02144730n,bn:00680470n,bn:16856940n;6;144,141,142,144,140,234;287,282,283,287,280,468;4,3,4,3,2,6;NA;NA;1;3;NA;NA;139;279;30.59243;122.50331;NA;0.90010;NA;48.60607;
university;bn:01637898n,bn:06078991n,bn:02839325n,bn:03123857n,bn:07829987n,bn:13898108n;6;141,139,140,154,140,139;282,278,280,306,280,278;3,1,1,16,2,1;NA;NA;1;3;NA;NA;139;279;31.88420;47.72143;NA;0.77884;NA;27.54246;
university;bn:03358226n,bn:17479373n,bn:00688646n,bn:02370295n,bn:02362636n,bn:03218176n;6;139,140,141,141,151,194;278,280,282,282,302,386;1,2,2,3,2,54;NA;NA;1;3;NA;NA;139;279;31.65877;42.03849;NA;1.47309;NA;28.52487;
university;bn:00421439n,bn:15920195n,bn:06974476n,bn:03095877n,bn:16511252n,bn:16966357n;6;140,139,141,143,233,140;280,278,282,286,466,280;2,1,3,3,5,2;NA;NA;1;3;NA;NA;139;279;32.81259;125.86250;NA;0.65198;NA;50.37870;
university;bn:01130180n,bn:17451085n,bn:01590107n,bn:03313907n,bn:11051839n,bn:03346849n;6;142,140,144,143,142,141;284,280,287,286,284,282;4,2,5,4,4,3;NA;NA;2;5;NA;NA;140;281;25.50780;42.37727;NA;0.91139;NA;27.62967;
university;bn:00666770n,bn:00944846n,bn:03372412n,bn:14230491n,bn:03883017n,bn:01419669n;6;142,142,139,141,139,140;284,284,278,282,278,280;4,3,1,3,1,2;NA;NA;1;3;NA;NA;139;279;23.03416;40.02423;NA;0.59215;NA;26.97146;
university;bn:00555894n,bn:02282411n,bn:00331390n,bn:03709772n,bn:03802673n,bn:00539943n;6;142,201,141,164,139,151;284,402,282,309,278,300;3,2,3,5,1,11;NA;NA;1;3;NA;NA;139;279;33.51961;57.09339;NA;0.79895;NA;49.64689;
university;bn:00263055n,bn:01788955n,bn:06487568n,bn:03711709n,bn:03375950n,bn:00761070n;6;141,141,234,141,140,301;282,282,468,282,280,602;3,3,6,3,1,3;NA;NA;1;3;NA;NA;139;279;34.45433;132.44690;NA;0.70319;NA;32.84618;
university;bn:14595066n,bn:03554122n,bn:17506423n,bn:05895150n,bn:00310857n,bn:18647022n;6;140,139,140,140,140,140;280,278,280,280,280,280;2,1,2,2,2,2;NA;NA;1;3;NA;NA;139;279;19.05936;36.91068;NA;0.53816;NA;26.55608;
university;bn:06783460n,bn:01143609n,bn:00806880n,bn:03022290n,bn:03323080n,bn:17415022n;6;234,143,140,188,145,141;468,286,280,376,289,282;6,2,2,5,4,3;NA;NA;1;3;NA;NA;139;279;61.84479;133.88001;NA;0.89918;NA;31.54459;
