SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
vehicle;bn:16000014n,bn:00484480n;2;63,63;126,126;2,2;NA;NA;1;3;NA;NA;61;123;5.49455;9.91745;NA;0.15244;NA;2.61816;
vehicle;bn:00706350n,bn:14329700n;2;150,153;300,306;1,3;NA;NA;1;3;NA;NA;149;299;8.44980;36.81725;NA;0.19652;NA;25.65949;
vehicle;bn:15997833n,bn:01051178n;2;163,65;326,130;13,1;NA;NA;1;3;NA;NA;58;117;10.38539;18.16849;NA;0.42165;NA;4.69474;
vehicle;bn:03883322n,bn:01448242n;2;63,66;126,132;3,3;NA;NA;2;5;NA;NA;62;125;9.29428;11.45400;NA;0.23092;NA;4.05188;
vehicle;bn:03009271n,bn:00563712n;2;158,64;316,128;6,2;NA;NA;2;5;NA;NA;62;125;13.12441;26.60933;NA;0.24418;NA;7.13763;
vehicle;bn:02912224n,bn:01699247n;2;61,154;122,308;1,3;NA;NA;1;3;NA;NA;61;123;11.46979;14.86552;NA;0.29058;NA;4.39257;
vehicle;bn:14723034n,bn:02329659n;2;59,284;118,567;2,5;NA;NA;1;3;NA;NA;58;117;12.85966;93.34308;NA;0.23056;NA;6.81323;
vehicle;bn:00656693n,bn:01700595n;2;152,62;304,124;2,2;NA;NA;1;3;NA;NA;61;123;7.89819;15.16823;NA;0.15794;NA;4.34804;
vehicle;bn:00323676n,bn:03233275n;2;152,194;304,388;3,23;NA;NA;2;5;NA;NA;133;267;17.62172;44.48147;NA;0.57070;NA;7.38476;
vehicle;bn:01820132n,bn:00981190n;2;153,245;306,489;20,20;NA;NA;17;35;NA;NA;133;267;15.77571;104.68451;NA;0.90596;NA;7.91058;
vehicle;bn:00758878n,bn:01437569n;2;168,69;336,138;1,2;NA;NA;1;3;NA;NA;58;117;8.42844;14.70539;NA;0.15471;NA;4.78723;
vehicle;bn:03088190n,bn:01038664n;2;180,85;360,170;4,4;NA;NA;3;7;NA;NA;62;125;10.74384;16.96125;NA;0.24297;NA;5.53167;
vehicle;bn:00806034n,bn:03884545n;2;63,157;126,314;3,6;NA;NA;1;3;NA;NA;58;117;9.15922;18.71281;NA;0.25689;NA;4.42436;
vehicle;bn:01996220n,bn:02485730n;2;67,67;134,134;2,4;NA;NA;2;5;NA;NA;62;125;6.95251;12.60087;NA;0.21019;NA;2.79402;
vehicle;bn:17444273n,bn:00488566n;2;77,153;154,306;3,5;NA;NA;3;7;NA;NA;61;123;8.23479;15.54352;NA;0.24006;NA;4.64411;
vehicle;bn:03006053n,bn:16248298n;2;66,62;132,124;1,2;NA;NA;1;3;NA;NA;58;117;4.31558;8.93669;NA;0.13646;NA;2.64827;
vehicle;bn:03455000n,bn:16545218n;2;152,167;304,334;5,6;NA;NA;3;7;NA;NA;145;291;29.67808;35.96170;NA;0.29214;NA;7.12520;
vehicle;bn:14629812n,bn:02580310n;2;62,160;124,319;2,7;NA;NA;2;5;NA;NA;62;125;9.68278;20.43180;NA;0.27141;NA;4.57943;
vehicle;bn:16652800n,bn:00554795n;2;74,69;148,138;3,3;NA;NA;2;5;NA;NA;65;131;5.88443;9.74505;NA;0.20687;NA;2.93873;
vehicle;bn:06314416n,bn:05115548n;2;153,151;306,302;4,2;NA;NA;2;5;NA;NA;150;301;9.51500;33.00340;NA;0.21060;NA;6.14049;
vehicle;bn:00166071n,bn:01522266n;2;62,156;124,312;4,4;NA;NA;1;3;NA;NA;58;117;9.10110;16.80731;NA;0.22961;NA;4.39169;
vehicle;bn:01392029n,bn:01248808n;2;138,64;218,128;2,3;NA;NA;1;3;NA;NA;58;117;8.49728;15.14480;NA;0.17568;NA;4.06475;
vehicle;bn:06342872n,bn:00783698n;2;246,61;492,122;3,1;NA;NA;1;3;NA;NA;59;119;9.58354;85.99164;NA;0.17066;NA;6.13967;
vehicle;bn:01715545n,bn:01194506n;2;65,62;130,124;4,1;NA;NA;1;3;NA;NA;58;117;7.22016;10.87188;NA;0.17051;NA;2.75288;
vehicle;bn:00561755n,bn:02023366n;2;155,64;310,128;6,1;NA;NA;1;3;NA;NA;61;123;8.60389;16.71104;NA;0.20778;NA;4.54384;
vehicle;bn:03023626n,bn:02655835n;2;221,153;442,306;8,8;NA;NA;5;11;NA;NA;85;171;12.50205;96.68099;NA;0.41191;NA;7.61386;
vehicle;bn:00720235n,bn:00647294n;2;151,338;302,510;3,7;NA;NA;2;5;NA;NA;133;267;15.63690;41.79415;NA;0.27150;NA;9.43117;
vehicle;bn:00273294n,bn:02688169n;2;61,72;122,144;1,2;NA;NA;1;3;NA;NA;58;117;4.73031;8.94729;NA;0.13172;NA;2.72811;
vehicle;bn:02555449n,bn:17490273n;2;128,61;195,122;2,1;NA;NA;1;3;NA;NA;59;119;5.08537;15.18324;NA;0.13922;NA;21.37605;
vehicle;bn:02426729n,bn:00274328n;2;125,153;189,306;2,3;NA;NA;1;3;NA;NA;59;119;8.43683;19.06494;NA;0.17371;NA;5.75226;
vehicle;bn:02604619n,bn:02783704n;2;61,66;122,132;1,1;NA;NA;1;3;NA;NA;61;123;3.51855;8.10086;NA;0.10699;NA;2.60262;
vehicle;bn:02049378n,bn:00568645n;2;62,150;124,300;2,1;NA;NA;1;3;NA;NA;61;123;7.11737;14.27749;NA;0.13211;NA;4.42517;
