SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
video_game;bn:00937225n,bn:00564260n,bn:14031513n,bn:00647758n,bn:02617790n;5;161,154,159,162,156;321,308,318,323,311;10,3,9,9,4;NA;NA;2;5;NA;NA;152;305;35.75030;60.75876;NA;1.05078;NA;43.71755;
video_game;bn:00784406n,bn:02094496n,bn:16894865n,bn:03822026n,bn:00327271n;5;160,160,151,165,177;320,319,302,329,352;9,8,1,15,9;NA;NA;1;3;NA;NA;151;303;32.73562;54.09036;NA;1.05382;NA;24.50770;
video_game;bn:14896481n,bn:02858492n,bn:03214791n,bn:15919897n,bn:03596434n;5;151,169,277,153,167;302,336,554,306,333;1,19,4,3,17;NA;NA;1;3;NA;NA;151;303;43.32549;79.27577;NA;1.09451;NA;26.80362;
video_game;bn:02200178n,bn:01608683n,bn:02364459n,bn:02176428n,bn:01157910n;5;156,156,164,161,161;312,312,328,321,321;6,6,1,10,11;NA;NA;1;3;NA;NA;151;303;54.82271;64.79038;NA;0.90225;NA;25.48006;
video_game;bn:01412439n,bn:00837536n,bn:02811721n,bn:02449224n,bn:01389722n;5;159,156,157,154,198;317,312,313,308,395;9,6,6,4,7;NA;NA;4;9;NA;NA;154;309;29.92902;54.41102;NA;1.13332;NA;24.84718;
video_game;bn:01267781n,bn:03499678n,bn:02624458n,bn:01129169n,bn:01537770n;5;160,157,172,158,158;319,314,343,316,316;10,7,21,8,8;NA;NA;5;11;NA;NA;155;311;38.47677;63.71417;NA;1.71212;NA;25.29470;
video_game;bn:11444436n,bn:01156068n,bn:01539477n,bn:15109625n,bn:01592589n;5;151,165,158,157,162;302,330,315,313,324;1,15,8,7,12;NA;NA;1;3;NA;NA;151;303;57.30579;62.55632;NA;1.06624;NA;24.53769;
video_game;bn:17790336n,bn:02074494n,bn:03643057n,bn:01530567n,bn:03708548n;5;153,176,152,153,206;306,351,304,306,411;3,7,1,3,7;NA;NA;1;3;NA;NA;151;303;30.67891;55.38412;NA;0.67799;NA;25.37562;
video_game;bn:03027203n,bn:03758792n,bn:03294478n,bn:01971957n,bn:03595739n;5;157,207,160,157,157;314,413,320,313,313;7,9,10,7,7;NA;NA;5;11;NA;NA;155;311;33.71178;58.69479;NA;1.35541;NA;25.72462;
video_game;bn:03379664n,bn:01668213n,bn:14881692n,bn:17483750n,bn:02147507n;5;157,157,162,153,159;314,313,323,306,318;7,7,12,3,9;NA;NA;3;7;NA;NA;153;307;53.73589;54.65083;NA;1.16298;NA;25.09726;
video_game;bn:15755897n,bn:01675213n,bn:02728757n,bn:02956173n,bn:14450143n;5;151,157,158,159,157;302,314,316,318,314;1,7,8,9,7;NA;NA;1;3;NA;NA;151;303;31.34324;51.83276;NA;0.87479;NA;24.86283;
video_game;bn:14985659n,bn:03581195n,bn:00557726n,bn:03098877n,bn:21326876n;5;157,177,163,166,154;314,352,326,331,308;7,27,13,9,4;NA;NA;2;5;NA;NA;152;305;37.85288;60.07960;NA;1.52422;NA;25.12927;
video_game;bn:03049765n,bn:00416025n,bn:01351121n,bn:00850513n,bn:03255621n;5;156,292,156,163,159;312,584,312,326,318;6,11,6,11,9;NA;NA;2;5;NA;NA;152;305;61.06275;77.84838;NA;1.28137;NA;27.38810;
video_game;bn:17173096n,bn:03523599n,bn:03357795n,bn:01188665n,bn:02529841n;5;151,154,158,162,162;302,308,316,323,324;1,4,8,12,12;NA;NA;1;3;NA;NA;151;303;33.76655;56.21265;NA;0.96817;NA;23.71750;
video_game;bn:03314174n,bn:01353755n,bn:00273479n,bn:03421929n,bn:02902511n;5;160,158,158,161,162;319,315,316,321,323;6,8,7,11,12;NA;NA;4;9;NA;NA;154;309;32.62970;57.98002;NA;1.38924;NA;24.42844;
