SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,3.50686,1.14546897923237,1.0,1.0,3.0,4.0,4.0,5.0,6.0,10.0
amusement_park,49994.0,1.910269232307877,0.6657712900990577,1.0,1.0,2.0,2.0,2.0,3.0,3.0,21.0
band,50000.0,1.71968,0.6671053876202498,1.0,1.0,1.0,2.0,2.0,3.0,4.0,9.0
championship,50000.0,1.69776,0.7656256957901304,1.0,1.0,1.0,2.0,2.0,3.0,5.0,10.0
chemical_element,49996.0,1.902232178574286,1.3995849747648696,1.0,1.0,1.0,2.0,2.0,3.0,7.0,22.0
company,50000.0,1.79598,1.1272893396218666,1.0,1.0,1.0,1.0,3.0,4.0,6.0,10.0
comune,50000.0,5.90196,0.45606174828236246,2.0,5.0,6.0,6.0,6.0,6.0,7.0,9.0
dialect,50000.0,1.60452,0.9615893420172947,1.0,1.0,1.0,1.0,2.0,3.0,4.0,22.0
film,49989.0,3.4330952809618114,2.466456924757929,1.0,1.0,2.0,3.0,4.0,7.0,17.0,29.0
scientist,50000.0,3.7602,2.005705964773586,1.0,1.0,2.0,4.0,5.0,7.0,9.0,18.0
sculpture,49998.0,4.433977359094364,2.6954456238021316,1.0,1.0,2.0,3.0,7.0,9.0,10.0,22.0
university,50000.0,1.39822,0.6566044884015673,1.0,1.0,1.0,1.0,2.0,3.0,3.0,10.0
vehicle,50000.0,1.34232,1.4893560290365846,1.0,1.0,1.0,1.0,1.0,3.0,6.0,19.0
video_game,50000.0,2.79474,1.8120689844153521,1.0,1.0,1.0,2.0,4.0,6.0,7.0,13.0
