SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,37.3424634196,19.153130565071496,10.66208,11.5522885,22.181469999999997,33.387105,52.4104175,74.13381799999999,77.42536670000001,143.93461
amusement_park,49994.0,18.06751659699164,10.885979421841085,4.59151,4.983027,9.97128,17.106070000000003,23.86214,38.682438999999995,48.1828188,781.40134
band,50000.0,17.8812088422,9.892562801479892,4.78406,5.1523195,10.163432499999999,16.480355000000003,24.2279825,38.38805499999997,47.48998140000001,90.01789
championship,50000.0,20.309068844400002,11.131148714611086,4.93722,5.6990985,11.3972325,18.94569,27.084892500000002,43.22894949999997,51.848116700000006,112.86939
chemical_element,49996.0,13.755679363349067,8.1266968668858,1.54406,3.8738275,7.9183675000000004,12.45158,17.5887125,30.3927775,41.58587200000002,87.59473
company,50000.0,31.4005311948,16.12667722768112,6.97102,9.183113,18.2191925,29.851045,42.3847375,63.03573399999997,70.2145792,127.05826
comune,50000.0,47.515876175799995,23.64562014096076,13.2169,14.709598,28.293155,43.165965,65.8265175,89.960196,93.07546810000001,162.96135
dialect,50000.0,21.915460947000003,11.633609579111821,4.71403,6.621005500000001,12.731275,21.011395,29.1519875,45.46826849999995,54.19069950000002,96.96427
film,49989.0,11.142070630338676,8.370954742926761,1.44496,2.0543639999999996,5.9606,9.41469,13.73147,29.769771999999982,39.066452000000034,158.16789
scientist,50000.0,37.004713231000004,18.64551820048689,8.02399,11.6672555,22.3584325,34.62205,51.5510575,73.40932349999999,78.82203559999999,134.08108
sculpture,49998.0,16.22360260370415,9.123424113767749,0.92172,4.7695525,9.269605,14.94356,21.1140575,35.134856999999975,45.35161369999999,75.03488
university,50000.0,20.3237264028,11.091761771907906,5.41202,5.9538095,11.5926975,18.66189,27.679035,43.51882199999999,51.56825370000001,76.67446
vehicle,50000.0,14.4531694002,9.447700253205731,2.39853,3.366206,8.02694,13.109089999999998,18.2896,31.774196999999987,43.967355500000025,137.78655
video_game,50000.0,22.3787065936,11.839757274681041,5.97755,6.959204499999999,13.46241,20.47478,31.063135000000003,46.4860475,54.5047248,95.31439
