SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,0.8882890527999999,0.4149632945200705,0.12203,0.2995385,0.5564875,0.86083,1.1869025,1.5768505,1.8939458000000011,8.13376
amusement_park,49994.0,0.5720755810697283,0.7207411614167613,0.08633,0.16544650000000002,0.31965,0.485555,0.6758525,1.5169419999999998,1.8977921,91.3525
band,50000.0,0.45035478440000004,0.23321586906197692,0.08315,0.15805,0.28933,0.43703,0.5864725000000001,0.8186719999999998,1.0067019000000004,21.13814
championship,50000.0,0.5736268344,0.3713199603119087,0.08535,0.1727865,0.347545,0.54514,0.756505,1.0683539999999996,1.331545100000001,41.56402
chemical_element,49996.0,0.6901444351548125,1.1806807307585592,0.0849,0.1965025,0.3700775,0.569955,0.7977725,1.2851125,2.341581,48.70709
company,50000.0,0.5528691334,0.36580880133677174,0.08408,0.1387295,0.29194749999999997,0.477355,0.716665,1.201641,1.568135100000001,16.50126
comune,50000.0,1.8898173126,1.9730535911739056,0.30507,0.656247,1.160965,1.66842,2.25107,2.8502834999999997,7.60543620000003,87.01022
dialect,50000.0,0.4263191762,0.9109167973365431,0.0839,0.1179995,0.2427975,0.37322500000000003,0.50717,0.8767364999999986,1.3711934000000068,91.16594
film,49989.0,2.579473183300326,9.456781926148924,0.09228,0.376738,0.81955,1.27886,1.79606,2.9946659999999987,52.15399320000001,210.00537
scientist,50000.0,1.1762719832,0.6513835097958864,0.09455,0.3842095,0.729285,1.1140949999999998,1.549845,2.159872,2.6399930000000005,47.25306
sculpture,49998.0,1.9811909374374979,3.8843450795887877,0.08494,0.242934,0.5168299999999999,0.88754,1.9157975,6.8085145,11.4649327,94.43832
university,50000.0,0.4479577962000001,0.3111041093033227,0.08343,0.13721950000000002,0.2627275,0.42275,0.5713050000000001,0.8249139999999997,1.4254828000000026,23.52855
vehicle,50000.0,0.847246308,5.24310665705974,0.0834,0.13652,0.28417749999999997,0.44329,0.60087,0.8796724999999997,1.6442713000000002,169.74308
video_game,50000.0,0.9036450859999997,0.49482461181173854,0.08551,0.2916995,0.55306,0.85661,1.174595,1.7096684999999991,2.0997509,45.60649
