SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,4.7589178067999995,5.9587775213896075,0.03454,1.0628055,2.5493550000000003,4.183719999999999,6.1401075,9.869409,14.862754900000006,894.71636
amusement_park,49994.0,3.7053783810057217,176.50736890780468,0.02555,0.04515,0.10403,1.467355,2.4844825000000004,3.327416,4.0402571,25081.38375
band,50000.0,1.9969326193999997,2.907497108407271,0.02573,0.04306,0.0785,1.3438400000000001,3.2650224999999997,5.228051,6.0834896000000045,195.62036
championship,50000.0,1.8948260622,30.91521712790534,0.02571,0.0453295,0.0967925,1.3496299999999999,2.345885,3.608112499999999,4.911270500000002,5725.77006
chemical_element,49996.0,31.62719770081606,529.7682767161426,0.02539,0.04911,0.1112075,1.771395,4.1824224999999995,6.960735,40.78860300000019,32738.39392
company,50000.0,5.2116408872,20.670585113987723,0.02669,0.03728,0.06506,0.7983750000000001,6.803380000000001,17.954509999999967,45.38376380000042,2266.56932
comune,50000.0,98.89702639260001,235.79242949865218,0.96495,20.477528500000002,41.815757500000004,60.449169999999995,97.02054,229.77092299999995,680.6378005000051,9916.18565
dialect,50000.0,5.641817173800001,273.2652564070153,0.02511,0.03468,0.05789,0.07747,1.2871925,6.799971999999994,14.04373520000001,32691.15246
film,49989.0,329.90388516433615,2691.358146324478,0.02736,0.07924400000000001,1.90585,3.62343,8.01241,115.54600399999991,11616.199150800034,58870.29541
scientist,50000.0,12.662493048,48.97299309722848,0.0321,1.4653655000000003,4.19668,9.424775,16.176789999999997,31.271923499999996,51.01006010000014,7484.86207
sculpture,49998.0,367.2053889103564,1409.7184091808003,0.0258,0.08565700000000001,2.6215175,5.91864,346.63732500000003,1601.4914615,3336.1022293999963,58973.56106
university,50000.0,0.736703593,2.6963375018209326,0.02584,0.03758,0.0630275,0.084715,1.0656275,2.7690354999999984,3.5583313000000025,313.30111
vehicle,50000.0,141.15261203560001,1952.6055106849735,0.02522,0.0326195,0.0539075,0.07565,0.816505,3.5099279999999977,98.44463070000029,59468.85897
video_game,50000.0,4.1109398174,26.657729232149027,0.02701,0.05309,0.8813625,2.68048,5.5076875,11.544597499999998,20.529094900000022,5746.8637
