UNIT_SIZE,SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
2,actor,10000.0,255.3019,1.3537132798212466,252.0,253.0,255.0,255.0,256.0,257.0,259.0,305.0
2,amusement_park,9994.0,120.8309985991595,12.330051775525886,118.0,118.0,119.0,119.0,120.0,121.0,201.0699999999997,339.0
2,band,10000.0,124.4471,5.532744591635478,122.0,122.0,124.0,124.0,125.0,126.0,143.0,267.0
2,championship,10000.0,131.2671,15.066673755537602,126.0,126.0,127.0,127.0,128.0,144.0,221.0,254.0
2,chemical_element,9996.0,58.98199279711885,33.33691873802708,36.0,36.0,38.0,40.0,82.0,135.0,164.0,330.0
2,company,10000.0,198.7595,20.241853497476495,163.0,166.0,195.0,195.0,196.0,234.0,286.0,345.0
2,comune,10000.0,314.0713,0.5664348107589114,310.0,313.0,314.0,314.0,314.0,315.0,316.0,341.0
2,dialect,10000.0,145.6612,22.925757863097125,121.0,121.0,121.0,162.0,164.0,173.0,187.0,257.0
2,film,9994.0,49.797878727236345,35.80320768142286,33.0,33.0,35.0,37.0,39.0,148.0,162.0,269.0
2,scientist,10000.0,244.5869,29.213082494130617,161.0,161.0,251.0,253.0,254.0,257.0,303.0,313.0
2,sculpture,10000.0,90.1446,34.72239702735877,18.0,20.0,85.0,88.0,117.0,133.0,188.0,341.0
2,university,10000.0,140.3238,5.212568526845925,139.0,139.0,139.0,140.0,140.0,141.0,153.0,234.0
2,vehicle,10000.0,70.7805,29.108401702171243,58.0,58.0,59.0,60.0,62.0,143.0,174.01000000000022,320.0
2,video_game,10000.0,154.1817,2.9750580174209547,151.0,151.0,152.0,154.0,156.0,157.0,159.01000000000022,260.0
3,actor,10000.0,254.7251,1.05082844177411,252.0,253.0,254.0,255.0,255.0,256.0,257.0,261.0
3,amusement_park,10000.0,119.176,3.6632998753306643,118.0,118.0,119.0,119.0,119.0,120.0,120.0,245.0
3,band,10000.0,123.5583,1.8231109355572235,122.0,122.0,122.0,124.0,124.0,125.0,125.0,177.0
3,championship,10000.0,127.7113,6.318856313013492,126.0,126.0,126.0,127.0,127.0,129.0,143.0,224.0
3,chemical_element,10000.0,45.4212,19.36868361945424,36.0,36.0,37.0,38.0,40.0,84.0,134.0,258.0
3,company,10000.0,192.8237,12.37528719195269,163.0,163.0,192.0,195.0,195.0,197.0,233.0,339.0
3,comune,10000.0,313.9267,0.3979232894597015,310.0,313.0,314.0,314.0,314.0,314.0,315.0,316.0
3,dialect,10000.0,137.3851,20.62914332068626,121.0,121.0,121.0,122.0,163.0,166.0,170.0,250.0
3,film,10000.0,39.8151,20.250933855558422,33.0,33.0,34.0,36.0,37.0,42.0,147.0,198.0
3,scientist,10000.0,238.4004,32.35208100809831,161.0,161.0,250.0,251.0,253.0,254.0,256.0,306.0
3,sculpture,10000.0,75.3263,29.75010143114669,18.0,19.0,49.0,86.0,88.0,118.0,131.0,204.0
3,university,10000.0,139.5447,1.6944288178917075,139.0,139.0,139.0,139.0,140.0,141.0,141.0,202.0
3,vehicle,10000.0,62.2671,15.210499450029637,58.0,58.0,58.0,59.0,60.0,83.0,142.0,233.0
3,video_game,10000.0,153.142,1.9770247501450933,151.0,151.0,151.0,153.0,155.0,156.0,157.0,233.0
4,actor,10000.0,254.4095,1.0295220937766014,252.0,253.0,254.0,254.0,255.0,256.0,256.0,258.0
4,amusement_park,10000.0,118.8672,0.9483955426985838,118.0,118.0,119.0,119.0,119.0,120.0,120.0,192.0
4,band,10000.0,123.2384,1.0622044378681452,122.0,122.0,122.0,124.0,124.0,124.0,125.0,141.0
4,championship,10000.0,126.8317,2.0512912737076023,126.0,126.0,126.0,127.0,127.0,127.0,141.0,220.0
4,chemical_element,10000.0,40.3469,10.924655381270384,36.0,36.0,37.0,38.0,39.0,69.0,84.0,138.0
4,company,10000.0,190.758,10.686751455220925,163.0,163.0,192.0,195.0,195.0,195.0,226.0,256.0
4,comune,10000.0,313.8704,0.4231096101180135,310.0,313.0,314.0,314.0,314.0,314.0,314.0,315.0
4,dialect,10000.0,133.0123,18.779771476023587,121.0,121.0,121.0,121.0,162.0,163.0,168.0,188.0
4,film,10000.0,36.3535,11.46980790594768,33.0,33.0,34.0,35.0,36.0,38.0,128.0,159.0
