SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,85.0970220952381,45.34692275220011,26.1,51.2,63.75,63.75,84.66666666666667,252.0,252.0,256.0
amusement_park,50000.0,70.66350627218671,27.152529933918128,3.0892857142857144,40.0,59.5,59.5,60.0,118.0,118.0,138.0
band,50000.0,83.07140135714286,31.24481297548199,11.266666666666667,41.666666666666664,62.0,62.0,122.0,122.0,122.0,130.0
championship,50000.0,87.6935419920635,32.375529149835344,15.222222222222221,47.333333333333336,63.5,63.5,126.0,126.0,127.0,128.0
chemical_element,50000.0,26.684953968790065,9.107532855700244,3.5,16.666666666666668,19.0,20.0,36.0,37.0,40.0,110.0
company,50000.0,142.14953345238095,61.04840591625397,23.22222222222222,48.5,64.0,195.0,195.0,195.0,195.0,263.0
comune,50000.0,53.59913107936509,5.683551945293056,35.22222222222222,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,62.6,78.0,155.0
dialect,50000.0,100.45704434164958,29.523934633919676,10.863636363636363,54.333333333333336,80.5,121.0,121.0,122.0,122.0,122.0
film,50000.0,15.132189956031729,9.404735030778419,3.2857142857142856,6.333333333333333,9.0,11.666666666666666,17.0,33.0,33.0,231.0
scientist,50000.0,83.66494704567654,43.826149889728555,14.777777777777779,36.285714285714285,50.4,62.75,124.5,161.0,161.0,214.0
sculpture,50000.0,22.22826365750435,16.558367210523443,3.7142857142857144,5.375,6.428571428571429,21.75,28.666666666666668,58.5,59.0,268.0
university,50000.0,115.58035699206349,35.21131251938634,16.666666666666668,47.0,70.0,139.0,139.0,139.0,139.0,200.0
vehicle,50000.0,54.909734053442435,12.419964151766516,7.2105263157894735,20.333333333333332,58.0,58.0,59.0,61.0,70.5,167.0
video_game,50000.0,83.99180435064936,51.23227908969887,12.538461538461538,26.0,38.5,76.0,151.0,151.0,151.0,153.0
