SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,254.51884,1.1945348854980558,252.0,252.0,254.0,255.0,255.0,256.0,257.0,305.0
amusement_park,50000.0,119.2719,5.860168702481562,118.0,118.0,119.0,119.0,119.0,120.0,121.0,339.0
band,50000.0,123.44452,2.779704391608952,122.0,122.0,122.0,124.0,124.0,125.0,126.0,267.0
championship,50000.0,127.7702,7.617106561303138,126.0,126.0,126.0,127.0,127.0,129.0,149.0,254.0
chemical_element,50000.0,44.20546,19.940283811590287,36.0,36.0,37.0,38.0,40.0,84.0,135.0,330.0
company,50000.0,192.00712,14.124458903348696,163.0,163.0,192.0,195.0,195.0,197.0,234.0,345.0
comune,50000.0,313.90274,0.4733338919826743,310.0,313.0,314.0,314.0,314.0,314.0,315.0,341.0
dialect,50000.0,134.46642,20.00961768949126,121.0,121.0,121.0,121.0,162.0,166.0,173.0,257.0
film,50000.0,39.0997,20.188742199954717,33.0,33.0,34.0,35.0,36.0,41.0,150.0,269.0
scientist,50000.0,234.20552,36.0253343915634,161.0,161.0,249.0,251.0,252.0,254.0,258.0,313.0
sculpture,50000.0,70.47124,31.674685137755855,18.0,19.0,47.0,85.0,87.0,118.0,159.0,341.0
university,50000.0,139.5098,2.5214819288312076,139.0,139.0,139.0,139.0,140.0,141.0,141.0,234.0
vehicle,50000.0,61.98046,16.09124037321968,58.0,58.0,58.0,58.0,59.0,65.0,149.0,320.0
video_game,50000.0,152.82004,2.079562667970792,151.0,151.0,151.0,152.0,154.0,156.0,158.0,260.0
