SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,3.50686,1.14546897923237,1.0,1.0,3.0,4.0,4.0,5.0,6.0,10.0
amusement_park,50000.0,1.91668,0.8863822488462986,1.0,1.0,2.0,2.0,2.0,3.0,3.0,56.0
band,50000.0,1.7198,0.6689520983883664,1.0,1.0,1.0,2.0,2.0,3.0,4.0,15.0
championship,50000.0,1.69776,0.7656256957901304,1.0,1.0,1.0,2.0,2.0,3.0,5.0,10.0
chemical_element,50000.0,1.90824,1.4188940649700923,1.0,1.0,1.0,2.0,2.0,3.0,7.0,22.0
company,50000.0,1.79598,1.1272893396218666,1.0,1.0,1.0,1.0,3.0,4.0,6.0,10.0
comune,50000.0,5.90196,0.45606174828236246,2.0,5.0,6.0,6.0,6.0,6.0,7.0,9.0
dialect,50000.0,1.60456,0.9615225930335377,1.0,1.0,1.0,1.0,2.0,3.0,4.0,22.0
film,50000.0,3.43534,2.4721936249465544,1.0,1.0,2.0,3.0,4.0,7.0,17.0,29.0
scientist,50000.0,3.7602,2.005705964773586,1.0,1.0,2.0,4.0,5.0,7.0,9.0,18.0
sculpture,50000.0,4.43454,2.6968612217926586,1.0,1.0,2.0,3.0,7.0,9.0,10.0,22.0
university,50000.0,1.39822,0.6566044884015673,1.0,1.0,1.0,1.0,2.0,3.0,3.0,10.0
vehicle,50000.0,1.34272,1.490270921593921,1.0,1.0,1.0,1.0,1.0,3.0,6.0,19.0
video_game,50000.0,2.79474,1.8120689844153521,1.0,1.0,1.0,2.0,4.0,6.0,7.0,13.0
