SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,38.027051291,19.749941517772122,9.84817,10.5057355,20.8746725,36.94382,50.484275000000004,70.94190649999999,82.73071170000004,123.31082
amusement_park,50000.0,20.672627979999998,11.105288133235918,4.65838,5.860338,11.6400675,19.66496,28.2283675,41.602441999999996,52.57347500000001,82.87515
band,50000.0,20.251156425399998,10.73629351533509,4.73891,6.018428500000001,11.816445,18.96725,28.20396,39.84991899999999,50.98912900000003,86.85076
championship,50000.0,20.9806612268,11.319386066833518,4.90283,5.84664,12.150585,20.202424999999998,27.8265075,42.84208449999996,53.484343900000006,82.59798
chemical_element,50000.0,14.792474316399998,8.500669939359671,1.65326,4.2217005,8.51214,13.570464999999999,18.957569999999997,31.36510949999996,43.179375400000026,81.44715
company,50000.0,31.570911471800002,16.273980445019433,6.51465,8.9890665,18.3023125,30.45119,42.36567,61.5829045,72.5113531,109.20632
comune,50000.0,51.3805067292,25.449596978118045,12.48613,15.619178,30.4965925,49.84086,74.42679000000001,96.2353475,97.83817810000001,152.19646
dialect,50000.0,24.1374673424,12.529451587054947,4.76953,7.232999,14.14018,22.892475,32.934395,47.82889249999998,57.38291330000001,84.60832
film,50000.0,11.4863826334,7.7143450160166696,1.47018,2.2455515,6.190145,9.91089,14.491185000000002,28.75333149999998,38.44660230000002,89.17173
scientist,50000.0,37.2872659572,19.191187617531753,7.65205,10.7965105,21.31662,36.49457,50.569,71.13989,83.2082306,126.84137
sculpture,50000.0,16.749051823199995,9.202363889720365,0.99684,4.966591500000001,9.750655,15.452485,21.876640000000002,34.41755449999999,45.79057070000001,72.72069
university,50000.0,21.1745278586,11.6067416391555,5.42914,5.796754,11.6193525,20.33252,28.333350000000003,44.49354799999998,53.900972900000006,81.04643
vehicle,50000.0,13.5224279466,7.869355270621017,2.37686,3.2491565,7.5853325,12.47822,17.491190000000003,29.27106199999998,39.68758300000004,62.03354
video_game,50000.0,24.857955777599997,12.961517253779821,5.9981,7.704316,15.22728,23.44798,33.3016,49.60157199999999,58.85579070000001,83.46226
