SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,0.9483761108000001,0.4414494792595874,0.12196,0.31422,0.592245,0.9229849999999999,1.2613375,1.6904444999999995,2.036375600000001,3.78235
amusement_park,50000.0,0.7051008018,3.719403281128568,0.08494,0.19644,0.37408,0.58205,0.8026625000000001,1.7712359999999996,2.1933527000000006,402.29724
band,50000.0,0.5262111828,0.24835853326912274,0.08668,0.187058,0.33552,0.5118499999999999,0.692225,0.9532089999999993,1.1526316000000003,2.4836
championship,50000.0,0.6237745168000001,0.3101771189898207,0.08582,0.187339,0.3773375,0.598025,0.82897,1.1642174999999992,1.4491908000000002,3.10417
chemical_element,50000.0,0.7835454242,1.498176810049213,0.08557,0.212238,0.4088775,0.635005,0.8926375,1.435030999999999,2.6367525000000067,105.55587
company,50000.0,0.5820627258,0.3546026686643073,0.08467,0.15655750000000002,0.32119749999999997,0.5184599999999999,0.765085,1.2279219999999997,1.5894403,19.3162
comune,50000.0,1.9140096276000003,0.8529313349727731,0.35099,0.75418,1.2708075,1.843855,2.427345,2.9766405000000002,4.266037000000002,27.28655
dialect,50000.0,0.4775890398,0.3049201011382582,0.08493,0.1409195,0.27988500000000005,0.43263,0.5869475,0.9897919999999998,1.5487784000000018,18.09827
film,50000.0,2.3878915569999997,7.420838198145131,0.10328,0.41163400000000006,0.8916275,1.39399,1.97321,3.2170549999999913,38.6860992000001,161.48332
scientist,50000.0,1.2315908059999998,0.5983107252019908,0.11179,0.4083495,0.762195,1.17167,1.6157299999999999,2.2878125,2.7908526000000005,21.36393
sculpture,50000.0,1.2007792438,0.9128544602595238,0.08683,0.261428,0.5460675,0.915315,1.534625,3.0754354999999984,3.822793000000007,10.49469
university,50000.0,0.4818127474000001,0.2790447301924097,0.08627,0.151639,0.2855,0.454625,0.618735,0.8936719999999998,1.4486173000000055,18.52873
vehicle,50000.0,0.4956927994,0.5182543367876601,0.0829,0.1363495,0.2830375,0.445685,0.6059225,0.8719549999999996,1.4570922000000046,21.08842
video_game,50000.0,1.0601282544000001,0.5183452279243662,0.08881,0.3429785,0.64453,1.0154100000000001,1.3936425,1.9786049999999995,2.3845098000000022,18.87358
