SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,43.9490747278,16.64840340109491,12.5798,21.5167305,30.896715,41.774885,54.31882,74.85058,89.56054760000006,174.31102
amusement_park,50000.0,20.2619863658,9.44123169410014,5.95771,8.363769000000001,12.9165925,18.848995000000002,25.2502125,38.878570999999994,49.82835330000004,77.72463
band,50000.0,22.0500106026,10.673281543232125,6.06234,8.862913,13.7690775,20.379735,27.45213,43.19942499999997,54.95136940000005,93.59457
championship,50000.0,25.933994557799995,12.928005629169682,5.69702,9.241511,15.64465,23.839085,33.7659225,50.415074,63.566465900000026,92.36394
chemical_element,50000.0,23.9073350384,13.254922543169123,2.76955,6.940284,13.56476,21.524729999999998,31.721805,49.119004499999996,63.090660899999996,100.24892
company,50000.0,32.527470314999995,16.136037244566246,7.62003,11.569356500000001,19.787914999999998,30.0833,42.0928525,62.968605,78.50353510000001,139.20427
comune,50000.0,41.835376120199996,16.53099255306364,14.84119,18.925917000000002,28.252835,40.566235,53.1703725,73.026337,81.73143750000003,110.04293
dialect,50000.0,20.2892604452,9.277077527172594,5.57275,8.738211,13.16853,18.875709999999998,25.25505,39.3126475,48.72803300000002,72.21126
film,50000.0,30.9434877444,14.922546217208884,3.09962,10.5282315,18.965125,29.29934,40.635152500000004,57.807439499999994,71.91870900000005,142.44964
scientist,50000.0,44.47254404019999,19.928869770577343,10.1484,17.060236,28.01727,42.552425,58.3639825,80.20300449999999,94.4585224,137.71254
sculpture,50000.0,24.7729595112,11.963665500397006,2.5837,9.226145500000001,15.2274375,23.24017,31.926662500000003,47.15976099999999,59.5242832,92.319
university,50000.0,21.902868135600002,10.565505658111883,6.33843,8.919768000000001,13.586377500000001,20.14117,27.646594999999998,42.430927499999974,53.981992000000005,113.96892
vehicle,50000.0,21.867958501,12.665534165963647,3.17188,6.117757500000001,12.0720575,19.469655000000003,28.880364999999998,46.2518415,60.34675620000007,152.91289
video_game,50000.0,32.870349215999994,14.94016852347564,6.7572,13.0607445,20.624315,31.256025,42.7772425,60.25031499999999,72.98069970000006,110.18186
