SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,178.65997140520003,16.112072500277524,143.41367,155.541315,167.68165249999998,177.43402500000002,188.1015575,205.193857,219.1584341,618.53484
amusement_park,50000.0,34.0178700666,12.006855953261752,16.85893,21.291885999999998,25.6805075,31.170074999999997,39.6160125,54.19437249999998,73.37423170000015,200.24998
band,50000.0,48.562653728600004,28.795498757407408,22.77653,29.3126485,34.0693275,39.526430000000005,47.257695,125.04557149999995,140.9661768,900.67088
championship,50000.0,74.99262866080001,42.48631678977095,21.6402,26.449865,35.0111125,50.325625,117.229885,135.37277699999999,148.28090690000005,220.0703
chemical_element,50000.0,76.9704328964,43.99087248691188,4.79058,10.9899775,26.1900825,93.50689,111.4513225,133.27258849999998,149.88149670000024,226.82201
company,50000.0,94.57157266419999,37.45027569483625,35.64253,55.7635025,68.610555,80.848495,105.1360975,171.20204899999996,192.37013380000002,264.00187
comune,50000.0,177.50961445800002,12.160991488342924,136.82476,157.67780249999998,170.335695,177.26206000000002,183.96032250000002,199.486222,209.7203666,295.0395
dialect,50000.0,39.0930476814,11.207421909742948,20.41254,28.3752605,33.242035,37.659715000000006,42.440515,51.294278999999996,107.75787190000014,159.59594
film,50000.0,43.3756476664,23.51631816097186,8.69336,16.697979500000002,27.945815,39.67669,52.12704,79.76311149999998,141.1503173000003,206.65125
scientist,50000.0,181.49837951939998,23.22125788411339,39.97465,139.07635100000002,168.0432125,182.421975,196.6248925,217.7542795,233.4351488,302.56114
sculpture,50000.0,39.146808187000005,19.20761164664663,4.03241,19.4581185,27.661405,35.787634999999995,45.1899225,65.02043399999997,129.33804240000015,199.72312
university,50000.0,50.4381371392,27.161238634533184,27.60806,30.5606785,36.21288,41.91901,49.6723925,127.145317,144.81433100000004,219.12996
vehicle,50000.0,53.473374832800005,41.05614873716289,6.59032,10.735848,19.9983275,32.696844999999996,97.20606000000001,122.70974799999998,138.57133620000002,213.18127
video_game,50000.0,60.6538296722,16.034375846748762,31.83641,42.2774265,49.615895,58.457765,68.07645500000001,86.02443199999999,123.01043480000007,206.574
