UNIT_SIZE,SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
2,actor,10000.0,4.2503,1.1614580528287917,1.0,2.0,4.0,4.0,5.0,6.0,7.0,10.0
2,amusement_park,10000.0,2.2752,1.5568902821763237,1.0,1.0,2.0,2.0,3.0,3.0,4.0,56.0
2,band,10000.0,2.1354,0.8239749592514005,1.0,1.0,2.0,2.0,3.0,3.0,4.0,15.0
2,championship,10000.0,2.1942,1.1349956746693584,1.0,1.0,2.0,2.0,2.0,5.0,7.0,10.0
2,chemical_element,10000.0,2.7951,2.333165308338782,1.0,1.0,2.0,2.0,3.0,6.0,18.0,22.0
2,company,10000.0,2.0067,1.4055079705450007,1.0,1.0,1.0,1.0,3.0,5.0,7.0,10.0
2,comune,10000.0,6.0674,0.4918144244964906,2.0,5.0,6.0,6.0,6.0,7.0,8.0,9.0
2,dialect,10000.0,2.1646,1.224114653808444,1.0,1.0,1.0,2.0,3.0,4.0,6.0,22.0
2,film,10000.0,5.2095,3.4275333037703435,1.0,1.0,3.0,5.0,6.0,10.0,21.0,29.0
2,scientist,10000.0,5.2681,2.2433291427171933,1.0,1.0,4.0,5.0,7.0,9.0,11.0,18.0
2,sculpture,10000.0,4.2566,2.5645689972028713,1.0,2.0,3.0,4.0,5.0,9.0,11.0,22.0
2,university,10000.0,1.8228,0.873313476160058,1.0,1.0,1.0,2.0,2.0,3.0,4.0,10.0
2,vehicle,10000.0,1.9533,2.31625896988259,1.0,1.0,1.0,1.0,2.0,5.0,17.0,19.0
2,video_game,10000.0,4.0668,2.14839459130114,1.0,1.0,2.0,4.0,6.0,7.0,9.0,13.0
3,actor,10000.0,3.718,1.0470843512171577,1.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0
3,amusement_park,10000.0,2.0014,0.6309024043260402,1.0,1.0,2.0,2.0,2.0,3.0,3.0,19.0
3,band,10000.0,1.8161,0.6383741396345997,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0
3,championship,10000.0,1.7616,0.6817711648288737,1.0,1.0,1.0,2.0,2.0,3.0,4.0,8.0
3,chemical_element,10000.0,2.0097,1.369011807594417,1.0,1.0,1.0,2.0,2.0,3.0,7.0,19.0
3,company,10000.0,1.7286,1.1373967676851882,1.0,1.0,1.0,1.0,3.0,4.0,6.0,9.0
3,comune,10000.0,5.9267,0.39792328945970157,2.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0
3,dialect,10000.0,1.7499,0.9962174636712068,1.0,1.0,1.0,1.0,3.0,3.0,4.0,19.0
3,film,10000.0,3.8539,2.568426458251656,1.0,1.0,2.0,4.0,5.0,7.0,18.0,26.0
3,scientist,10000.0,4.2114,1.9227791729615749,1.0,1.0,3.0,4.0,6.0,7.0,8.0,11.0
3,sculpture,10000.0,4.3852,2.6227674031231,1.0,2.0,3.0,3.0,5.0,9.0,10.0,21.0
3,university,10000.0,1.492,0.6718490441414734,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0
3,vehicle,10000.0,1.4391,1.7258589307660375,1.0,1.0,1.0,1.0,1.0,3.0,8.010000000000218,18.0
3,video_game,10000.0,3.1304,1.8024762778115022,1.0,1.0,1.0,3.0,5.0,6.0,7.0,10.0
4,actor,10000.0,3.4087,1.0288683914946077,1.0,2.0,3.0,3.0,4.0,5.0,5.0,7.0
4,amusement_park,10000.0,1.8533,0.5735956861772238,1.0,1.0,2.0,2.0,2.0,3.0,3.0,16.0
4,band,10000.0,1.6436,0.5644562880242446,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0
4,championship,10000.0,1.602,0.5415028370491268,1.0,1.0,1.0,2.0,2.0,2.0,3.0,6.0
4,chemical_element,10000.0,1.7025,0.8436023450012744,1.0,1.0,1.0,2.0,2.0,3.0,4.0,18.0
4,company,10000.0,1.7028,1.0263418035672984,1.0,1.0,1.0,1.0,3.0,3.0,4.0,8.0
4,comune,10000.0,5.8704,0.4231096101180135,2.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0
