UNIT_SIZE,SEED,ABS,PERC
2,actor,191,0.0191
2,amusement_park,1265,0.1265
2,band,1922,0.1922
2,championship,2114,0.2114
2,chemical_element,1736,0.1736
2,company,5230,0.523
2,comune,0,0.0
2,dialect,3694,0.3694
2,film,544,0.0544
2,scientist,853,0.0853
2,sculpture,421,0.0421
2,university,4369,0.4369
2,vehicle,6068,0.6068
2,video_game,1772,0.1772
3,actor,331,0.0331
3,amusement_park,1818,0.1818
3,band,3013,0.3013
3,championship,3327,0.3327
3,chemical_element,3075,0.3075
3,company,6424,0.6424
3,comune,0,0.0
3,dialect,5693,0.5693
3,film,1029,0.1029
3,scientist,1420,0.142
3,sculpture,472,0.0472
3,university,6057,0.6057
3,vehicle,8313,0.8313
3,video_game,2714,0.2714
4,actor,497,0.0497
4,amusement_park,2393,0.2393
4,band,3997,0.3997
4,championship,4206,0.4206
4,chemical_element,4084,0.4084
4,company,6476,0.6476
4,comune,0,0.0
4,dialect,6869,0.6869
4,film,1525,0.1525
4,scientist,1893,0.1893
4,sculpture,630,0.063
4,university,7227,0.7227
4,vehicle,9273,0.9273
4,video_game,3512,0.3512
5,actor,684,0.0684
5,amusement_park,2914,0.2914
5,band,4806,0.4806
5,championship,5054,0.5054
5,chemical_element,4861,0.4861
5,company,6153,0.6153
5,comune,0,0.0
5,dialect,7889,0.7889
5,film,2027,0.2027
5,scientist,2357,0.2357
5,sculpture,866,0.0866
5,university,8084,0.8084
5,vehicle,9643,0.9643
5,video_game,4337,0.4337
6,actor,947,0.0947
6,amusement_park,3394,0.3394
6,band,5397,0.5397
6,championship,5724,0.5724
6,chemical_element,5663,0.5663
6,company,5911,0.5911
6,comune,0,0.0
6,dialect,8507,0.8507
6,film,2590,0.259
6,scientist,2779,0.2779
6,sculpture,1213,0.1213
6,university,8622,0.8622
6,vehicle,9850,0.985
6,video_game,5015,0.5015
