,SEED,UNIT,UNIT_SIZE,SUMMARY_SIZES,SUMMARY_TILDE_SIZES,OLDKER_SIZE,NEWKER_SIZE,OLDCORE_SIZE,NEWCORE_SIZE,SUMMARY_COMPUTATION_TIME,SUMMARY_TILDE_COMPUTATION_TIME,OLDKER_COMPUTATION_TIME,NEWKER_COMPUTATION_TIME,OLDCORE_COMPUTATION_TIME,NEWCORE_COMPUTATION_TIME
2762,amusement_park,"bn:02402803n,bn:03446916n",2,"173,289","55,56",TIMEOUT,55,,172,13.9858,28.84613,TIMEOUT,384.1843,,10.86257
3892,amusement_park,"bn:03085743n,bn:02402803n",2,"175,173","56,55",TIMEOUT,55,,173,10.57144,25.72609,TIMEOUT,201.28962,,14.22802
4760,amusement_park,"bn:02402803n,bn:02898004n",2,"173,173","55,55",TIMEOUT,55,,172,10.04434,23.87099,TIMEOUT,196.8247,,8.59696
8859,amusement_park,"bn:03444592n,bn:03284442n",2,"289,178","56,60",TIMEOUT,56,,173,16.24677,34.14505,TIMEOUT,402.29724,,11.53265
9220,amusement_park,"bn:02402803n,bn:03444640n",2,"173,173","55,56",TIMEOUT,55,,172,11.36533,24.44582,TIMEOUT,384.27156,,8.76601
9930,amusement_park,"bn:01278444n,bn:03446933n",2,"174,174","56,56",TIMEOUT,56,,173,10.83425,26.71108,TIMEOUT,383.54357,,9.12898
550,chemical_element,"bn:02433103n,bn:00006908n",2,"210,240","30,43",TIMEOUT,3,,141,20.9644,45.35281,TIMEOUT,28.23568,,11.08823
3636,chemical_element,"bn:00006872n,bn:00049739n",2,"110,152","35,42",TIMEOUT,4,,39,12.61478,18.32301,TIMEOUT,47.76414,,5.33276
7571,chemical_element,"bn:00049739n,bn:00006881n",2,"152,136","42,62",TIMEOUT,2,,37,18.34801,23.40105,TIMEOUT,105.55587,,7.4218
8613,chemical_element,"bn:15586463n,bn:00006905n",2,"119,94","62,21",TIMEOUT,2,,37,10.22164,15.44332,TIMEOUT,100.02512,,5.28163
3554,film,"bn:16092513n,bn:15159811n",2,"80,69","48,37",TIMEOUT,7,,39,34.17253,20.15675,TIMEOUT,44.16498,,13.42317
3659,film,"bn:14496655n,bn:16572511n",2,"89,55","57,23",TIMEOUT,6,,38,11.54958,17.79673,TIMEOUT,48.01862,,2.93939
6241,film,"bn:03515773n,bn:05773657n",2,"289,54","144,22",TIMEOUT,8,,40,29.71999,34.45177,TIMEOUT,98.96719,,7.25309
9160,film,"bn:03756889n,bn:03745983n",2,"80,66","48,34",TIMEOUT,9,,41,18.80082,27.82588,TIMEOUT,55.38005,,3.82433
