SEED;WT_SUMMARY_SIZE;SUMMARY_SIZE;SUMMARY_TILDE_SIZE;TOP_SUMMARY_RATIO;TOP_TILDE_RATIO;NOTOP_TILDE_RATIO
actor;519.890265;260.455575;6.69474;1.9961580733284476;93.11069433556517;46.64669423316349
amusement_park;276.34232;138.265245;3.889175;1.9991356315676518;109.43439499043883;54.74289383165391
band;273.55776;136.89874;2.88383;1.9990529908358652;124.84515159493253;62.48369294325552
championship;307.85075;154.723845;4.18074;1.9937703064429342;106.30711263734358;53.443205527500474
chemical_element;228.388075;125.149535;5.05749;1.7870805498727624;66.00901003361976;36.79293434788678
company;469.996955;235.30482;3.915045;1.9983043964962242;187.72625980122768;93.97183292796637
comune;641.193055;320.61532;11.98654;1.9998960556148035;57.38079127928649;28.691195659102505
dialect;305.887115;171.197975;2.53878;1.8113363507444316;201.1560468793951;111.47785845326604
film;180.34718;90.51749;11.89613;1.9913954922690944;25.478720698633083;12.770315303656188
scientist;534.80366;268.017065;9.864155;1.995592255448096;73.81860088758798;37.020264767850506
sculpture;268.554825;134.41024;7.058285;1.9982543586185504;51.80745613315835;25.92497378815116
university;303.931005;152.18513;3.014685;1.9981078331414555;146.62955319271387;73.40748818346057
vehicle;233.14847;120.032445;3.37332;1.959058060839014;97.48711809041306;49.92577112979632
video_game;325.24884;162.92715;7.674115;1.9970552461814854;69.99375821568819;35.06272794683505
