SEED,2,3,4,5,6
actor,0.233,0.235,0.331,0.349,0.341
amusement_park,0.228,0.234,0.238,0.236,0.237
band,0.229,0.23,0.236,0.234,0.329
championship,0.229,0.234,0.233,0.236,0.333
chemical_element,0.23,0.231,0.233,0.333,0.333
company,0.228,0.236,0.232,0.331,0.332
comune,0.236,0.236,0.334,0.341,0.343
dialect,0.231,0.233,0.235,0.236,0.237
film,0.229,0.234,0.236,0.327,0.334
scientist,0.231,0.235,0.337,0.343,0.343
sculpture,0.229,0.234,0.236,0.239,0.331
university,0.228,0.232,0.235,0.234,0.334
vehicle,0.233,0.232,0.235,0.236,0.334
video_game,0.231,0.237,0.234,0.333,0.33
