SEED,2,3,4,5,6,overall
actor,0.432,0.435,0.433,0.439,0.438,0.439
amusement_park,0.324,0.232,0.23,0.229,0.333,0.333
band,0.328,0.331,0.327,0.336,0.337,0.337
championship,0.335,0.331,0.335,0.336,0.339,0.339
chemical_element,0.328,0.328,0.338,0.337,0.34,0.34
company,0.331,0.336,0.335,0.339,0.432,0.432
comune,0.342,0.338,0.344,0.434,0.441,0.441
dialect,0.228,0.229,0.232,0.231,0.332,0.332
film,0.325,0.33,0.332,0.336,0.337,0.337
scientist,0.433,0.433,0.342,0.343,0.438,0.438
sculpture,0.324,0.328,0.329,0.339,0.337,0.339
university,0.327,0.332,0.334,0.337,0.337,0.337
vehicle,0.332,0.335,0.335,0.337,0.339,0.339
video_game,0.324,0.323,0.324,0.33,0.333,0.333
