SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
actor;bn:00915979n,bn:02426205n;2;260,265;519,528;65033;130065;21.31712;498.59935;
actor;bn:15939213n,bn:05144812n;2;257,256;512,512;63762;127525;15.58194;482.08496;
actor;bn:02688185n,bn:05472498n;2;260,256;519,511;63761;127522;18.10442;493.95610;
actor;bn:08476136n,bn:03875359n;2;255,258;510,515;63508;127017;18.11145;451.90233;
actor;bn:03340439n,bn:02366938n;2;259,270;517,538;66553;133105;18.65452;538.11368;
actor;bn:02355295n,bn:02786318n;2;257,259;513,518;63507;127015;20.70103;455.83761;
actor;bn:02812478n,bn:04837651n;2;257,259;513,517;63761;127522;19.71281;488.80503;
actor;bn:15492993n,bn:01557848n;2;266,256;531,511;65020;130040;24.54244;528.54898;
actor;bn:03685106n,bn:00522510n;2;255,272;509,543;65525;131050;20.19795;458.95294;
actor;bn:02912715n,bn:01013749n;2;263,331;525,661;81654;163308;25.08499;629.15020;
actor;bn:03451315n,bn:05473584n;2;260,257;519,514;64014;128029;19.38851;465.75088;
actor;bn:00894109n,bn:00518122n;2;256,268;511,535;66795;133590;17.11165;461.01667;
actor;bn:03581893n,bn:03191399n;2;256,258;511,515;63760;127520;18.02058;474.67106;
actor;bn:15903232n,bn:03252928n;2;258,267;515,533;65784;131568;16.98214;453.93624;
actor;bn:04704838n,bn:02035319n;2;254,257;507,513;63506;127012;19.51343;499.00229;
actor;bn:10822527n,bn:06761648n;2;256,254;511,507;63506;127012;18.61947;490.75063;
actor;bn:14513033n,bn:04967027n;2;257,257;514,513;63509;127019;20.08166;446.87083;
actor;bn:01676958n,bn:02753853n;2;266,261;530,522;66049;132099;37.48064;551.14683;
actor;bn:00419378n,bn:04971622n;2;257,255;513,509;63507;127014;27.93763;469.96734;
actor;bn:10748570n,bn:15857631n;2;256,264;511,527;65021;130042;22.03114;522.31358;
actor;bn:01504104n,bn:00551877n;2;260,261;518,521;65022;130044;22.59190;466.46727;
actor;bn:03445787n,bn:15717100n;2;257,258;513,514;63762;127524;25.76232;500.66633;
actor;bn:10862126n,bn:01560715n;2;255,264;509,528;64515;129031;31.04552;459.63806;
actor;bn:01401853n,bn:05009528n;2;257,255;513,509;63759;127518;23.81553;511.97164;
actor;bn:01494463n,bn:06606823n;2;259,257;517,513;63515;127030;24.73560;474.77019;
actor;bn:05349035n,bn:16895585n;2;256,256;511,511;63508;127016;23.91731;481.13479;
actor;bn:01653276n,bn:16046111n;2;265,256;528,511;66027;132054;25.02744;512.08617;
actor;bn:03670631n,bn:15611828n;2;263,257;525,513;65273;130546;17.69627;508.47387;
actor;bn:14697345n,bn:00222785n;2;259,256;516,511;63509;127018;19.54325;444.05576;
actor;bn:00420006n,bn:14309810n;2;257,257;514,513;64013;128027;16.92074;509.37857;
actor;bn:02260472n,bn:00047941n;2;257,304;513,606;63771;127543;27.80986;445.32449;
actor;bn:14632728n,bn:04794882n;2;257,257;514,513;63509;127019;18.78791;508.07595;
actor;bn:06769816n,bn:15052861n;2;256,257;511,513;63508;127016;17.47581;440.34437;
actor;bn:03775741n,bn:05216730n;2;261,257;521,514;64769;129539;18.25691;506.51670;
actor;bn:03135362n,bn:03633027n;2;255,254;509,507;63757;127514;17.49169;448.02275;
actor;bn:00913645n,bn:01824738n;2;257,264;513,526;63514;127028;21.86754;495.88956;
actor;bn:08452703n,bn:08292506n;2;255,254;509,508;63505;127011;18.61624;486.54719;
actor;bn:02931679n,bn:15025827n;2;257,256;513,511;63759;127518;20.23947;446.04769;
actor;bn:01939161n,bn:06755831n;2;363,259;724,517;90731;181461;20.46458;715.60550;
actor;bn:01266969n,bn:10870124n;2;257,258;513,515;63513;127026;18.50601;444.39257;
actor;bn:05239788n,bn:04931045n;2;258,255;516,509;63509;127019;25.05430;507.42230;
actor;bn:03880190n,bn:03439683n;2;261,264;520,526;66310;132617;18.50474;462.82104;
actor;bn:01989734n,bn:03394587n;2;276,263;551,525;66537;133074;25.25083;529.47543;
actor;bn:08677143n,bn:14494742n;2;255,257;509,513;63508;127016;17.56951;451.58831;
actor;bn:16895696n,bn:03320168n;2;263,257;525,513;63762;127525;21.01626;482.59724;
actor;bn:02671415n,bn:00182564n;2;257,258;514,516;63761;127523;25.90921;486.10292;
actor;bn:01044620n,bn:03520915n;2;254,256;508,511;63504;127009;21.20405;488.46283;
actor;bn:03221433n,bn:16706385n;2;256,257;511,513;63507;127014;21.19061;476.18674;
actor;bn:02736700n,bn:04924264n;2;256,256;510,511;63759;127518;16.06065;475.76167;
actor;bn:04919584n,bn:04869591n;2;255,257;509,513;63508;127016;23.94712;465.99742;
actor;bn:01463986n,bn:10874406n;2;256,256;512,511;63507;127015;18.19439;508.86047;
actor;bn:02062599n,bn:02484126n;2;259,257;517,513;64013;128026;18.31018;454.98370;
actor;bn:02754401n,bn:16709122n;2;257,256;513,512;63508;127017;18.14884;472.55929;
actor;bn:03306542n,bn:02767722n;2;257,258;513,516;63760;127521;20.08277;491.00480;
actor;bn:02821875n,bn:00271862n;2;259,269;516,536;65287;130573;24.98804;502.13852;
