SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
amusement_park;bn:03613750n,bn:00309788n;2;120,119;240,238;14043;28087;12.02974;100.89338;
amusement_park;bn:01826381n,bn:02064423n;2;267,121;534,242;31655;63311;15.03020;210.19932;
amusement_park;bn:03599600n,bn:02228272n;2;122,224;244,448;26642;53285;12.82789;186.71355;
amusement_park;bn:01296206n,bn:00547702n;2;120,121;240,242;14281;28563;12.23359;89.60883;
amusement_park;bn:00309788n,bn:04116179n;2;119,220;238,440;25725;51451;12.21854;181.12160;
amusement_park;bn:00423218n,bn:03571157n;2;294,120;588,240;34868;69737;13.25858;236.88832;
amusement_park;bn:01711175n,bn:03114652n;2;119,120;238,240;14043;28087;8.66491;83.15522;
amusement_park;bn:03647705n,bn:03156905n;2;120,236;240,471;27378;54757;33.63763;168.17914;
amusement_park;bn:00697414n,bn:14856685n;2;122,122;244,244;14402;28805;9.78763;82.67473;
amusement_park;bn:00615887n,bn:02948029n;2;121,119;242,238;14043;28087;9.29971;81.71725;
amusement_park;bn:00121485n,bn:02511049n;2;120,119;240,238;14042;28085;9.43414;82.88728;
amusement_park;bn:01706375n,bn:01572692n;2;120,120;240,240;14043;28087;27.67001;83.62751;
amusement_park;bn:03453752n,bn:09664959n;2;122,121;244,242;14282;28565;9.31052;105.72671;
amusement_park;bn:03742134n,bn:03571157n;2;120,120;240,240;14043;28087;9.15485;105.68272;
amusement_park;bn:00138436n,bn:00130967n;2;172,120;344,240;20179;40359;10.68985;131.49221;
amusement_park;bn:00136058n,bn:03789618n;2;123,256;246,512;30228;60457;14.87978;214.63693;
amusement_park;bn:03377684n,bn:03479571n;2;120,122;240,244;14162;28325;9.20408;102.56106;
amusement_park;bn:02217761n,bn:00133320n;2;121,121;242,242;14281;28563;9.17056;101.54153;
amusement_park;bn:03423724n,bn:03783476n;2;120,120;240,240;14043;28087;8.74003;103.12285;
amusement_park;bn:00715094n,bn:03338744n;2;136,122;272,244;16082;32165;10.20455;117.40036;
amusement_park;bn:16763695n,bn:01803401n;2;120,120;240,240;13926;27853;9.25170;82.51373;
amusement_park;bn:03599600n,bn:02511049n;2;122,119;244,238;14280;28561;8.83127;80.80073;
amusement_park;bn:14665893n,bn:03765220n;2;183,121;348,242;15600;31201;11.72948;89.28730;
amusement_park;bn:02962263n,bn:06537186n;2;284,124;567,248;33482;66965;16.90730;228.71377;
amusement_park;bn:02532022n,bn:03290422n;2;120,241;240,482;28204;56409;12.63378;201.94381;
amusement_park;bn:03975262n,bn:01354064n;2;122,120;244,240;14162;28325;9.48190;103.62286;
amusement_park;bn:03485669n,bn:02150679n;2;120,172;240,341;14044;28089;12.28184;102.88832;
amusement_park;bn:03691994n,bn:01813038n;2;121,119;242,238;13925;27851;9.27686;80.55094;
amusement_park;bn:01298291n,bn:01465474n;2;122,119;244,238;14161;28323;8.51582;71.28566;
amusement_park;bn:01528288n,bn:00683547n;2;120,123;240,246;14043;28087;10.63977;69.64089;
amusement_park;bn:03722217n,bn:03272265n;2;120,122;240,244;14162;28325;9.92754;82.56475;
amusement_park;bn:00612675n,bn:00274032n;2;134,124;268,248;15740;31481;14.23133;110.70742;
amusement_park;bn:01450409n,bn:00908163n;2;120,120;240,240;14043;28087;13.04086;103.72270;
amusement_park;bn:00877087n,bn:02922036n;2;121,120;242,240;14043;28087;14.55363;103.98045;
amusement_park;bn:01310681n,bn:15692326n;2;120,120;240,240;14162;28325;11.72006;79.36731;
amusement_park;bn:02997460n,bn:03338744n;2;296,122;592,244;35281;70563;15.45571;233.27070;
amusement_park;bn:06775122n,bn:16790046n;2;220,119;440,238;25725;51451;11.26479;189.52820;
amusement_park;bn:03358693n,bn:03316539n;2;120,120;240,240;13926;27853;10.18102;84.51960;
amusement_park;bn:03546360n,bn:15429660n;2;120,120;240,240;14043;28087;10.58426;102.60019;
amusement_park;bn:01547721n,bn:00418309n;2;119,120;238,240;13925;27851;9.46831;83.55276;
amusement_park;bn:17045348n,bn:03169805n;2;224,120;447,240;26062;52125;13.65465;154.92288;
amusement_park;bn:02971839n,bn:00795673n;2;118,123;236,246;14042;28085;10.54916;103.03838;
amusement_park;bn:01813038n,bn:00306541n;2;119,122;238,244;14161;28323;9.38326;81.75848;
amusement_park;bn:01954495n,bn:03272265n;2;120,122;240,244;14281;28563;9.82267;81.08169;
amusement_park;bn:15240995n,bn:03301261n;2;371,120;742,240;43309;86619;15.80919;312.49545;
amusement_park;bn:00815872n,bn:03530810n;2;120,120;240,240;13926;27853;9.98410;84.18597;
amusement_park;bn:15094821n,bn:02854736n;2;119,120;238,240;13925;27851;9.18591;101.53698;
amusement_park;bn:01296222n,bn:03573355n;2;119,120;238,240;13925;27851;9.32552;80.08026;
amusement_park;bn:02033663n,bn:00297191n;2;121,120;242,240;14044;28089;9.48347;82.84737;
amusement_park;bn:01731586n,bn:00354981n;2;120,120;240,240;13926;27853;9.58246;75.48669;
amusement_park;bn:00749844n,bn:16346941n;2;122,223;244,445;26282;52565;13.07555;182.31817;
amusement_park;bn:03486147n,bn:03790507n;2;119,120;238,240;13925;27851;9.59942;84.46776;
amusement_park;bn:02211796n,bn:02020428n;2;120,172;240,343;13925;27851;29.59943;79.71657;
amusement_park;bn:00506547n,bn:02357825n;2;119,119;238,238;13925;27851;10.72179;101.02930;
amusement_park;bn:02612048n,bn:15295344n;2;119,223;238,446;26079;52159;12.53485;185.65456;
amusement_park;bn:03661972n,bn:03266233n;2;120,119;240,238;14043;28087;30.37573;83.15935;
amusement_park;bn:00136383n,bn:03473659n;2;122,120;244,240;14162;28325;13.94976;103.42164;
amusement_park;bn:03413551n,bn:13867670n;2;123,220;246,440;26259;52519;16.34013;186.02426;
amusement_park;bn:01544526n,bn:03131637n;2;121,121;242,242;14045;28091;12.41416;86.07327;
amusement_park;bn:16369491n,bn:03185560n;2;119,121;238,242;14161;28323;9.73345;105.38227;
amusement_park;bn:02481035n,bn:03302581n;2;122,119;244,238;14161;28323;10.56644;84.09621;
amusement_park;bn:03750978n,bn:01187176n;2;120,121;240,242;13926;27853;13.37823;78.45962;
amusement_park;bn:02962263n,bn:03302581n;2;284,119;567,238;32923;65847;21.76882;230.19890;
amusement_park;bn:00914462n,bn:03461813n;2;277,120;554,240;32569;65139;18.61282;227.66514;
amusement_park;bn:03112232n,bn:03444640n;2;119,173;238,344;13925;27851;15.50451;87.55053;
amusement_park;bn:02033663n,bn:16627083n;2;121,120;242,240;14044;28089;13.41673;101.76181;
amusement_park;bn:09785923n,bn:03235124n;2;121,122;242,244;14401;28803;11.53542;81.97623;
amusement_park;bn:16378649n,bn:16605851n;2;118,118;236,236;13924;27849;8.61651;83.78746;
amusement_park;bn:02213279n,bn:02133268n;2;136,120;272,240;15222;30445;14.08911;83.43004;
amusement_park;bn:02971839n,bn:02240476n;2;118,122;236,244;14160;28321;9.98278;84.58397;
