SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
band;bn:02308417n,bn:15300204n;2;180,124;360,248;21824;43649;29.17232;142.88583;
band;bn:00592977n,bn:03480637n;2;134,125;268,250;15381;30763;11.56198;106.66692;
band;bn:13998955n,bn:00876953n;2;125,124;250,248;15376;30753;9.59019;110.34080;
band;bn:14290760n,bn:01244458n;2;182,123;364,246;22204;44409;10.29756;138.74953;
band;bn:03558246n,bn:03449228n;2;126,125;252,250;15376;30753;10.50853;105.44804;
band;bn:13999772n,bn:00721818n;2;123,126;246,252;15375;30751;8.89209;112.00544;
band;bn:01521373n,bn:03658298n;2;124,125;248,250;15376;30753;10.51733;109.43779;
band;bn:03796852n,bn:00786674n;2;124,129;248,257;15500;31001;11.79589;109.68455;
band;bn:02587760n,bn:14390766n;2;204,124;407,248;25048;50097;11.28798;187.83455;
band;bn:15173367n,bn:10265734n;2;124,125;248,250;15500;31001;7.93574;109.55006;
band;bn:01312597n,bn:03498581n;2;125,123;250,246;15129;30259;10.87668;106.52114;
band;bn:02088578n,bn:00161267n;2;269,126;538,252;33232;66465;14.29071;249.47101;
band;bn:00921108n,bn:00929938n;2;125,155;250,310;19125;38251;12.79055;108.04333;
band;bn:00633490n,bn:03360755n;2;124,125;248,250;15376;30753;10.98366;91.66282;
band;bn:02241810n,bn:01972044n;2;125,125;250,250;15377;30755;9.89885;86.84017;
band;bn:02707520n,bn:02381099n;2;128,180;256,360;22197;44395;14.07746;142.83534;
band;bn:00562047n,bn:02873747n;2;129,125;258,250;15377;30755;11.35510;91.08773;
band;bn:03369755n,bn:01320114n;2;125,130;250,260;15376;30753;13.81232;106.29802;
band;bn:03737795n,bn:01857302n;2;126,126;252,252;15626;31253;9.74893;105.87904;
band;bn:03259954n,bn:03823195n;2;124,140;248,280;17360;34721;27.02161;97.16093;
band;bn:00942761n,bn:00217644n;2;126,124;252,248;15376;30753;11.58095;87.41899;
band;bn:01771685n,bn:04109918n;2;124,125;248,250;15376;30753;10.24031;90.11632;
band;bn:16447341n,bn:17703869n;2;124,124;248,248;15376;30753;8.73591;87.86160;
band;bn:03192576n,bn:01577067n;2;125,125;250,250;15377;30755;9.25369;89.90714;
band;bn:14685106n,bn:01397100n;2;177,125;354,250;21948;43897;9.91447;146.06356;
band;bn:03050798n,bn:14637714n;2;127,126;254,252;15378;30757;10.95958;89.29926;
band;bn:01533606n,bn:00382948n;2;124,152;248,304;18848;37697;9.67077;120.43693;
band;bn:01779907n,bn:07485030n;2;124,124;248,248;15376;30753;9.16905;88.27035;
band;bn:14598173n,bn:00202344n;2;127,322;254,643;39432;78865;17.15204;290.66037;
band;bn:01733616n,bn:00375218n;2;178,125;356,250;22072;44145;10.20645;124.30347;
band;bn:10840804n,bn:03407004n;2;125,134;250,268;15500;31001;12.81578;110.84537;
band;bn:15237148n,bn:03533658n;2;125,126;250,252;15377;30755;10.58569;112.46724;
band;bn:01059158n,bn:03474351n;2;124,122;248,244;15128;30257;7.98980;108.00450;
band;bn:03413052n,bn:03041777n;2;125,125;250,250;15500;31001;9.87241;110.62160;
band;bn:01071359n,bn:02420578n;2;128,125;256,250;15872;31745;10.44513;114.56417;
band;bn:00676744n,bn:01199044n;2;204,128;406,256;23757;47515;16.10116;145.56575;
band;bn:02267071n,bn:00651676n;2;125,125;250,250;15376;30753;11.52580;110.28558;
band;bn:00372418n,bn:16435971n;2;138,125;276,250;16988;33977;11.02089;118.12847;
band;bn:00457833n,bn:01216940n;2;125,125;250,250;15377;30755;10.18631;109.87316;
band;bn:16256633n,bn:03576849n;2;124,179;248,358;22072;44145;10.74807;166.83344;
band;bn:01372060n,bn:00907504n;2;125,124;250,248;15376;30753;11.37266;107.73444;
band;bn:03052640n,bn:01685321n;2;125,125;250,250;15500;31001;11.29866;108.99619;
band;bn:17366891n,bn:01371785n;2;125,126;250,252;15500;31001;11.07401;107.97553;
band;bn:04612544n,bn:00229004n;2;124,123;248,246;15128;30257;9.81062;108.31369;
band;bn:01895801n,bn:01893732n;2;126,126;252,252;15501;31003;10.96646;109.85835;
band;bn:00212145n,bn:00969678n;2;125,125;250,250;15376;30753;10.52061;107.89627;
band;bn:03073632n,bn:02307752n;2;124,124;248,248;15376;30753;8.13648;111.86474;
band;bn:03115368n,bn:14309916n;2;125,127;250,254;15501;31003;10.35103;108.53730;
band;bn:01292720n,bn:17195790n;2;124,124;248,248;15376;30753;8.37231;111.50286;
band;bn:03579368n,bn:03080920n;2;125,126;250,252;15377;30755;10.47719;108.92763;
band;bn:03097902n,bn:03433887n;2;126,124;252,248;15376;30753;10.22756;111.42456;
band;bn:01463711n,bn:01281033n;2;125,126;250,252;15624;31249;9.59545;112.79321;
band;bn:14979811n,bn:00899151n;2;124,125;248,250;15376;30753;9.52098;109.46004;
band;bn:02824315n,bn:01866687n;2;125,179;250,358;22196;44393;10.16050;142.11718;
band;bn:13853344n,bn:15906181n;2;124,127;248,254;15376;30753;10.68814;109.86814;
band;bn:00690402n,bn:00985982n;2;124,125;248,250;15376;30753;9.41413;109.65490;
band;bn:02006022n,bn:00310621n;2;124,124;248,248;15376;30753;8.74336;109.43230;
band;bn:01744805n,bn:03230104n;2;123,125;246,250;15128;30257;9.89258;108.78929;
band;bn:01919756n,bn:03766916n;2;124,179;248,358;21824;43649;12.34150;138.88696;
band;bn:03317094n,bn:01539007n;2;131,127;262,254;15505;31011;11.99907;87.47662;
band;bn:03709265n,bn:00994608n;2;125,124;250,248;15376;30753;9.89889;86.19263;
band;bn:00370531n,bn:01477321n;2;124,126;248,252;15500;31001;9.09617;90.04887;
band;bn:16121886n,bn:02825977n;2;125,126;250,252;15500;31001;10.38479;89.00219;
band;bn:05236120n,bn:02592508n;2;124,125;248,250;15376;30753;9.10037;86.41981;
band;bn:02934456n,bn:00835154n;2;125,127;250,253;15501;31003;10.73389;87.33823;
band;bn:00994519n,bn:03796870n;2;272,125;544,250;34000;68001;11.61573;226.30797;
band;bn:03661268n,bn:16038602n;2;177,125;354,250;21824;43649;11.40156;137.75423;
band;bn:13927944n,bn:01623545n;2;124,123;248,246;15128;30257;8.93152;87.38688;
band;bn:03415869n,bn:01906808n;2;130,124;260,248;15252;30505;15.51160;87.07383;
band;bn:01899878n,bn:02946589n;2;129,125;258,250;15749;31499;13.56872;92.67371;
band;bn:02638655n,bn:00218749n;2;215,179;430,358;37736;75473;19.11417;299.15209;
band;bn:03005865n,bn:03498116n;2;135,130;270,260;15515;31031;17.50046;109.98363;
band;bn:02061896n,bn:16315728n;2;179,125;358,250;22073;44147;35.31929;147.45048;
band;bn:03303491n,bn:03377499n;2;180,126;359,252;22074;44149;15.62098;164.82790;
band;bn:00638751n,bn:03449608n;2;126,126;252,252;15378;30757;13.21546;109.92729;
band;bn:03757052n,bn:00836873n;2;127,126;254,252;15750;31501;13.71009;110.04271;
band;bn:13940678n,bn:15174289n;2;178,125;356,250;22072;44145;13.44364;140.34303;
band;bn:00895887n,bn:03585149n;2;125,124;250,248;15376;30753;10.63643;108.73804;
band;bn:01227001n,bn:17486212n;2;126,124;252,248;15376;30753;11.77938;108.77760;
band;bn:00157759n,bn:15863661n;2;204,125;408,250;25296;50593;10.74812;184.83868;
band;bn:00610651n,bn:18503967n;2;124,127;248,254;15500;31001;10.31562;107.33609;
band;bn:02883955n,bn:01052411n;2;125,125;250,250;15376;30753;11.05678;109.65487;
band;bn:00733358n,bn:15378863n;2;125,125;250,250;15376;30753;10.77182;106.99717;
band;bn:00591360n,bn:16362880n;2;125,127;250,254;15377;30755;12.07887;109.39807;
band;bn:00709615n,bn:15755280n;2;126,126;252,252;15378;30757;10.83727;106.46106;
band;bn:02917939n,bn:00741868n;2;125,125;250,250;15376;30753;12.22939;109.40171;
band;bn:01375571n,bn:01699933n;2;125,125;250,250;15377;30755;10.81704;109.32247;
band;bn:02125692n,bn:17409690n;2;124,126;248,252;15624;31249;10.10246;107.23806;
band;bn:03745949n,bn:16495521n;2;125,165;250,330;19717;39435;15.26139;122.67066;
band;bn:03448039n,bn:01064898n;2;184,125;367,250;22072;44145;12.31071;136.89351;
band;bn:01447981n,bn:16602547n;2;125,127;250,254;15378;30757;12.03884;88.01042;
band;bn:03760884n,bn:02657375n;2;131,179;262,358;22073;44147;15.23661;139.78432;
band;bn:00241529n,bn:01398277n;2;125,123;250,246;15129;30259;10.22608;83.88726;
band;bn:13941239n,bn:03156764n;2;126,125;252,250;15500;31001;9.37303;84.66192;
band;bn:00470672n,bn:03137179n;2;125,190;250,380;23313;46627;13.05575;150.12886;
band;bn:02484938n,bn:02240129n;2;123,137;246,274;16714;33429;9.88274;96.90289;
band;bn:15312394n,bn:01210028n;2;223,125;445,250;26750;53501;16.50699;161.88741;
band;bn:16515023n,bn:01661907n;2;212,125;424,250;25916;51833;14.20291;183.84219;
band;bn:03201616n,bn:15660303n;2;125,125;250,250;15376;30753;9.97795;88.28455;
band;bn:02247976n,bn:03635860n;2;124,186;248,370;21948;43897;14.74745;164.28221;
band;bn:02911212n,bn:01617008n;2;178,122;355,244;21594;43189;10.27674;139.15567;
band;bn:00168398n,bn:16613187n;2;160,124;320,248;19716;39433;10.08132;130.67018;
band;bn:00160535n,bn:17462659n;2;125,124;250,248;15376;30753;9.12008;91.46127;
band;bn:13959162n,bn:03832944n;2;122,179;244,358;21716;43433;10.10569;146.67292;
band;bn:00494831n,bn:02889406n;2;124,124;248,248;15128;30257;10.34461;107.48444;
band;bn:05125722n,bn:15548157n;2;126,124;252,248;15376;30753;10.23806;105.50722;
band;bn:00133912n,bn:14755627n;2;125,124;250,248;15376;30753;9.99205;110.34438;
band;bn:03009398n,bn:00589196n;2;134,178;268,356;22072;44145;14.64035;135.25223;
band;bn:00142094n,bn:17488775n;2;130,125;260,250;15377;30755;14.57536;107.08481;
band;bn:02875744n,bn:00817623n;2;124,204;248,408;25296;50593;10.59059;187.94859;
band;bn:02822201n,bn:00645424n;2;125,126;250,252;15376;30753;28.69284;88.31460;
band;bn:14410630n,bn:01738033n;2;125,163;250,317;15128;30257;32.22328;85.51216;
band;bn:02241938n,bn:01662661n;2;177,127;354,254;21824;43649;33.44339;145.30029;
band;bn:03580281n,bn:02733084n;2;125,129;250,258;15501;31003;13.81047;106.42581;
band;bn:01618655n,bn:04782720n;2;122,125;244,250;15128;30257;9.22748;105.27183;
band;bn:07397683n,bn:03203939n;2;205,125;410,250;25296;50593;14.68182;182.35100;
band;bn:03293169n,bn:17953262n;2;123,125;246,250;15128;30257;11.10417;92.43655;
band;bn:02847429n,bn:00890118n;2;125,266;250,532;32861;65723;31.04397;229.09542;
band;bn:05514972n,bn:00837867n;2;125,124;250,248;15500;31001;8.79056;95.14344;
band;bn:01585506n,bn:03696706n;2;193,125;385,250;23685;47371;12.30489;171.37166;
band;bn:00669006n,bn:16641920n;2;127,127;254,254;15379;30759;12.42322;106.12568;
band;bn:03754884n,bn:06857641n;2;207,125;414,250;25297;50595;12.89582;179.38176;
