SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
championship;bn:14581385n,bn:01136081n;2;127,153;254,306;18775;37551;12.43291;102.04837;
championship;bn:01005574n,bn:02070930n;2;155,127;309,254;18901;37803;12.91575;124.23782;
championship;bn:14329264n,bn:14175020n;2;152,129;304,258;19073;38147;11.57836;105.15453;
championship;bn:02450552n,bn:01007157n;2;129,152;258,304;19073;38147;11.53630;126.48765;
championship;bn:00135934n,bn:01270820n;2;148,146;296,292;20881;41763;32.70805;137.03772;
championship;bn:17256681n,bn:14650465n;2;152,126;304,252;18774;37549;11.55914;123.99548;
championship;bn:00536155n,bn:01401052n;2;127,126;254,252;15876;31753;9.19541;93.17667;
championship;bn:04797753n,bn:02590172n;2;221,129;442,258;27905;55811;13.31925;168.30599;
championship;bn:16874443n,bn:03170231n;2;129,129;258,258;16385;32771;9.67529;110.86922;
championship;bn:14137322n,bn:01053941n;2;128,162;256,323;20194;40389;11.94489;127.47533;
championship;bn:01933107n,bn:00905493n;2;129,148;258,295;18817;37635;10.04534;125.19677;
championship;bn:16601447n,bn:00995667n;2;130,152;260,304;19073;38147;13.36895;105.99003;
championship;bn:02419135n,bn:14866640n;2;259,218;518,436;55082;110165;16.20623;414.54338;
championship;bn:00261628n,bn:01136091n;2;131,153;262,306;19223;38447;12.65493;108.30894;
championship;bn:15802238n,bn:15288231n;2;130,131;260,262;16514;33029;9.76823;115.43733;
championship;bn:01399899n,bn:00352290n;2;126,153;252,306;18774;37549;12.36348;124.47507;
championship;bn:01000576n,bn:01773250n;2;152,129;304,258;19073;38147;11.39837;104.95521;
championship;bn:04809031n,bn:01681045n;2;222,128;444,256;27687;55375;13.63287;193.81895;
championship;bn:04807216n,bn:01695564n;2;222,128;444,256;27687;55375;13.75118;170.78425;
championship;bn:02884049n,bn:14520925n;2;161,127;321,254;19783;39567;12.66060;131.72353;
championship;bn:01005552n,bn:15741419n;2;153,151;306,302;21907;43815;12.98589;161.78501;
championship;bn:03393330n,bn:00589109n;2;127,148;254,296;18415;36831;11.35862;122.73106;
championship;bn:17223421n,bn:00667144n;2;225,240;450,480;51452;102905;19.21125;352.04456;
championship;bn:13981594n,bn:16945751n;2;227,228;454,456;47552;95105;19.79733;359.56511;
championship;bn:16074758n,bn:01036728n;2;129,132;258,264;16513;33027;12.32845;96.77101;
championship;bn:02265855n,bn:15281346n;2;149,144;298,288;20450;40901;14.54757;127.54080;
championship;bn:04294725n,bn:14502368n;2;155,148;309,296;21317;42635;17.17936;130.66517;
championship;bn:03847530n,bn:03526070n;2;145,281;289,562;38767;77535;19.19029;294.95031;
championship;bn:02884039n,bn:15025461n;2;146,148;292,296;21312;42625;11.61354;120.28984;
championship;bn:14058930n,bn:00930624n;2;227,130;454,260;27905;55811;18.08945;169.55826;
championship;bn:16337227n,bn:01363100n;2;153,163;305,326;24017;48035;15.38621;173.09017;
championship;bn:01971247n,bn:09022417n;2;130,150;260,300;18817;37635;13.64631;120.56385;
championship;bn:14033601n,bn:02872237n;2;220,152;440,304;32482;64965;16.36691;218.88424;
championship;bn:01141661n,bn:04297567n;2;130,133;260,265;16514;33029;12.96334;93.62068;
