SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
chemical_element;bn:14399515n,bn:20243133n;2;138,91;276,142;6783;13567;11.91931;54.16747;
chemical_element;bn:00715252n,bn:15514752n;2;41,42;82,84;1640;3281;6.51771;7.54287;
chemical_element;bn:00468489n,bn:06415402n;2;54,136;108,272;7049;14099;10.01143;30.99224;
chemical_element;bn:16047050n,bn:15268194n;2;119,142;238,284;15029;30059;19.50154;107.49843;
chemical_element;bn:06329897n,bn:06363716n;2;135,137;270,274;17690;35381;12.78856;120.12386;
chemical_element;bn:02074362n,bn:20243162n;2;37,91;74,142;1836;3673;6.55857;8.32933;
chemical_element;bn:03937168n,bn:20243893n;2;71,111;142,172;4209;8419;8.48490;18.74031;
chemical_element;bn:20243382n,bn:02015108n;2;112,51;172,102;3060;6121;6.23389;33.88116;
chemical_element;bn:06367535n,bn:20243013n;2;134,100;268,156;7315;14631;10.77346;54.70640;
chemical_element;bn:20244692n,bn:03714046n;2;92,280;144,559;13923;27847;15.87096;81.80631;
chemical_element;bn:10255118n,bn:20245063n;2;93,91;146,142;4252;6905;8.32635;19.40237;
chemical_element;bn:04305627n,bn:03216896n;2;211,41;421,82;8569;17139;12.44137;58.98097;
chemical_element;bn:20243549n,bn:20245159n;2;94,91;147,142;4292;6945;10.61606;39.13026;
chemical_element;bn:20244399n,bn:20243609n;2;91,92;142,144;4201;6803;7.25700;15.82051;
chemical_element;bn:14162961n,bn:20245805n;2;259,115;517,177;15748;31497;12.91147;110.42801;
chemical_element;bn:15139585n,bn:20244445n;2;96,91;151,142;4292;6945;9.20848;38.79427;
chemical_element;bn:01196887n,bn:20245351n;2;260,92;519,144;12954;25909;18.49055;79.16869;
chemical_element;bn:20243729n,bn:10261602n;2;95,92;148,144;4383;7087;8.12453;37.88480;
chemical_element;bn:04172402n,bn:20244338n;2;136,91;272,142;6783;13567;11.22459;49.58012;
chemical_element;bn:06271948n,bn:00880226n;2;137,39;274,78;5187;10375;9.63458;19.15574;
chemical_element;bn:02255605n,bn:20245153n;2;157,91;314,142;7854;15709;12.60239;35.37815;
chemical_element;bn:10460854n,bn:00006871n;2;92,162;144,287;6485;11531;14.32254;29.26813;
chemical_element;bn:06339834n,bn:13871491n;2;197,136;394,272;25935;51871;13.69101;188.28276;
chemical_element;bn:02330010n,bn:03145280n;2;222,173;444,346;37668;75337;13.41443;256.44295;
chemical_element;bn:04228515n,bn:13898853n;2;65,46;130,92;2689;5379;8.17092;12.19575;
chemical_element;bn:00013153n,bn:06254269n;2;66,136;123,272;6916;13833;9.34822;50.81749;
chemical_element;bn:20243239n,bn:01739520n;2;91,42;142,84;2142;4285;5.37484;9.83085;
chemical_element;bn:03897543n,bn:16481253n;2;226,44;452,88;8962;17925;10.61773;58.54488;
chemical_element;bn:04002301n,bn:00149534n;2;144,45;288,90;6435;12871;7.50097;28.48164;
chemical_element;bn:03672516n,bn:06470863n;2;170,42;338,84;6601;13203;12.06448;47.86268;
chemical_element;bn:06708045n,bn:00634748n;2;93,201;146,402;10149;20299;12.01574;65.41696;
chemical_element;bn:14984979n,bn:04159452n;2;144,70;288,140;9936;19873;7.90989;66.89780;
chemical_element;bn:06356051n,bn:06332627n;2;135,138;270,276;17691;35383;12.37243;119.95384;
chemical_element;bn:02389875n,bn:02688382n;2;75,292;114,584;10260;20521;15.32023;66.43485;
chemical_element;bn:20245826n,bn:06367961n;2;93,134;145,268;6916;13833;7.91814;30.97307;
chemical_element;bn:06437985n,bn:17081263n;2;134,263;268,525;34447;68895;13.62005;259.91259;
chemical_element;bn:20244325n,bn:20244377n;2;91,91;142,142;4201;6803;6.22841;19.31263;
chemical_element;bn:17223544n,bn:20245363n;2;139,91;278,142;6783;13567;12.33744;29.90495;
chemical_element;bn:06375014n,bn:04062389n;2;136,143;272,270;5320;10641;12.15139;24.83591;
chemical_element;bn:20243045n,bn:10253078n;2;89,92;139,144;4160;6761;6.27998;38.04631;
chemical_element;bn:16599127n,bn:02157375n;2;53,258;106,515;13208;26417;14.00207;80.25302;
chemical_element;bn:16701526n,bn:06253859n;2;281,137;561,274;36447;72895;14.81865;248.83522;
chemical_element;bn:01391522n,bn:20245420n;2;41,89;82,139;2000;4001;5.88867;7.78625;
chemical_element;bn:06347173n,bn:06345245n;2;139,137;278,274;17691;35383;12.28747;128.66418;
chemical_element;bn:01277694n,bn:20245117n;2;37,91;74,142;1887;3775;4.98817;28.60239;
chemical_element;bn:04111037n,bn:02646637n;2;277,122;552,244;31280;62561;18.00374;225.05353;
chemical_element;bn:03241648n,bn:01875061n;2;153,87;305,138;5476;10953;12.06070;24.85223;
chemical_element;bn:20244848n,bn:20244648n;2;91,91;142,142;4201;6803;5.78301;18.64238;
chemical_element;bn:04090828n,bn:00006917n;2;135,89;270,142;4788;9577;12.59287;40.71159;
chemical_element;bn:16838244n,bn:06253857n;2;105,137;210,274;13832;27665;12.19384;80.85817;
chemical_element;bn:00196125n,bn:04020631n;2;301,258;601,515;68075;136151;23.92787;484.79968;
chemical_element;bn:16203151n,bn:10261602n;2;143,92;286,144;7242;14485;9.63702;33.53416;
chemical_element;bn:16708256n,bn:06447900n;2;137,137;274,274;17692;35385;13.06698;106.76744;
chemical_element;bn:00015860n,bn:20245439n;2;91,89;143,139;4071;6622;7.29061;37.61732;
chemical_element;bn:03896719n,bn:20242824n;2;161,91;322,142;8211;16423;8.13050;56.97227;
chemical_element;bn:03971406n,bn:02627329n;2;259,46;517,92;11684;23369;13.71021;72.82083;
chemical_element;bn:01480533n,bn:06456585n;2;48,138;92,276;4788;9577;11.32413;39.95980;
chemical_element;bn:20245068n,bn:14770961n;2;91,76;142,116;3436;5433;5.87172;15.46674;
chemical_element;bn:14228375n,bn:16663780n;2;118,257;236,513;28194;56389;18.68332;194.90301;
chemical_element;bn:14162961n,bn:20244201n;2;259,93;517,145;13208;26417;14.14556;80.34381;
chemical_element;bn:01206723n,bn:20245086n;2;138,92;276,144;6783;13567;13.10392;30.40186;
chemical_element;bn:06456785n,bn:20245773n;2;134,114;268,175;8113;16227;9.08052;36.45751;
chemical_element;bn:14807418n,bn:00680888n;2;136,41;272,82;5320;10641;9.52846;23.69613;
chemical_element;bn:20244640n,bn:20245385n;2;91,91;142,142;4201;6803;5.89419;37.79426;
chemical_element;bn:20242799n,bn:20243074n;2;80,93;124,145;3676;5877;6.02956;16.44072;
chemical_element;bn:16667379n,bn:20244925n;2;76,111;116,172;4196;6593;6.07031;37.96540;
chemical_element;bn:03970028n,bn:00511107n;2;188,46;375,92;8140;16281;9.57389;35.92846;
chemical_element;bn:14958658n,bn:20245543n;2;204,89;408,139;10200;20401;9.20404;66.00940;
chemical_element;bn:01634417n,bn:13899000n;2;51,47;102,94;1686;3373;9.46146;7.57024;
chemical_element;bn:04206824n,bn:20244315n;2;44,92;88,144;2040;4081;8.42949;9.10879;
chemical_element;bn:20245155n,bn:06706327n;2;91,96;142,150;4383;7087;6.90031;38.27384;
chemical_element;bn:02723411n,bn:20243608n;2;43,91;86,142;2040;4081;7.83942;9.17003;
chemical_element;bn:00025667n,bn:03828934n;2;94,183;155,366;7137;14275;8.70597;52.17533;
chemical_element;bn:03978380n,bn:20244261n;2;258,92;515,144;12954;25909;14.85073;78.35048;
chemical_element;bn:10173576n,bn:20244983n;2;96,111;150,172;5333;8567;8.15423;24.06822;
chemical_element;bn:16997535n,bn:20244644n;2;149,91;298,142;6834;13669;14.29528;49.15202;
chemical_element;bn:10261506n,bn:13868251n;2;93,96;146,150;4385;7091;8.10638;38.59180;
chemical_element;bn:04107473n,bn:06460223n;2;148,134;296,268;19418;38837;11.81110;131.12072;
chemical_element;bn:00337011n,bn:14130318n;2;56,143;112,286;7315;14631;15.31342;51.35970;
chemical_element;bn:06253862n,bn:01875065n;2;137,86;274,136;4921;9843;12.17725;41.10203;
chemical_element;bn:17250270n,bn:06381915n;2;58,135;115,270;7448;14897;9.79400;52.43178;
chemical_element;bn:20243401n,bn:01925018n;2;94,150;147,299;7748;15497;10.64142;55.52862;
chemical_element;bn:03162676n,bn:02073790n;2;221,44;441,88;9548;19097;12.69518;63.45602;
chemical_element;bn:15974594n,bn:16667495n;2;87,76;168,116;3280;6345;7.46018;34.05458;
chemical_element;bn:17245292n,bn:20244557n;2;58,91;115,142;2856;5713;7.05659;13.46114;
chemical_element;bn:06333588n,bn:15716827n;2;54,140;108,280;7102;14205;13.27079;51.40917;
chemical_element;bn:14292396n,bn:20242875n;2;136,95;272,149;6916;13833;12.39531;51.69112;
chemical_element;bn:06418940n,bn:04111792n;2;136,134;272,268;17690;35381;11.38724;124.66560;
chemical_element;bn:20245612n,bn:06450484n;2;92,162;144,324;8211;16423;10.90975;57.35460;
chemical_element;bn:04159452n,bn:06385926n;2;70,136;140,272;9177;18355;11.05490;61.36128;
chemical_element;bn:14187631n,bn:10484843n;2;312,92;623,144;15555;31111;19.70285;110.38149;
chemical_element;bn:17240793n,bn:00744155n;2;111,41;190,82;2720;5441;8.06312;29.11268;
chemical_element;bn:03126508n,bn:20243693n;2;126,95;219,148;5688;9991;7.99147;25.96490;
chemical_element;bn:20245426n,bn:03373183n;2;89,65;139,130;3250;6501;5.96252;32.65111;
chemical_element;bn:20245788n,bn:20245063n;2;114,91;175,142;5231;8343;6.95697;23.67433;
chemical_element;bn:04152916n,bn:20245346n;2;230,91;460,142;11526;23053;14.28417;90.55790;
chemical_element;bn:20243358n,bn:20243620n;2;112,92;172,144;5140;8201;8.44992;23.29812;
chemical_element;bn:03958720n,bn:20244564n;2;168,91;335,142;8415;16831;10.81427;38.11229;
chemical_element;bn:20245409n,bn:20243291n;2;91,91;142,142;4201;6803;7.13187;19.07750;
chemical_element;bn:02156600n,bn:02126709n;2;44,342;88,684;14960;29921;11.65543;112.57419;
chemical_element;bn:06323910n,bn:15694344n;2;138,258;276,515;33783;67567;17.01645;227.59690;
chemical_element;bn:14228375n,bn:20243877n;2;118,111;236,172;6771;13543;13.30163;51.28516;
chemical_element;bn:20243726n,bn:03021397n;2;95,137;148,274;7049;14099;10.79343;51.20606;
chemical_element;bn:06300238n,bn:20244319n;2;136,91;272,142;6783;13567;9.87065;50.30112;
chemical_element;bn:04063256n,bn:03413767n;2;56,197;112,394;10726;21453;9.29619;67.81534;
chemical_element;bn:03521454n,bn:20243195n;2;37,95;74,148;1961;3923;5.95977;9.18851;
chemical_element;bn:14536227n,bn:06434448n;2;136,136;272,272;17690;35381;12.50110;100.63042;
chemical_element;bn:20244527n,bn:20245476n;2;91,89;142,139;4110;6661;6.11778;18.46780;
chemical_element;bn:06262970n,bn:16341145n;2;134,137;268,274;17690;35381;10.51028;118.26243;
chemical_element;bn:15181091n,bn:20243132n;2;44,92;88,144;2040;4081;9.11295;9.39036;
chemical_element;bn:03327203n,bn:03878059n;2;50,71;97,139;1820;3632;4.70945;8.00190;
chemical_element;bn:15007096n,bn:15795616n;2;162,87;324,168;6400;12801;10.79552;49.32867;
chemical_element;bn:00257417n,bn:15920162n;2;237,148;473,296;33288;66577;16.24739;227.21359;
chemical_element;bn:03997207n,bn:04159387n;2;258,70;515,140;17526;35053;13.23338;122.12044;
