SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
company;bn:00590551n,bn:02163979n;2;257,213;514,426;53340;106681;40.43823;371.95734;
company;bn:03355540n,bn:00572009n;2;199,196;398,392;38221;76443;14.55911;276.12191;
company;bn:01176188n,bn:03349734n;2;244,196;488,392;47580;95161;14.03058;341.98201;
company;bn:00301685n,bn:03509839n;2;339,202;678,404;67737;135475;19.89919;497.14303;
company;bn:03382140n,bn:03830231n;2;206,205;411,410;39780;79561;19.59534;306.08219;
company;bn:00607940n,bn:02180837n;2;198,196;396,392;38221;76443;14.25826;262.73845;
company;bn:00772120n,bn:03620933n;2;208,199;416,398;40560;81121;15.95819;266.94774;
company;bn:01142184n,bn:01046278n;2;312,197;624,394;59280;118561;19.58893;431.87421;
company;bn:14728681n,bn:02830798n;2;254,167;508,334;42418;84837;11.65777;304.55042;
company;bn:03682090n,bn:00265071n;2;262,200;524,400;50767;101535;23.83056;390.39968;
company;bn:00798348n,bn:15935403n;2;256,195;512,390;49530;99061;18.77900;344.23644;
company;bn:00122001n,bn:03376603n;2;339,204;678,408;68748;137497;22.63802;530.61843;
company;bn:01051095n,bn:16354380n;2;237,208;474,412;46215;92431;20.49966;344.39176;
company;bn:03810828n,bn:15329445n;2;215,196;428,392;40756;81513;19.02638;278.64120;
company;bn:15400887n,bn:01771064n;2;298,241;596,482;71520;143041;16.04353;573.90881;
company;bn:00192512n,bn:08150856n;2;252,195;503,390;48165;96331;14.40916;322.98550;
company;bn:00146535n,bn:16640679n;2;339,245;678,490;82229;164459;16.97007;626.62045;
company;bn:17745867n,bn:01301114n;2;240,208;480,416;49712;99425;13.15303;372.12931;
company;bn:01207598n,bn:04075024n;2;257,347;514,694;87124;174249;18.74212;636.81439;
company;bn:03996809n,bn:03365088n;2;364,205;728,410;67320;134641;23.96710;445.25517;
company;bn:17446618n,bn:01049025n;2;197,198;394,395;38416;76833;13.84722;292.66868;
company;bn:00615465n,bn:03878962n;2;257,258;514,516;64519;129039;14.28516;504.61414;
company;bn:17109767n,bn:02824597n;2;206,214;412,427;43260;86521;12.72110;254.38952;
company;bn:00225416n,bn:00328739n;2;205,339;410,678;68748;137497;16.19903;526.20186;
company;bn:03849915n,bn:00979557n;2;265,263;530,526;68645;137291;15.68835;478.02975;
company;bn:14042635n,bn:00249007n;2;208,203;416,406;41808;83617;13.88867;299.97396;
company;bn:00160649n,bn:01224095n;2;198,197;396,394;38222;76445;18.65251;266.07196;
company;bn:00488157n,bn:07792937n;2;341,195;682,390;66105;132211;16.39170;504.58732;
company;bn:03459858n,bn:01767178n;2;257,199;514,397;49531;99063;17.39603;352.53956;
