SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
comune;bn:03471431n,bn:03374862n;2;324,319;648,638;97066;194133;42.07949;782.08102;
comune;bn:03525762n,bn:03419900n;2;318,321;636,642;95831;191663;18.92122;722.89010;
comune;bn:03497699n,bn:03502621n;2;320,321;640,642;95543;191087;22.47747;698.23851;
comune;bn:03342340n,bn:03130199n;2;322,328;644,656;95877;191755;20.77917;697.81543;
comune;bn:03520592n,bn:03447418n;2;318,323;636,646;95836;191673;19.22938;643.98718;
comune;bn:03498201n,bn:03502683n;2;321,317;642,634;95519;191039;20.57810;655.79295;
comune;bn:03523207n,bn:03451166n;2;325,324;650,648;97401;194803;20.72208;749.88174;
comune;bn:03523223n,bn:03375041n;2;322,325;644,650;95854;191709;24.29951;758.41459;
comune;bn:03447449n,bn:03215113n;2;320,320;640,640;95821;191643;17.39137;671.90681;
comune;bn:03528059n,bn:03522673n;2;321,323;642,646;95551;191103;18.25385;647.34677;
comune;bn:03447592n,bn:03528007n;2;322,320;644,640;96139;192279;21.19128;656.22981;
comune;bn:03504601n,bn:03447548n;2;320,318;640,636;95824;191649;19.16270;728.18039;
comune;bn:15660014n,bn:03521688n;2;316,323;632,646;95497;190995;26.49566;745.18542;
comune;bn:03420761n,bn:03519366n;2;322,316;644,632;95817;191635;21.24070;697.54318;
comune;bn:03519370n,bn:03492927n;2;318,318;636,636;95512;191025;19.75691;654.86978;
comune;bn:03498003n,bn:03374900n;2;319,320;638,640;95832;191665;17.37620;734.78319;
comune;bn:03497727n,bn:03520137n;2;318,319;636,638;95820;191641;18.32002;693.72581;
comune;bn:03470353n,bn:03530257n;2;319,319;638,638;95826;191653;21.01724;643.11489;
comune;bn:03497623n,bn:03525367n;2;321,319;642,638;95821;191643;22.33297;648.01712;
comune;bn:03497916n,bn:00933700n;2;319,326;638,652;95862;191725;21.69371;646.36247;
comune;bn:03537839n,bn:03423450n;2;319,319;638,638;95518;191037;18.61461;646.90006;
comune;bn:03538727n,bn:03527554n;2;319,319;638,638;95817;191635;22.34479;648.81232;
comune;bn:03499978n,bn:03518824n;2;322,320;644,640;95833;191667;23.68591;656.55589;
comune;bn:03536721n,bn:00172045n;2;318,318;636,636;95811;191623;17.97299;742.41675;
comune;bn:03522624n,bn:03527933n;2;319,318;638,636;95517;191035;19.44918;740.03969;
comune;bn:01330187n,bn:00933700n;2;337,326;674,652;101442;202885;18.62862;806.93296;
comune;bn:03498974n,bn:03521603n;2;321,319;642,638;95838;191677;18.18109;691.30118;
comune;bn:03500049n,bn:03521820n;2;318,320;636,640;95522;191045;20.15425;751.51669;
comune;bn:01779205n,bn:03503154n;2;321,318;642,636;95821;191643;21.24787;726.91682;
comune;bn:00209655n,bn:03643183n;2;323,320;646,640;96152;192305;20.88707;713.38926;
comune;bn:03523135n,bn:03525337n;2;317,321;634,642;95515;191031;23.80865;745.08731;
comune;bn:03525027n,bn:13835406n;2;320,316;640,632;95487;190975;17.35728;691.11061;
comune;bn:03539047n,bn:03531928n;2;320,320;640,640;95529;191059;18.44706;644.66241;
comune;bn:03519263n,bn:03502452n;2;318,322;636,644;95522;191045;18.56413;657.36849;
comune;bn:03502994n,bn:03522416n;2;318,318;636,636;95512;191025;16.94574;740.93828;
comune;bn:03503057n,bn:03498122n;2;318,318;636,636;95512;191025;21.55830;695.62980;
