SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
dialect;bn:02978032n,bn:03392847n;2;125,128;250,256;15616;31233;8.97377;89.01532;
dialect;bn:14385399n,bn:01220064n;2;251,174;381,306;21468;37855;14.01989;140.51377;
dialect;bn:02545581n,bn:01272322n;2;169,179;298,316;17936;34193;11.31553;118.81092;
dialect;bn:00898527n,bn:13268638n;2;174,121;306,242;15488;30977;10.01237;90.38159;
dialect;bn:15930937n,bn:02278258n;2;122,172;244,302;15616;31233;10.01816;89.44712;
dialect;bn:01040510n,bn:17382596n;2;233,123;400,246;14976;29953;14.21359;87.02468;
dialect;bn:01107797n,bn:04318205n;2;176,128;306,256;16384;32769;10.90264;94.04316;
dialect;bn:14606038n,bn:01995287n;2;177,177;312,314;18176;34673;12.85888;128.96679;
dialect;bn:14386248n,bn:00963206n;2;178,178;310,314;18806;35681;12.34035;127.21080;
dialect;bn:03578965n,bn:15560213n;2;244,176;367,312;21406;37973;13.73768;142.88865;
dialect;bn:00946985n,bn:02859421n;2;174,173;308,301;17690;33581;11.91994;119.09940;
dialect;bn:15170741n,bn:06751523n;2;128,181;256,319;16384;32769;11.61752;112.27545;
dialect;bn:12991226n,bn:01890670n;2;123,170;246,300;14858;29717;10.28830;87.52528;
dialect;bn:03882458n,bn:14329060n;2;189,176;336,312;18788;35897;31.71984;107.24724;
dialect;bn:12990857n,bn:00347272n;2;172,180;304,318;18089;34499;12.40127;125.96769;
dialect;bn:17249395n,bn:01177298n;2;169,182;298,322;18032;34385;12.44607;124.84785;
dialect;bn:00606733n,bn:00238729n;2;186,179;330,310;19834;37653;34.03064;110.37823;
dialect;bn:15245835n,bn:00051632n;2;173,367;303,656;29470;55861;18.91509;210.33588;
dialect;bn:02670986n,bn:21706091n;2;244,216;367,387;26226;47008;13.49735;171.70883;
dialect;bn:01640174n,bn:16547402n;2;176,128;306,256;16384;32769;10.34760;96.33990;
dialect;bn:02746194n,bn:03891688n;2;176,178;306,314;18784;35637;12.08336;129.32852;
dialect;bn:04827376n,bn:02545651n;2;127,169;254,298;15367;30735;9.92232;112.10041;
dialect;bn:12993181n,bn:01188947n;2;166,121;292,242;14641;29283;9.65361;104.74478;
dialect;bn:00003344n,bn:15063268n;2;180,168;318,296;17959;34239;12.90990;121.26352;
dialect;bn:02923551n,bn:01859256n;2;177,180;308,318;18932;35933;11.36703;123.60411;
dialect;bn:03718451n,bn:13942187n;2;260,169;397,298;21922;38925;14.28205;146.06765;
dialect;bn:03258717n,bn:02777791n;2;174,127;306,254;15488;30977;9.72911;90.40918;
dialect;bn:12990857n,bn:15589454n;2;172,173;304,304;17783;33887;11.05279;100.28002;
dialect;bn:02670986n,bn:15412365n;2;244,190;367,338;22745;40409;15.85077;149.57168;
dialect;bn:02914706n,bn:12991447n;2;121,170;242,298;14641;29283;10.91558;87.04226;
dialect;bn:02711386n,bn:15063268n;2;168,168;296,296;16850;32101;10.41939;96.85113;
dialect;bn:02545398n,bn:01802464n;2;168,128;296,256;15488;30977;9.41988;90.57332;
dialect;bn:01162558n,bn:07346022n;2;172,171;304,302;17141;32683;11.81067;96.36748;
dialect;bn:00337955n,bn:03398869n;2;182,179;322,318;18566;35453;12.99634;126.10387;
dialect;bn:01912263n,bn:03165036n;2;178,176;314,310;18862;35961;11.88257;128.58864;
dialect;bn:03706625n,bn:16484655n;2;176,228;306,390;20624;38213;12.89065;139.19193;
dialect;bn:16263586n,bn:02828499n;2;168,176;296,312;16944;32289;13.48900;116.05106;
dialect;bn:00080918n,bn:02706876n;2;179,122;316,244;15616;31233;9.85167;109.03933;
dialect;bn:07083430n,bn:15191976n;2;121,174;242,308;14641;29283;9.93982;107.86026;
dialect;bn:03266302n,bn:00899659n;2;182,128;324,256;15488;30977;11.97721;110.04663;
dialect;bn:00714882n,bn:13266643n;2;183,121;323,242;15488;30977;12.96911;113.15121;
dialect;bn:03636488n,bn:07685821n;2;169,251;298,381;20881;36923;12.96603;133.23357;
dialect;bn:01890670n,bn:15191960n;2;170,181;300,320;18160;34641;11.59753;124.50717;
dialect;bn:00268519n,bn:13269221n;2;176,121;312,242;14641;29283;11.60220;106.26549;
dialect;bn:03589754n,bn:01890670n;2;129,170;258,300;15616;31233;10.79327;111.75875;
dialect;bn:16311436n,bn:02914718n;2;128,230;256,394;15616;31233;12.02526;115.90299;
dialect;bn:16586215n,bn:03939678n;2;138,178;276,314;17722;35445;10.52542;125.21486;
dialect;bn:07086159n,bn:01391991n;2;174,121;307,242;14641;29283;10.84846;103.88796;
dialect;bn:03891688n,bn:16351170n;2;178,121;314,242;15488;30977;10.28768;107.69868;
dialect;bn:00327265n,bn:16752134n;2;228,178;390,314;20852;38933;16.78768;133.38889;
