SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
film;bn:15923271n,bn:15386227n;2;37,143;74,285;4363;8727;13.11505;19.27318;
film;bn:03639402n,bn:14005134n;2;168,46;335,92;5216;10433;13.65317;22.05552;
film;bn:00977590n,bn:16220521n;2;39,174;78,346;5202;10405;14.56205;21.91758;
film;bn:14519136n,bn:17258013n;2;37,36;74,72;1092;2185;6.79486;4.63823;
film;bn:14933078n,bn:16175421n;2;36,38;72,76;1124;2249;7.64974;4.81136;
film;bn:14771422n,bn:02341773n;2;270,166;540,332;41877;83755;16.25051;299.66687;
film;bn:15634233n,bn:03889292n;2;40,44;80,88;1099;2199;11.49451;4.78680;
film;bn:08973177n,bn:16233568n;2;45,36;89,72;1158;2317;8.40173;5.00840;
film;bn:04972506n,bn:02310434n;2;136,268;272,536;35100;70201;16.08446;227.95929;
film;bn:03536267n,bn:14633654n;2;48,148;94,296;4884;9769;16.14461;41.01711;
film;bn:01491856n,bn:15561128n;2;51,149;101,297;4485;8971;15.31756;16.61443;
film;bn:02224558n,bn:01364040n;2;175,158;350,316;24182;48365;36.63599;153.81780;
film;bn:15434333n,bn:01799775n;2;38,163;76,324;5151;10303;14.85771;22.27701;
film;bn:01573118n,bn:01294228n;2;44,146;88,291;4388;8777;14.64371;38.76117;
film;bn:16225366n,bn:17663579n;2;43,46;85,91;1108;2216;11.88423;4.07436;
film;bn:01485104n,bn:15309988n;2;42,38;84,76;1129;2259;7.07436;4.59405;
film;bn:00620112n,bn:08876443n;2;44,62;88,124;1206;2413;12.44372;5.20565;
film;bn:02141811n,bn:04899097n;2;163,143;326,285;20494;40989;14.60425;134.58405;
film;bn:15189780n,bn:00351159n;2;43,43;85,86;1107;2215;11.72776;4.81609;
film;bn:11179127n,bn:03182200n;2;291,40;576,77;7535;15069;28.21852;54.44023;
film;bn:01455168n,bn:15476280n;2;39,36;78,72;1093;2187;9.95103;5.15195;
film;bn:00747126n,bn:02750597n;2;42,40;84,79;1229;2459;8.94788;5.50866;
film;bn:02690923n,bn:03715246n;2;210,40;417,79;6506;13013;17.99671;48.78328;
film;bn:03619869n,bn:15205833n;2;63,42;125,84;1159;2319;18.26053;5.03165;
film;bn:14298007n,bn:16597874n;2;36,46;72,92;1096;2193;10.07442;4.68860;
film;bn:03886105n,bn:01493329n;2;40,163;78,326;4935;9871;13.12831;42.31734;
film;bn:16646377n,bn:21467339n;2;182,37;363,74;5165;10331;15.76434;39.51664;
film;bn:16853290n,bn:01975012n;2;37,172;73,343;5287;10575;16.62359;22.46809;
film;bn:05021411n,bn:03259539n;2;249,185;497,368;34243;68487;26.79035;254.24096;
film;bn:21467109n,bn:01563838n;2;33,40;66,79;1089;2179;10.17932;4.83324;
film;bn:01296916n,bn:02509328n;2;206,50;410,100;8868;17737;16.30466;38.93011;
