SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
scientist;bn:00801997n,bn:04702553n;2;307,256;613,511;75306;150612;19.76081;610.28629;
scientist;bn:03290024n,bn:14371136n;2;257,256;513,511;62504;125008;18.26948;457.59105;
scientist;bn:00352021n,bn:00228050n;2;287,258;573,515;71148;142296;25.04153;494.50947;
scientist;bn:00433596n,bn:00942031n;2;260,256;518,512;63005;126011;25.29021;492.68020;
scientist;bn:00134895n,bn:03222319n;2;261,262;522,522;64023;128047;28.51703;495.09851;
scientist;bn:06549746n,bn:03337284n;2;256,256;511,512;63507;127015;19.48775;476.19575;
scientist;bn:08426411n,bn:06385175n;2;255,262;509,524;65262;130525;22.78845;504.97757;
scientist;bn:05387639n,bn:00519806n;2;253,256;505,512;63252;126505;21.52725;469.30519;
scientist;bn:02048193n,bn:02851732n;2;269,254;537,507;62506;125012;32.48016;491.58339;
scientist;bn:00903189n,bn:14031732n;2;254,260;508,519;62503;125007;24.55106;427.91555;
scientist;bn:02930130n,bn:03739986n;2;265,268;527,534;64510;129018;33.87550;458.29870;
scientist;bn:05443443n,bn:00696701n;2;253,310;505,620;76003;152007;21.78756;600.73544;
scientist;bn:03333509n,bn:08356900n;2;307,258;612,515;75504;151007;17.84511;516.90441;
scientist;bn:02228133n,bn:02625925n;2;263,256;525,511;62753;125506;21.79752;493.63778;
scientist;bn:01543648n,bn:01794518n;2;263,253;526,506;63250;126501;20.31249;448.00314;
scientist;bn:03389975n,bn:01097045n;2;319,259;635,517;77879;155756;22.70668;602.73417;
scientist;bn:02353370n,bn:00847609n;2;268,264;534,527;63526;127052;26.15094;451.65407;
scientist;bn:05588988n,bn:02562543n;2;309,316;618,631;93004;186009;25.08287;692.90568;
scientist;bn:02082944n,bn:03875524n;2;311,258;619,514;76002;152004;23.40077;590.63451;
scientist;bn:02270564n,bn:14950595n;2;265,262;530,523;63011;126023;22.55237;440.72084;
scientist;bn:00336476n,bn:01894391n;2;257,256;513,511;62755;125510;20.51368;470.43197;
scientist;bn:01065040n,bn:02270545n;2;255,254;510,507;63003;126007;19.36067;485.34747;
scientist;bn:00180617n,bn:02779787n;2;304,303;607,605;90003;180006;18.62348;639.04762;
scientist;bn:03573547n,bn:03593028n;2;292,258;583,516;73408;146817;20.79400;551.05845;
scientist;bn:01499921n,bn:14763765n;2;263,257;525,513;64763;129526;23.15323;472.26960;
scientist;bn:00384460n,bn:02422929n;2;263,321;525,641;80208;160416;24.85170;600.70334;
scientist;bn:02760480n,bn:00832699n;2;269,256;537,510;65776;131553;18.92655;484.08237;
scientist;bn:01569667n,bn:05410812n;2;252,305;504,610;74702;149405;16.45922;555.92569;
scientist;bn:03673425n,bn:03313760n;2;258,257;515,513;64250;128501;20.62091;500.79722;
scientist;bn:03677759n,bn:14640647n;2;217,271;434,541;56282;112565;20.63211;422.88212;
scientist;bn:02421116n,bn:02648609n;2;266,293;532,585;73189;146379;23.39889;518.53653;
scientist;bn:03028862n,bn:02148145n;2;275,265;549,526;68601;137200;43.49465;490.43667;
scientist;bn:03872358n,bn:02868870n;2;280,270;558,539;69705;139409;30.03650;536.93011;
scientist;bn:02096574n,bn:02812647n;2;256,259;512,517;63004;126009;18.54488;509.21198;
scientist;bn:02283596n,bn:03483010n;2;257,263;513,523;63257;126513;19.59740;445.65905;
scientist;bn:05309249n,bn:03544448n;2;258,308;515,616;76006;152013;21.81377;603.24862;
scientist;bn:01030260n,bn:02458930n;2;274,252;548,503;68000;136001;17.08743;483.90883;
scientist;bn:02908991n,bn:03418951n;2;260,276;519,550;67289;134577;27.79362;503.35700;
scientist;bn:00562109n,bn:01958143n;2;259,315;518,630;78939;157879;22.67151;560.22244;
scientist;bn:03603385n,bn:03483004n;2;255,310;510,620;76005;152011;38.85444;598.64846;
scientist;bn:02195852n,bn:02198673n;2;313,255;625,510;75307;150615;19.99469;572.10452;
scientist;bn:01030260n,bn:03203212n;2;274,269;548,537;70994;141989;28.18458;531.52298;
scientist;bn:03360446n,bn:05004567n;2;305,253;609,505;74703;149406;18.39494;589.70428;
scientist;bn:00704891n,bn:03818855n;2;299,279;593,556;71299;142596;30.08150;487.88156;
scientist;bn:05590129n,bn:14257263n;2;263,267;526,534;65492;130985;23.13589;506.73767;
scientist;bn:02776763n,bn:03731420n;2;271,256;539,511;65015;130029;22.92224;502.25808;
scientist;bn:02566548n,bn:02340087n;2;173,252;346,503;43250;86501;13.87492;261.23383;
scientist;bn:03123011n,bn:00010058n;2;267,281;532,555;65015;130027;28.41460;493.85377;
scientist;bn:05527142n,bn:03388180n;2;307,262;613,522;75008;150016;24.52007;593.65171;
scientist;bn:01805910n,bn:15837694n;2;258,261;515,521;64770;129540;20.58007;472.42918;
scientist;bn:03644254n,bn:02400635n;2;273,215;545,430;55854;111709;22.55766;409.44448;
scientist;bn:02946378n,bn:03162437n;2;252,256;503,511;62501;125002;18.05161;481.58763;
scientist;bn:00938453n,bn:03727529n;2;269,256;536,511;64513;129025;24.07852;458.93862;
scientist;bn:01885630n,bn:05307097n;2;255,257;509,513;62503;125006;22.12564;477.46533;
scientist;bn:03181428n,bn:00387984n;2;268,259;533,517;64014;128027;25.91620;490.83802;
scientist;bn:03038699n,bn:02769848n;2;259,257;517,512;64012;128024;19.59671;448.65412;
scientist;bn:03044447n,bn:02780681n;2;256,254;511,508;63505;127011;16.91777;455.61885;
scientist;bn:03397608n,bn:02931526n;2;266,263;532,525;67604;135209;17.47510;523.63496;
scientist;bn:14127700n,bn:04704282n;2;216,254;432,508;53714;107429;17.30397;388.69617;
scientist;bn:03817829n,bn:04123773n;2;287,305;573,609;82481;164963;20.62919;624.03159;
scientist;bn:05006249n,bn:02369007n;2;254,261;507,521;63006;126012;17.09801;480.42830;
