SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
sculpture;bn:00943794n,bn:02173206n;2;123,265;246,529;30624;61249;17.97355;208.12028;
sculpture;bn:03521114n,bn:01390821n;2;209,120;418,239;24244;48489;14.72150;150.94958;
sculpture;bn:14403184n,bn:03792558n;2;220,187;440,374;40363;80727;14.01552;294.84630;
sculpture;bn:14487866n,bn:10467664n;2;18,214;36,428;3816;7633;10.30509;16.70211;
sculpture;bn:01100833n,bn:02604648n;2;118,376;236,752;42805;85611;18.48870;302.84115;
sculpture;bn:15531670n,bn:02077760n;2;119,125;238,249;13460;26921;15.71808;80.25477;
sculpture;bn:17301687n,bn:01035303n;2;188,119;376,237;21578;43157;12.73634;146.28293;
sculpture;bn:03452131n,bn:03158080n;2;118,198;236,396;22041;44083;17.79164;167.65138;
sculpture;bn:00433057n,bn:17808590n;2;124,121;248,242;13575;27151;15.28522;99.45430;
sculpture;bn:13087239n,bn:13837726n;2;118,118;236,236;13458;26917;9.69947;78.13839;
sculpture;bn:07302920n,bn:00333546n;2;87,150;174,300;12876;25753;9.98278;76.77734;
sculpture;bn:14975415n,bn:00688951n;2;117,204;234,408;23664;47329;10.67764;167.99390;
sculpture;bn:02914899n,bn:01287048n;2;89,119;178,238;10267;20535;9.81286;43.78080;
sculpture;bn:01551640n,bn:01010128n;2;122,185;244,370;20882;41765;16.98210;135.59261;
sculpture;bn:02425281n,bn:03006503n;2;89,89;178,178;7571;15143;8.87748;51.69180;
sculpture;bn:14169074n,bn:17004758n;2;123,177;245,354;20417;40835;32.58214;109.15043;
sculpture;bn:01437311n,bn:19715761n;2;88,88;176,176;7570;15141;7.31829;52.29134;
sculpture;bn:01323039n,bn:00255232n;2;61,118;122,236;7076;14153;8.54710;49.88096;
sculpture;bn:00714321n,bn:01992073n;2;150,124;300,247;17285;34571;15.46161;118.75507;
sculpture;bn:02288913n,bn:02993551n;2;91,118;181,236;10094;20189;9.36928;62.69457;
sculpture;bn:02002728n,bn:02976073n;2;119,267;238,533;30888;61777;15.35364;217.72606;
sculpture;bn:00629376n,bn:01386346n;2;103,90;206,179;8788;17577;32.36911;38.75686;
sculpture;bn:07971729n,bn:01279115n;2;118,193;236,386;21809;43619;13.79511;140.01677;
sculpture;bn:01303158n,bn:16621435n;2;99,193;198,386;18625;37251;28.75600;101.49646;
sculpture;bn:01092452n,bn:03178519n;2;119,92;238,184;10648;21297;9.21513;66.27084;
sculpture;bn:02743739n,bn:01243195n;2;92,98;182,196;8440;16881;8.73291;49.98645;
sculpture;bn:03843684n,bn:04931353n;2;91,122;181,244;10094;20189;15.32839;61.97990;
sculpture;bn:04347973n,bn:01994630n;2;206,124;412,247;23781;47563;16.15484;148.76401;
sculpture;bn:02491276n,bn:03756348n;2;117,119;230,238;12414;24829;15.16358;69.55512;
sculpture;bn:15204161n,bn:03212733n;2;188,205;376,410;37945;75891;11.11157;271.01578;
sculpture;bn:02903383n,bn:02066401n;2;122,118;244,236;13457;26915;14.77877;79.99983;
sculpture;bn:07759236n,bn:03612062n;2;118,124;236,247;13573;27147;31.39105;79.75337;
sculpture;bn:14661688n,bn:02615151n;2;218,255;436,510;55335;110671;12.68076;404.35325;
sculpture;bn:13894578n,bn:21106816n;2;120,120;240,240;13573;27147;12.31238;79.82609;
sculpture;bn:03733056n,bn:07308607n;2;210,88;420,176;18183;36367;11.61885;124.19705;
sculpture;bn:03879471n,bn:01338037n;2;127,245;253,490;28433;56867;18.24665;197.58265;
sculpture;bn:05140978n,bn:03609913n;2;150,197;300,394;28122;56245;17.34947;172.50170;
sculpture;bn:02270793n,bn:03584868n;2;119,93;238,185;10180;20361;14.01484;64.22130;
sculpture;bn:01487722n,bn:02613385n;2;124,92;247,184;10557;21115;33.32596;67.06914;
sculpture;bn:01080602n,bn:01844775n;2;119,188;238,376;21577;43155;13.68938;138.30596;
sculpture;bn:01768305n,bn:02776396n;2;205,199;410,396;39169;78339;16.95594;295.08083;
sculpture;bn:17860884n,bn:04288223n;2;126,317;252,634;36542;73085;21.22982;220.28714;
sculpture;bn:01094025n,bn:03079034n;2;118,120;236,240;13573;27147;12.33332;98.42164;
sculpture;bn:00824056n,bn:07309123n;2;121,87;242,174;10092;20185;11.97814;64.00800;
sculpture;bn:02009801n,bn:01926231n;2;123,121;246,242;13463;26927;14.91193;96.69066;
sculpture;bn:04553722n,bn:03254801n;2;88,118;176,236;10093;20187;9.04071;63.62582;
sculpture;bn:03066405n,bn:14250288n;2;121,195;242,389;22466;44933;14.73443;146.33016;
sculpture;bn:03812070n,bn:00406714n;2;89,212;178,424;18185;36371;11.41279;120.15527;
sculpture;bn:17922567n,bn:00177606n;2;117,91;234,181;10093;20187;9.61081;61.67865;
sculpture;bn:01742510n,bn:00917708n;2;92,89;184,178;7918;15837;7.47600;54.05404;
sculpture;bn:09687544n,bn:01621391n;2;118,189;236,377;21693;43387;10.37874;133.47303;
sculpture;bn:00722213n,bn:01241924n;2;90,118;180,236;10209;20419;9.26459;62.02830;
sculpture;bn:16003900n,bn:13986285n;2;22,117;44,234;2552;5105;6.32939;30.68895;
sculpture;bn:00912297n,bn:00988586n;2;120,89;239,178;10094;20189;11.26326;65.08834;
sculpture;bn:15279854n,bn:03882305n;2;124,150;248,300;17400;34801;13.88540;121.69375;
sculpture;bn:00281948n,bn:17160144n;2;89,120;178,240;10094;20189;11.51530;64.36223;
sculpture;bn:03637774n,bn:04008705n;2;122,194;244,388;22466;44933;33.09212;149.35520;
sculpture;bn:13891278n,bn:07940719n;2;118,118;236,236;13457;26915;10.90524;100.35146;
sculpture;bn:03585722n,bn:02786338n;2;188,187;376,374;34597;69195;13.57014;272.43427;
sculpture;bn:01636387n,bn:01365576n;2;208,117;416,234;23665;47331;15.17516;169.88071;
sculpture;bn:00761869n,bn:00471306n;2;120,125;240,250;13692;27385;14.16791;99.62244;
sculpture;bn:18117100n,bn:07303728n;2;122,87;244,174;10092;20185;12.16680;63.84256;
sculpture;bn:01027751n,bn:00496480n;2;120,122;239,243;13574;27149;12.23590;79.49431;
sculpture;bn:07653312n,bn:02423440n;2;122,97;244,192;10675;21351;13.68043;66.92468;
sculpture;bn:02474654n,bn:03728712n;2;191,118;382,236;21926;43853;11.37786;144.01410;
sculpture;bn:01096327n,bn:03545120n;2;119,222;238,444;25637;51275;14.86788;162.57999;
sculpture;bn:03831324n,bn:15092459n;2;90,153;179,306;13139;26279;11.88280;78.50280;
sculpture;bn:03422068n,bn:01366815n;2;205,123;410,246;23318;46637;18.92697;169.12812;
sculpture;bn:01688899n,bn:01009543n;2;118,188;236,376;21808;43617;11.65207;162.68908;
sculpture;bn:02560586n,bn:16319114n;2;118,123;236,245;13458;26917;14.26542;99.20380;
