SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
university;bn:01858264n,bn:01413725n;2;140,140;280,280;19460;38921;10.87445;132.86188;
university;bn:02930274n,bn:02195970n;2;185,141;370,282;25577;51155;12.42320;180.62110;
university;bn:01848280n,bn:01225150n;2;140,139;280,278;19321;38643;9.91719;107.13433;
university;bn:03297343n,bn:00176374n;2;140,205;280,410;28357;56715;11.55249;199.43372;
university;bn:03762787n,bn:02081021n;2;141,141;282,282;19323;38647;10.48160;109.01006;
university;bn:02062835n,bn:03681483n;2;142,142;284,284;19602;39205;10.81766;131.31170;
university;bn:02178633n,bn:01044054n;2;142,141;284,282;19462;38925;10.32347;124.33189;
university;bn:01611691n,bn:03096878n;2;141,141;282,282;19323;38647;10.38887;128.17653;
university;bn:00736414n,bn:17484054n;2;141,139;282,278;19321;38643;10.03912;123.86641;
university;bn:01333415n,bn:14023949n;2;140,231;280,462;31831;63663;12.65242;214.72041;
university;bn:01526872n,bn:00134117n;2;140,141;280,282;19460;38921;10.33633;131.51085;
university;bn:01328047n,bn:01687378n;2;175,143;350,286;24535;49071;11.31022;176.22160;
university;bn:02270077n,bn:00713749n;2;141,145;282,290;19601;39203;13.89385;123.62339;
university;bn:00653203n,bn:13916290n;2;140,143;280,286;19740;39481;11.42904;128.84812;
university;bn:00825797n,bn:02390294n;2;140,201;280,402;28000;56001;10.93691;168.19329;
university;bn:00833397n,bn:01123137n;2;144,143;287,286;19742;39485;12.29167;127.81824;
university;bn:00605631n,bn:00904850n;2;141,139;282,278;19321;38643;10.74217;131.20634;
university;bn:03552490n,bn:02766516n;2;142,140;284,280;19461;38923;10.42474;127.44027;
university;bn:01346768n,bn:02049526n;2;185,141;370,282;25944;51889;10.48949;160.20683;
university;bn:02302487n,bn:00944036n;2;202,141;404,282;28141;56283;10.61135;195.84045;
university;bn:01775497n,bn:03852240n;2;142,140;284,280;19600;39201;9.80746;108.34637;
university;bn:00158528n,bn:03365773n;2;140,141;280,282;19460;38921;10.01861;127.78750;
university;bn:01205941n,bn:02979723n;2;140,204;280,408;27801;55603;13.10416;168.01802;
university;bn:03094990n,bn:02029495n;2;141,144;282,288;19601;39203;11.26970;127.21915;
university;bn:00582651n,bn:00829400n;2;141,142;282,284;19462;38925;10.49357;136.80627;
university;bn:15043439n,bn:07881825n;2;139,141;278,282;19321;38643;10.19259;127.03752;
university;bn:02434516n,bn:03517204n;2;140,141;280,282;19322;38645;11.21640;131.38576;
university;bn:14116417n,bn:03891731n;2;140,143;280,286;19461;38923;12.14074;127.35652;
university;bn:02245804n,bn:02392236n;2;176,139;352,278;24047;48095;12.60979;151.38847;
university;bn:02618047n,bn:02159698n;2;173,143;346,286;24596;49193;10.90024;153.17031;
university;bn:15066290n,bn:02558072n;2;141,141;282,282;19323;38647;11.56295;129.79635;
university;bn:00949053n,bn:15684658n;2;259,140;516,280;28913;57827;14.76748;194.02116;
university;bn:03511058n,bn:00518735n;2;202,140;404,280;27801;55603;12.60963;196.92526;
university;bn:00128763n,bn:00697644n;2;140,141;280,282;19322;38645;11.28944;108.44082;
university;bn:03812722n,bn:03270470n;2;142,144;283,288;19601;39203;13.57510;132.55372;
university;bn:03711709n,bn:03645061n;2;141,141;282,282;19323;38647;9.16527;111.57495;
university;bn:01093125n,bn:15699807n;2;140,139;280,278;19321;38643;8.30387;129.99579;
