SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
vehicle;bn:16000014n,bn:00484480n;2;63,63;126,126;3844;7689;6.45660;35.12598;
vehicle;bn:00706350n,bn:14329700n;2;150,153;300,306;22650;45301;10.31164;141.36527;
vehicle;bn:15997833n,bn:01051178n;2;163,65;326,130;9815;19631;14.22804;64.42996;
vehicle;bn:03883322n,bn:01448242n;2;63,66;126,132;3905;7811;7.47986;16.86968;
vehicle;bn:03009271n,bn:00563712n;2;158,64;316,128;9640;19281;12.21526;41.24490;
vehicle;bn:02912224n,bn:01699247n;2;61,154;122,308;9272;18545;9.94939;59.32133;
vehicle;bn:14723034n,bn:02329659n;2;59,284;118,567;16298;32597;16.74857;114.97176;
vehicle;bn:00656693n,bn:01700595n;2;152,62;304,124;9211;18423;9.63826;60.63847;
vehicle;bn:00323676n,bn:03233275n;2;152,194;304,388;26123;52247;20.45205;183.24198;
vehicle;bn:01820132n,bn:00981190n;2;153,245;306,489;36450;72901;17.20056;245.15604;
vehicle;bn:00758878n,bn:01437569n;2;168,69;336,138;11424;22849;11.53206;62.46399;
vehicle;bn:03088190n,bn:01038664n;2;180,85;360,170;14857;29715;10.35358;101.54557;
vehicle;bn:00806034n,bn:03884545n;2;63,157;126,314;9272;18545;11.62986;54.42943;
vehicle;bn:01996220n,bn:02485730n;2;67,67;134,134;4225;8451;26.12842;17.34827;
vehicle;bn:17444273n,bn:00488566n;2;77,153;154,306;11627;23255;9.33938;69.61308;
vehicle;bn:03006053n,bn:16248298n;2;66,62;132,124;4026;8053;6.17760;17.36936;
vehicle;bn:03455000n,bn:16545218n;2;152,167;304,334;24600;49201;14.31912;149.24940;
vehicle;bn:14629812n,bn:02580310n;2;62,160;124,319;9456;18913;11.58587;60.07617;
vehicle;bn:16652800n,bn:00554795n;2;74,69;148,138;4826;9653;7.98675;38.69878;
vehicle;bn:06314416n,bn:05115548n;2;153,151;306,302;22501;45003;12.65868;138.80521;
vehicle;bn:00166071n,bn:01522266n;2;62,156;124,312;9027;18055;11.19335;57.70904;
vehicle;bn:01392029n,bn:01248808n;2;138,64;218,128;3596;7193;8.17183;32.05810;
vehicle;bn:06342872n,bn:00783698n;2;246,61;492,122;14884;29769;9.23744;85.29575;
vehicle;bn:01715545n,bn:01194506n;2;65,62;130,124;3844;7689;8.22697;16.83008;
vehicle;bn:00561755n,bn:02023366n;2;155,64;310,128;9600;19201;11.27399;61.50607;
vehicle;bn:03023626n,bn:02655835n;2;221,153;442,306;32700;65401;16.23598;247.71109;
vehicle;bn:00720235n,bn:00647294n;2;151,338;302,510;24900;49801;18.92439;178.13498;
vehicle;bn:00273294n,bn:02688169n;2;61,72;122,144;4331;8663;6.17248;19.02257;
vehicle;bn:02555449n,bn:17490273n;2;128,61;195,122;4087;8175;6.14476;17.63422;
vehicle;bn:02426729n,bn:00274328n;2;125,153;189,306;9211;18423;10.76804;40.15207;
vehicle;bn:02604619n,bn:02783704n;2;61,66;122,132;4026;8053;4.92518;17.36210;
vehicle;bn:02049378n,bn:00568645n;2;62,150;124,300;9150;18301;6.91637;60.26266;
