SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
video_game;bn:01054160n,bn:03235519n;2;158,184;315,366;26608;53217;19.22012;150.09317;
video_game;bn:00292040n,bn:14123467n;2;161,156;321,312;22806;45613;19.01962;147.19653;
video_game;bn:01856277n,bn:18493810n;2;157,157;314,314;22805;45611;16.86003;147.95090;
video_game;bn:01511907n,bn:00996459n;2;151,159;302,318;22801;45603;15.96238;150.70101;
video_game;bn:03138911n,bn:03459249n;2;159,163;318,326;23565;47131;16.86571;156.10020;
video_game;bn:02080728n,bn:14085736n;2;158,166;316,331;23566;47133;16.97913;166.14267;
video_game;bn:01971941n,bn:02230676n;2;156,158;310,316;22804;45609;16.60015;152.12874;
video_game;bn:03796056n,bn:02970602n;2;158,157;316,314;22808;45617;15.31128;169.64369;
video_game;bn:00781791n,bn:01089608n;2;154,159;308,318;22806;45613;14.90962;170.38423;
video_game;bn:00461482n,bn:02313026n;2;162,174;323,348;26057;52115;17.44439;183.85366;
video_game;bn:03716317n,bn:03054147n;2;157,164;314,328;23563;47127;16.40630;153.08979;
video_game;bn:00272444n,bn:00194777n;2;157,165;314,330;24765;49531;14.47436;159.10121;
video_game;bn:01297301n,bn:00396728n;2;157,159;314,318;22808;45617;15.99040;149.57972;
video_game;bn:15063681n,bn:02612570n;2;207,211;414,422;39813;79627;18.45636;264.46887;
video_game;bn:14664041n,bn:14024751n;2;160,156;320,312;22809;45619;17.21345;141.58474;
video_game;bn:03106371n,bn:01744178n;2;157,159;313,317;22959;45918;16.26317;142.67420;
video_game;bn:00930464n,bn:15440345n;2;157,153;314,306;22802;45605;15.24515;141.58968;
video_game;bn:14130558n,bn:15799922n;2;157,159;314,318;22807;45615;16.91324;142.64606;
video_game;bn:01029482n,bn:03496859n;2;157,158;313,316;22958;45917;15.48472;145.50851;
video_game;bn:01307772n,bn:14390313n;2;156,151;312,302;22801;45603;14.12708;150.67907;
video_game;bn:01404195n,bn:03497433n;2;283,160;566,320;41227;82455;21.64904;301.02320;
video_game;bn:14658689n,bn:01397320n;2;162,159;323,317;22815;45630;16.15191;151.19372;
video_game;bn:03648515n,bn:00326932n;2;162,158;323,315;23261;46523;16.08936;152.49217;
video_game;bn:17414857n,bn:08992126n;2;151,153;302,306;22801;45603;28.66432;149.07328;
video_game;bn:02800869n,bn:02156983n;2;166,168;331,335;24667;49335;35.32289;157.02405;
video_game;bn:00617041n,bn:03631957n;2;155,158;310,315;22805;45611;15.01536;149.37189;
video_game;bn:09678592n,bn:02275775n;2;151,162;302,323;22801;45603;16.53977;151.50867;
video_game;bn:01554228n,bn:01279906n;2;159,163;318,325;23715;47431;13.33727;174.48655;
video_game;bn:06387965n,bn:01673059n;2;157,157;314,314;23406;46813;15.08336;151.79307;
video_game;bn:02396727n,bn:15437362n;2;157,162;314,324;22812;45625;35.61085;151.37185;
video_game;bn:02160355n,bn:01792347n;2;157,191;314,382;28241;56483;32.34750;171.75476;
video_game;bn:03186534n,bn:03300390n;2;162,153;323,306;22804;45609;17.31700;142.46896;
video_game;bn:03174429n,bn:03129906n;2;190,156;377,312;27336;54673;18.34214;195.77850;
video_game;bn:03291107n,bn:02412842n;2;160,184;319,366;26883;53766;19.85552;171.01405;
video_game;bn:00667287n,bn:00293663n;2;164,175;326,349;25527;51055;20.39761;159.93001;
video_game;bn:17115040n,bn:02280771n;2;159,162;318,324;22816;45633;13.98377;142.64449;
video_game;bn:10753918n,bn:00361219n;2;151,152;302,304;22801;45603;10.44302;146.29156;
video_game;bn:02143022n,bn:02422616n;2;157,155;314,310;22955;45911;14.83603;144.37450;
video_game;bn:03223021n,bn:03341153n;2;154,157;307,314;22803;45607;15.44103;143.60810;
video_game;bn:00420916n,bn:00356511n;2;157,155;314,310;22809;45619;13.37696;145.15271;
video_game;bn:01256926n,bn:03240168n;2;156,157;311,314;22957;45915;12.35672;143.25875;
video_game;bn:02736730n,bn:02321402n;2;158,158;316,316;23109;46219;14.92836;154.02432;
video_game;bn:00384450n,bn:17385250n;2;159,152;317,304;22953;45907;14.67177;146.90065;
video_game;bn:14633959n,bn:02577233n;2;157,155;313,310;22804;45609;15.85473;147.42015;
video_game;bn:15216266n,bn:03806948n;2;151,206;302,412;30049;60099;15.11801;215.29596;
video_game;bn:16742977n,bn:00120960n;2;158,159;316,317;22958;45917;16.73726;125.07856;
video_game;bn:03137961n,bn:10189912n;2;175,151;348,302;25519;51039;16.45125;191.19157;
