UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:04864113n,bn:16163615n,bn:00721664n,bn:10718710n,bn:03059620n;actor;5;true;true;0.324;0.05;0.04;0.01;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0)
bn:03843594n,bn:02034553n,bn:03213146n,bn:04759750n,bn:01117724n;actor;5;true;true;0.323;0.06;0.05;0.01;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), GIVEN_NAME(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:03121288n,bn:10734331n,bn:03533608n,bn:03735081n,bn:10857937n;actor;5;true;true;0.324;0.05;0.04;0.01;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n)
bn:03597794n,bn:01538214n,bn:05558503n,bn:04739574n,bn:01947855n;actor;5;true;true;0.327;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:05150021n,bn:02955402n,bn:01712262n,bn:03127098n,bn:16992459n;actor;5;true;true;0.324;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0)
bn:04720158n,bn:08448423n,bn:03430422n,bn:00252136n,bn:14400639n;actor;5;true;true;0.329;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), PLACE_OF_BIRTH(X, y_1)
bn:04923140n,bn:00998512n,bn:10865515n,bn:01067824n,bn:03844444n;actor;5;true;true;0.326;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), PLACE_OF_BIRTH(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2)
bn:05174250n,bn:03411996n,bn:08352321n,bn:00935896n,bn:10881735n;actor;5;true;true;0.326;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:08690531n,bn:01407881n,bn:01323109n,bn:03444569n,bn:00653814n;actor;5;true;true;0.327;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n)
bn:04884706n,bn:01436303n,bn:03206154n,bn:04810022n,bn:01589976n;actor;5;true;true;0.322;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0)
bn:04921463n,bn:04711479n,bn:00770114n,bn:03494745n,bn:06538452n;actor;5;true;true;0.324;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:02785161n,bn:02876313n,bn:03354171n,bn:01542508n,bn:02375822n;actor;5;true;true;0.329;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n)
bn:04741287n,bn:03770984n,bn:03214373n,bn:00223695n,bn:02595156n;actor;5;true;true;0.323;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:02143002n,bn:01064833n,bn:03165443n,bn:16045845n,bn:05459349n;actor;5;true;true;0.333;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:05565774n,bn:15468047n,bn:04884131n,bn:01785691n,bn:08307617n;actor;5;true;true;0.33;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:08613582n,bn:03514353n,bn:02328618n,bn:08330843n,bn:03294630n;actor;5;true;true;0.327;0.05;0.04;0.01;INSTANCE_OF(X, bn:00001176n), GIVEN_NAME(X, y_0)
bn:05170019n,bn:08440807n,bn:03429333n,bn:04856695n,bn:10719408n;actor;5;true;true;0.33;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0)
bn:00624364n,bn:08285914n,bn:02660898n,bn:01595349n,bn:03346345n;actor;5;true;true;0.33;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:00756938n,bn:03705257n,bn:02114557n,bn:03693597n,bn:02024681n;actor;5;true;true;0.326;0.05;0.04;0.01;INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:01383423n,bn:05306349n,bn:04783125n,bn:01249394n,bn:04922886n;actor;5;true;true;0.33;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), PLACE_OF_BIRTH(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2)
bn:01641131n,bn:00769943n,bn:03630317n,bn:00176016n,bn:08653484n;actor;5;true;true;0.329;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), GIVEN_NAME(X, y_1)
bn:01171878n,bn:01422860n,bn:04319179n,bn:02900661n,bn:05160787n;actor;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), GIVEN_NAME(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:04872843n,bn:03107191n,bn:01635178n,bn:16405297n,bn:00535134n;actor;5;true;true;0.328;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n)
bn:03738517n,bn:02552354n,bn:03496047n,bn:05399330n,bn:03048738n;actor;5;true;true;0.326;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:04829156n,bn:02233357n,bn:00437847n,bn:02131359n,bn:03498308n;actor;5;true;true;0.323;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), PLACE_OF_BIRTH(X, y_2)
bn:04786934n,bn:01572028n,bn:00312421n,bn:05431114n,bn:05238387n;actor;5;true;true;0.33;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), GIVEN_NAME(X, y_0)
bn:01967537n,bn:14472601n,bn:00825748n,bn:03388705n,bn:16257549n;actor;5;true;true;0.326;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), PLACE_OF_BIRTH(X, y_1)
bn:06782979n,bn:03882729n,bn:08585251n,bn:02875104n,bn:04971340n;actor;5;true;true;0.326;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:01380518n,bn:10778299n,bn:03284968n,bn:03066768n,bn:00764618n;actor;5;true;true;0.329;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n)
