UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:16627083n,bn:02827952n,bn:00492014n,bn:03167738n;amusement_park;4;true;true;0.215;0.06;0.06;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03966231n,bn:14308605n,bn:01547721n,bn:02610429n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02438051n,bn:00617868n,bn:14479458n,bn:00738636n;amusement_park;4;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n)
bn:02635731n,bn:02478243n,bn:14033573n,bn:08028518n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n)
bn:17754101n,bn:16584451n,bn:01296222n,bn:00569342n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01813038n,bn:15578907n,bn:01627366n,bn:02357825n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02496521n,bn:01143690n,bn:09954439n,bn:14765361n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n)
bn:03334809n,bn:00468230n,bn:02965301n,bn:02927228n;amusement_park;4;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02110893n,bn:01826381n,bn:03011972n,bn:01211492n;amusement_park;4;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02601808n,bn:00124953n,bn:02885888n,bn:00121485n;amusement_park;4;true;true;0.224;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03845970n,bn:01371716n,bn:01097638n,bn:03618350n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:00354981n,bn:02715499n,bn:16795996n,bn:09933344n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02262542n,bn:02464068n,bn:15710076n,bn:01316006n;amusement_park;4;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03845815n,bn:14073842n,bn:00130967n,bn:00749844n;amusement_park;4;true;true;0.111;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:03569471n,bn:01086716n,bn:08343579n,bn:01468744n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01187176n,bn:00275245n,bn:01007708n,bn:03316539n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03883554n,bn:01007708n,bn:00314745n,bn:08703690n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03953198n,bn:03835983n,bn:01392866n,bn:02505885n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:16627083n,bn:16310136n,bn:03411292n,bn:14800768n;amusement_park;4;true;true;0.217;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01812339n,bn:14631778n,bn:00700156n,bn:03275758n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n)
bn:00307118n,bn:01703184n,bn:02657461n,bn:16852856n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:08471100n)
bn:03623037n,bn:16852856n,bn:00547702n,bn:02674529n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n)
bn:03966231n,bn:15827084n,bn:17284741n,bn:00612642n;amusement_park;4;true;true;0.213;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01601398n,bn:01587274n,bn:02461262n,bn:04108846n;amusement_park;4;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03392443n,bn:03858170n,bn:03845786n,bn:03486823n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03557127n,bn:00755692n,bn:03316539n,bn:02481035n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02052031n,bn:14665893n,bn:02461262n,bn:00284684n;amusement_park;4;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n)
bn:03949256n,bn:02927228n,bn:00547702n,bn:02150903n;amusement_park;4;true;true;0.216;0.06;0.05;0.01;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02331316n,bn:01148486n,bn:02091285n,bn:00138436n;amusement_park;4;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n)
bn:00908060n,bn:15062038n,bn:01627366n,bn:14033573n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:14856685n,bn:01417697n,bn:03204685n,bn:01845956n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:02478265n,bn:02210728n,bn:00179868n,bn:03416601n;amusement_park;4;true;true;0.113;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:12333708n,bn:00769032n,bn:14665893n,bn:00436560n;amusement_park;4;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n)
bn:02657461n,bn:03858409n,bn:17359363n,bn:03261837n;amusement_park;4;true;true;0.22;0.06;0.06;0.0;INSTANCE_OF(X, bn:00003695n)
bn:16468555n,bn:00532149n,bn:04284876n,bn:01954495n;amusement_park;4;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n)
bn:00902731n,bn:06769116n,bn:02393196n,bn:03837025n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:01608180n,bn:03215931n,bn:03235124n,bn:01487451n;amusement_park;4;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03661972n,bn:02388529n,bn:02150679n,bn:01397933n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00734921n,bn:02826170n,bn:16741380n,bn:02623224n;amusement_park;4;true;true;0.219;0.05;0.04;0.01;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01812339n,bn:00309260n,bn:03783476n,bn:03584164n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:00468230n,bn:03428048n,bn:02082721n,bn:02150903n;amusement_park;4;true;true;0.218;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n)
bn:16584451n,bn:00919162n,bn:00980897n,bn:03949256n;amusement_park;4;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00957753n,bn:05776802n,bn:00683547n,bn:07846335n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), COUNTRY(X, y_1)
bn:14339042n,bn:01608180n,bn:02800528n,bn:00080422n;amusement_park;4;true;true;0.221;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00814948n,bn:02310530n,bn:00277695n,bn:00579952n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02738832n,bn:03535458n,bn:02885888n,bn:02213279n;amusement_park;4;true;true;0.223;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n)
bn:03278250n,bn:01746619n,bn:03424810n,bn:01845956n;amusement_park;4;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01699660n,bn:00141743n,bn:02161167n,bn:15856331n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03623037n,bn:03419621n,bn:02738059n,bn:01083868n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n)
bn:01403126n,bn:15785148n,bn:03139869n,bn:02481035n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03486147n,bn:14465260n,bn:03186627n,bn:03722217n;amusement_park;4;true;true;0.218;0.07;0.07;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03579060n,bn:15827084n,bn:03280808n,bn:00542533n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:06769116n,bn:02730586n,bn:03424810n,bn:02150903n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02110893n,bn:00683547n,bn:03788420n,bn:16072817n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n)
bn:03845786n,bn:03170001n,bn:03520129n,bn:16369491n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01775422n,bn:00120990n,bn:01702853n,bn:00987199n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, bn:00003341n)
bn:03623037n,bn:00935956n,bn:03167738n,bn:00846806n;amusement_park;4;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n)
bn:02841435n,bn:03838440n,bn:10147655n,bn:03638984n;amusement_park;4;true;true;0.217;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00175684n,bn:16369491n,bn:00579952n,bn:03453762n;amusement_park;4;true;true;0.109;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03635907n,bn:04499870n,bn:01920109n,bn:15856331n;amusement_park;4;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00183490n,bn:01711148n,bn:15264497n,bn:01057264n;amusement_park;4;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
