UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:03480568n,bn:03166628n,bn:03452035n,bn:01853085n,bn:03846620n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:16831142n,bn:03883429n,bn:01775061n,bn:00397188n,bn:03083708n;band;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00578447n,bn:00773983n,bn:16941659n,bn:00601488n,bn:16418722n;band;5;true;true;0.214;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:16933667n,bn:03530044n,bn:03499107n,bn:03092454n,bn:02308626n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:16866265n,bn:01726655n,bn:17549295n,bn:14959092n,bn:01198432n;band;5;true;true;0.217;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01835761n,bn:01009043n,bn:02487944n,bn:16429016n,bn:01187845n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02421497n,bn:14505470n,bn:14305165n,bn:14925827n,bn:02779766n;band;5;true;true;0.214;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03550259n,bn:03662078n,bn:03573488n,bn:01382333n,bn:14795690n;band;5;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:09042959n,bn:08076605n,bn:14968395n,bn:14434132n,bn:02977383n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02044188n,bn:02476492n,bn:03597828n,bn:17758762n,bn:01704418n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00641994n,bn:02255348n,bn:02530420n,bn:15609558n,bn:15004132n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
bn:01348981n,bn:15701028n,bn:02573965n,bn:03402469n,bn:03487050n;band;5;true;true;0.221;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
