UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:01783913n,bn:09566169n,bn:00367544n,bn:07936198n,bn:14169533n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03408538n,bn:01298304n,bn:07784237n,bn:01079414n,bn:14679881n;company;5;true;true;0.324;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:03171101n,bn:03860882n,bn:00302661n,bn:02888674n,bn:01777212n;company;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00014137n)
bn:03258928n,bn:03589085n,bn:00710936n,bn:00187406n,bn:00892967n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:02498928n,bn:00934020n,bn:02440973n,bn:00846536n,bn:00764172n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01879388n,bn:14241174n,bn:15417731n,bn:02017492n,bn:00451292n;company;5;true;true;0.216;0.05;0.04;0.01;INSTANCE_OF(X, bn:00014137n)
bn:01259911n,bn:02471741n,bn:02361703n,bn:01152354n,bn:16849653n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n)
bn:02214388n,bn:00630432n,bn:00987044n,bn:03185978n,bn:00938171n;company;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021286n)
bn:03789149n,bn:00513812n,bn:03216292n,bn:03671931n,bn:02649437n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00023653n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n), INSTANCE_OF(X, bn:00021286n)
bn:17730821n,bn:00591859n,bn:03716880n,bn:03134765n,bn:01232564n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03614297n,bn:02576244n,bn:00415298n,bn:17463200n,bn:01224182n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:03614297n,bn:02268992n,bn:01695433n,bn:03177202n,bn:16332357n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:17638712n,bn:03183529n,bn:01009964n,bn:02936586n,bn:02915083n;company;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00020982n), INSTANCE_OF(X, bn:00021286n)
bn:15539759n,bn:17318272n,bn:01346353n,bn:00463329n,bn:03348692n;company;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00014137n)
bn:00157913n,bn:00307713n,bn:16888863n,bn:01806631n,bn:14395826n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:15732971n,bn:01687270n,bn:03592864n,bn:14274353n,bn:02078005n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:05629458n,bn:02910319n,bn:03009153n,bn:14422642n,bn:00310520n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00867740n,bn:00242600n,bn:01644843n,bn:02604607n,bn:14148934n;company;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00014137n)
bn:01591983n,bn:00565554n,bn:03738340n,bn:00865497n,bn:03387438n;company;5;true;true;0.216;0.06;0.05;0.01;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:02589593n,bn:03728523n,bn:17317933n,bn:14233401n,bn:01609432n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:08063898n,bn:02757778n,bn:00618699n,bn:08112862n,bn:03153380n;company;5;true;true;0.219;0.05;0.04;0.01;INSTANCE_OF(X, bn:00014137n)
bn:00675862n,bn:00519903n,bn:02351681n,bn:17428570n,bn:03149266n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:14353761n,bn:05391432n,bn:13830897n,bn:02325307n,bn:01757998n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00964544n,bn:08110201n,bn:15154371n,bn:00122012n,bn:03773230n;company;5;true;true;0.215;0.06;0.05;0.01;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00536204n,bn:01829068n,bn:14728598n,bn:17202527n,bn:07839893n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:01832471n,bn:02037656n,bn:01133701n,bn:00325022n,bn:00240496n;company;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03810496n,bn:01745795n,bn:02945236n,bn:00292180n,bn:15154371n;company;5;true;true;0.325;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00933916n,bn:02186547n,bn:01856336n,bn:02410474n,bn:00126195n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:00122907n,bn:07773841n,bn:02541049n,bn:00418408n,bn:02430041n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:01023000n,bn:16627325n,bn:02385811n,bn:01707303n,bn:02291790n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03181345n,bn:15079235n,bn:01915498n,bn:02810039n,bn:12394674n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01994333n,bn:01836808n,bn:00655850n,bn:01832070n,bn:00376985n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:00579706n,bn:01073765n,bn:00569448n,bn:15225591n,bn:00956305n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:02686690n,bn:03242592n,bn:03487442n,bn:03213883n,bn:09687033n;company;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:02955422n,bn:07746497n,bn:00714971n,bn:15392302n,bn:08180932n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01123062n,bn:01516080n,bn:03884969n,bn:02775764n,bn:03686603n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01741444n,bn:03322702n,bn:04273586n,bn:03414526n,bn:03842127n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03345110n,bn:03624221n,bn:02235905n,bn:02242512n,bn:02677885n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:03747456n,bn:00303775n,bn:07619732n,bn:00774613n,bn:00241167n;company;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
