UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:02978032n,bn:03392847n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n)
bn:14385399n,bn:01220064n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n)
bn:02545581n,bn:01272322n;dialect;2;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n)
bn:00898527n,bn:13268638n;dialect;2;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n)
bn:15930937n,bn:02278258n;dialect;2;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n)
bn:01040510n,bn:17382596n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n)
bn:01107797n,bn:04318205n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:01883565n), INSTANCE_OF(X, bn:00000640n)
bn:14606038n,bn:01995287n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:01468160n)
bn:14386248n,bn:00963206n;dialect;2;true;true;0.215;0.07;0.06;0.01;INSTANCE_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n), INSTANCE_OF(X, bn:05016180n), SUBCLASS_OF(X, bn:00056990n), INSTANCE_OF(X, bn:00000640n)
bn:03578965n,bn:15560213n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:05016180n)
bn:00946985n,bn:02859421n;dialect;2;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:01468160n)
bn:15170741n,bn:06751523n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:01883565n), INSTANCE_OF(X, bn:00000640n)
bn:12991226n,bn:01890670n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n)
bn:03882458n,bn:14329060n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:01521947n)
bn:12990857n,bn:00347272n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n)
bn:17249395n,bn:01177298n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n)
bn:00606733n,bn:00238729n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n), SUBCLASS_OF(X, bn:01468160n), INSTANCE_OF(X, bn:05016180n), SUBCLASS_OF(X, bn:00056990n), INSTANCE_OF(X, bn:00000640n)
bn:15245835n,bn:00051632n;dialect;2;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n), PART_OF(X, y_0)
bn:02670986n,bn:21706091n;dialect;2;true;true;0.213;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), INSTANCE_OF(X, bn:00049910n), SUBCLASS_OF(X, bn:00049910n)
bn:01640174n,bn:16547402n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:01883565n), INSTANCE_OF(X, bn:00000640n)
bn:02746194n,bn:03891688n;dialect;2;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n), INSTANCE_OF(X, bn:05016180n), INSTANCE_OF(X, bn:01883565n), SUBCLASS_OF(X, bn:00056990n), INSTANCE_OF(X, bn:00000640n)
bn:04827376n,bn:02545651n;dialect;2;true;true;0.216;0.06;0.06;0.0;INSTANCE_OF(X, bn:00000640n)
bn:12993181n,bn:01188947n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n)
bn:00003344n,bn:15063268n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n)
bn:02923551n,bn:01859256n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n), INSTANCE_OF(X, bn:05016180n), INSTANCE_OF(X, bn:01883565n), SUBCLASS_OF(X, bn:00056990n), INSTANCE_OF(X, bn:00000640n)
bn:03718451n,bn:13942187n;dialect;2;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n)
bn:03258717n,bn:02777791n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n)
bn:12990857n,bn:15589454n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00056990n), SUBCLASS_OF(X, bn:05016180n)
bn:02670986n,bn:15412365n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00049910n)
bn:02914706n,bn:12991447n;dialect;2;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00000640n)
