UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:17745772n,bn:08787922n,bn:15392019n,bn:00310667n,bn:02214644n,bn:02881224n;film;6;true;true;0.221;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), CAST_MEMBER(X, y_2)
bn:14584669n,bn:15778012n,bn:02793920n,bn:05415628n,bn:02467745n,bn:02181313n;film;6;true;true;0.22;0.05;0.04;0.01;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:17737553n,bn:02542796n,bn:21398974n,bn:14855477n,bn:15196888n,bn:00484992n;film;6;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:01447387n,bn:16594792n,bn:02850787n,bn:00496968n,bn:16610087n,bn:16561737n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:03497159n,bn:01868165n,bn:01535331n,bn:16029724n,bn:00945922n,bn:17711757n;film;6;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:02467344n,bn:01181263n,bn:05535313n,bn:01305055n,bn:00483289n,bn:02011243n;film;6;true;true;0.326;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n)
bn:03055746n,bn:00267807n,bn:15156191n,bn:02773233n,bn:15078584n,bn:07585963n;film;6;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:02345212n,bn:15027543n,bn:02791800n,bn:17640552n,bn:15456360n,bn:08271363n;film;6;true;true;0.214;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:01255326n,bn:17735884n,bn:01471586n,bn:01351324n,bn:02477256n,bn:01853785n;film;6;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:14653067n,bn:21140950n,bn:00525226n,bn:14856484n,bn:02635481n,bn:00272859n;film;6;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:02703189n,bn:16953626n,bn:01721120n,bn:01395978n,bn:17437776n,bn:01790655n;film;6;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), CAST_MEMBER(X, y_2)
bn:08204030n,bn:01227695n,bn:02886344n,bn:02649459n,bn:03956211n,bn:00442655n;film;6;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:00127502n,bn:03585262n,bn:17072646n,bn:01735385n,bn:04981435n,bn:00656169n;film;6;true;true;0.216;0.05;0.04;0.01;INSTANCE_OF(X, bn:00034471n)
bn:01410382n,bn:03171737n,bn:03143559n,bn:08907339n,bn:10483178n,bn:02688252n;film;6;true;true;0.219;0.06;0.05;0.01;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:02510431n,bn:16738116n,bn:02694345n,bn:16579789n,bn:15905235n,bn:14178150n;film;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), CAST_MEMBER(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:03897632n,bn:16030631n,bn:05187314n,bn:03365235n,bn:01835554n,bn:01316830n;film;6;true;true;0.223;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), DIRECTOR(X, y_2)
bn:13983944n,bn:00449048n,bn:21268174n,bn:02713135n,bn:02010990n,bn:14109313n;film;6;true;true;0.224;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:02763512n,bn:15069305n,bn:15032987n,bn:15026672n,bn:03352110n,bn:16276536n;film;6;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:17740481n,bn:00168249n,bn:17775501n,bn:03942721n,bn:01962514n,bn:03437214n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:17428117n,bn:02939796n,bn:02971700n,bn:02746948n,bn:00652545n,bn:03635173n;film;6;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), CAST_MEMBER(X, y_2)
bn:02105200n,bn:02412928n,bn:01030031n,bn:21595021n,bn:08968342n,bn:02805842n;film;6;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
