UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:02208090n,bn:01658793n,bn:02791411n,bn:00816753n,bn:02091638n,bn:01359537n;sculpture;6;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00032645n)
bn:08865128n,bn:02008367n,bn:00564945n,bn:02602119n,bn:02753501n,bn:00462067n;sculpture;6;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:17175797n)
bn:02406268n,bn:03596595n,bn:01404453n,bn:14285992n,bn:01083818n,bn:00185512n;sculpture;6;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00066026n), COUNTRY(X, y_0)
bn:00915276n,bn:03717514n,bn:07298894n,bn:01087500n,bn:01476044n,bn:02969013n;sculpture;6;true;true;0.216;0.06;0.06;0.0;INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:14421293n)
bn:03714780n,bn:02551419n,bn:17701581n,bn:01426515n,bn:04290224n,bn:03576282n;sculpture;6;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:14421293n), COUNTRY(X, y_0)
bn:00915027n,bn:02432917n,bn:17202071n,bn:14559653n,bn:01096510n,bn:04311451n;sculpture;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:03830506n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00066995n)
bn:06129841n,bn:02683344n,bn:00953095n,bn:00516947n,bn:02770463n,bn:16794428n;sculpture;6;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:17175797n), COUNTRY(X, y_0)
bn:16921756n,bn:00688911n,bn:01037606n,bn:02611043n,bn:01454890n,bn:07302902n;sculpture;6;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00074033n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:00975793n), INSTANCE_OF(X, bn:03830506n), INSTANCE_OF(X, bn:00076732n), INSTANCE_OF(X, bn:00066995n)
bn:01439306n,bn:03312666n,bn:02999891n,bn:07309833n,bn:02228696n,bn:16055634n;sculpture;6;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:00046038n)
bn:02403576n,bn:02118308n,bn:07874058n,bn:13087487n,bn:15573236n,bn:07309168n;sculpture;6;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:14421293n)
bn:17910465n,bn:01032053n,bn:07299517n,bn:02771629n,bn:02027383n,bn:08148553n;sculpture;6;true;true;0.224;0.05;0.05;0.0;INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:14421293n)
bn:03759653n,bn:19826630n,bn:14687556n,bn:01040169n,bn:07592478n,bn:02432508n;sculpture;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:17175797n), COUNTRY(X, y_0)
bn:00920155n,bn:01499846n,bn:15134366n,bn:02228967n,bn:02978739n,bn:14975415n;sculpture;6;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:14421293n), COUNTRY(X, y_0)
bn:02931855n,bn:06527441n,bn:03050806n,bn:14458757n,bn:02440677n,bn:01463625n;sculpture;6;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:14421293n), COUNTRY(X, y_0)
bn:01369483n,bn:11955452n,bn:02541742n,bn:01534414n,bn:03716523n,bn:14408920n;sculpture;6;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00074033n), INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00074049n), INSTANCE_OF(X, bn:00975793n), INSTANCE_OF(X, bn:00062167n), INSTANCE_OF(X, bn:00076732n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00066995n)
bn:17676581n,bn:16952718n,bn:02948522n,bn:17470676n,bn:02371059n,bn:02863986n;sculpture;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:03010825n,bn:02051685n,bn:00767764n,bn:15670017n,bn:07653359n,bn:07832599n;sculpture;6;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:03830506n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00066995n), COUNTRY(X, y_0)
bn:01317193n,bn:13882825n,bn:12364529n,bn:18093147n,bn:02772199n,bn:03258484n;sculpture;6;true;true;0.216;0.05;0.04;0.01;INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00074033n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:00975793n), INSTANCE_OF(X, bn:00021547n), INSTANCE_OF(X, bn:00076732n), INSTANCE_OF(X, bn:00066995n), COUNTRY(X, y_0)
bn:02166208n,bn:14872723n,bn:15971576n,bn:14068492n,bn:01784805n,bn:07299552n;sculpture;6;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:14421293n)
