UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:02393698n,bn:03883284n,bn:00614002n,bn:03340009n,bn:01313052n;vehicle;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01585224n,bn:00524407n,bn:00515617n,bn:11700282n,bn:00955230n;vehicle;5;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00462485n,bn:02149811n,bn:00444792n,bn:03425590n,bn:01956790n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079675n)
bn:03165635n,bn:00130138n,bn:03278828n,bn:03521406n,bn:03886158n;vehicle;5;true;true;0.218;0.05;0.04;0.01;INSTANCE_OF(X, bn:00023497n)
bn:03734098n,bn:00456869n,bn:14354467n,bn:06430152n,bn:03297855n;vehicle;5;true;true;0.22;0.04;0.04;0.0;INSTANCE_OF(X, bn:00079675n)
bn:03638950n,bn:01006046n,bn:02807879n,bn:01876185n,bn:01456133n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00492706n,bn:01836219n,bn:01447429n,bn:01330880n,bn:14519045n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00611887n,bn:01032490n,bn:03757004n,bn:16653809n,bn:17052255n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00023497n)
bn:00292395n,bn:02674466n,bn:00613835n,bn:03634708n,bn:15414498n;vehicle;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:02434512n,bn:02665583n,bn:01096970n,bn:03468141n,bn:01797412n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00071103n)
bn:10841892n,bn:06356708n,bn:01741048n,bn:14070227n,bn:00342970n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00023497n)
bn:00610555n,bn:00531684n,bn:06372008n,bn:01407116n,bn:03854020n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01398723n,bn:00301683n,bn:00462533n,bn:03170290n,bn:01216525n;vehicle;5;true;true;0.214;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:03136805n,bn:00445944n,bn:00315279n,bn:00225968n,bn:01123004n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00328544n,bn:17433950n,bn:02843326n,bn:03747634n,bn:00525161n;vehicle;5;true;true;0.327;0.06;0.06;0.0;INSTANCE_OF(X, bn:00079675n)
bn:04945119n,bn:01437802n,bn:03112622n,bn:00581333n,bn:00711951n;vehicle;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00079675n)
bn:03261047n,bn:03251689n,bn:14094614n,bn:14091901n,bn:16435302n;vehicle;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01891761n,bn:02629099n,bn:02130995n,bn:00008596n,bn:03681000n;vehicle;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:03866960n,bn:00903252n,bn:06348246n,bn:01046976n,bn:01146932n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00023497n)
bn:16999684n,bn:01211154n,bn:00263520n,bn:01226440n,bn:02977263n;vehicle;5;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:15380030n,bn:00577413n,bn:15543302n,bn:01408491n,bn:02018351n;vehicle;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:02820409n,bn:01829799n,bn:01378823n,bn:02969066n,bn:03269124n;vehicle;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01362204n,bn:01037052n,bn:03356008n,bn:01544129n,bn:03567209n;vehicle;5;true;true;0.221;0.04;0.04;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01996698n,bn:00610567n,bn:01598981n,bn:16442653n,bn:03227274n;vehicle;5;true;true;0.221;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079862n)
bn:03237700n,bn:05533955n,bn:01205365n,bn:17635393n,bn:01349101n;vehicle;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00466720n,bn:00496105n,bn:00451550n,bn:00237115n,bn:00262382n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00023497n)
bn:00434184n,bn:01994169n,bn:01650059n,bn:17757756n,bn:02469011n;vehicle;5;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00023497n)
bn:01137720n,bn:01233672n,bn:03637795n,bn:03567209n,bn:01534395n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00023497n)
bn:11589726n,bn:02445853n,bn:03836729n,bn:00944558n,bn:03670680n;vehicle;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00576095n,bn:05443845n,bn:00966685n,bn:03854153n,bn:02596736n;vehicle;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01603891n,bn:14383257n,bn:00357954n,bn:16829541n,bn:03348376n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00351273n,bn:03719119n,bn:03818321n,bn:04098268n,bn:08923171n;vehicle;5;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:16915548n,bn:03929711n,bn:03150203n,bn:03004288n,bn:00141293n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:17124432n,bn:01616750n,bn:00952038n,bn:02580158n,bn:02349573n;vehicle;5;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:07182466n,bn:03804085n,bn:01988159n,bn:00330814n,bn:03319622n;vehicle;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:03470829n,bn:00956899n,bn:00343374n,bn:15208188n,bn:14084738n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00071103n)
bn:03685216n,bn:03510631n,bn:16020534n,bn:03489102n,bn:15913546n;vehicle;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00642332n,bn:00723288n,bn:02977283n,bn:03864264n,bn:06336456n;vehicle;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01234771n,bn:02398141n,bn:01788307n,bn:01865340n,bn:02504657n;vehicle;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00023497n)
bn:02325231n,bn:01993230n,bn:06388960n,bn:00531600n,bn:17177680n;vehicle;5;true;true;0.221;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00817893n,bn:03294633n,bn:00318029n,bn:12537821n,bn:02837098n;vehicle;5;true;true;0.221;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01982619n,bn:04771271n,bn:01420387n,bn:16954816n,bn:18204035n;vehicle;5;true;true;0.221;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:03023636n,bn:01233290n,bn:14670377n,bn:03796801n,bn:03881358n;vehicle;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:04095995n,bn:03825187n,bn:03892021n,bn:00168623n,bn:02122449n;vehicle;5;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079675n)
bn:16000014n,bn:02446511n,bn:14572065n,bn:00585856n,bn:03832136n;vehicle;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01101939n,bn:01734910n,bn:01121737n,bn:02475649n,bn:15630168n;vehicle;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00023497n)
bn:13984160n,bn:03111951n,bn:03775272n,bn:03745604n,bn:02652916n;vehicle;5;true;true;0.215;0.06;0.05;0.01;INSTANCE_OF(X, bn:00079675n)
bn:00499215n,bn:17554545n,bn:00184449n,bn:00973430n,bn:10688709n;vehicle;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00023497n)
bn:03879204n,bn:00384327n,bn:00943185n,bn:13813105n,bn:01759937n;vehicle;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01696340n,bn:02702394n,bn:01265500n,bn:17541204n,bn:03678931n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079675n)
bn:17206234n,bn:00578574n,bn:13890771n,bn:00647962n,bn:02424218n;vehicle;5;true;true;0.222;0.04;0.04;0.0;INSTANCE_OF(X, bn:00079675n)
bn:04107923n,bn:01439185n,bn:08887330n,bn:02211194n,bn:01650076n;vehicle;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00023497n)
bn:02447562n,bn:01808954n,bn:02186664n,bn:13960796n,bn:00864724n;vehicle;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:03319554n,bn:03627724n,bn:01312909n,bn:03564015n,bn:01079389n;vehicle;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00133624n,bn:06368599n,bn:01091071n,bn:02592825n,bn:01761071n;vehicle;5;true;true;0.219;0.05;0.04;0.01;INSTANCE_OF(X, bn:00023497n)
bn:02372021n,bn:00448605n,bn:03022961n,bn:01232232n,bn:03805489n;vehicle;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01346913n,bn:06269301n,bn:02789921n,bn:02542603n,bn:02009097n;vehicle;5;true;true;0.222;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:02781424n,bn:02086657n,bn:00417155n,bn:01150165n,bn:03116185n;vehicle;5;true;true;0.216;0.06;0.05;0.01;INSTANCE_OF(X, bn:00079675n)
bn:02039124n,bn:01358048n,bn:00926569n,bn:01548569n,bn:00169225n;vehicle;5;true;true;0.217;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079675n)
bn:00284172n,bn:01682563n,bn:15935713n,bn:00608052n,bn:02338028n;vehicle;5;true;true;0.222;0.05;0.04;0.01;INSTANCE_OF(X, bn:00079675n)
bn:14658607n,bn:14680806n,bn:15995508n,bn:01410537n,bn:00568760n;vehicle;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:00079675n), INSTANCE_OF(X, bn:15125301n)
bn:00325538n,bn:02449625n,bn:03128518n,bn:01030591n,bn:01181999n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01535398n,bn:17577406n,bn:16155199n,bn:00457642n,bn:00343238n;vehicle;5;true;true;0.224;0.06;0.05;0.01;INSTANCE_OF(X, bn:00071103n)
bn:14131094n,bn:01575252n,bn:01511125n,bn:03310986n,bn:01234203n;vehicle;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00023497n)
bn:03536674n,bn:02228004n,bn:16378056n,bn:02123493n,bn:02600592n;vehicle;5;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01187758n,bn:03770600n,bn:00971198n,bn:16932247n,bn:01986347n;vehicle;5;true;true;0.219;0.05;0.04;0.01;INSTANCE_OF(X, bn:00079675n)
bn:03131819n,bn:14156981n,bn:17049254n,bn:03680023n,bn:02398900n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00023497n)
bn:03530272n,bn:01002791n,bn:00494729n,bn:00614839n,bn:01118136n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00023497n)
bn:01638690n,bn:02326350n,bn:02050081n,bn:01848189n,bn:03833528n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079862n)
bn:01303623n,bn:01258637n,bn:06336644n,bn:01871873n,bn:03730046n;vehicle;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00079675n)
bn:01935834n,bn:03885588n,bn:01637113n,bn:03986408n,bn:00704563n;vehicle;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00079675n)
bn:02844594n,bn:06270440n,bn:17032449n,bn:02341397n,bn:01198502n;vehicle;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00079675n)
