UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:00937225n,bn:00564260n,bn:14031513n,bn:00647758n,bn:02617790n;video_game;5;true;true;0.216;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:00784406n,bn:02094496n,bn:16894865n,bn:03822026n,bn:00327271n;video_game;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:14896481n,bn:02858492n,bn:03214791n,bn:15919897n,bn:03596434n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:02200178n,bn:01608683n,bn:02364459n,bn:02176428n,bn:01157910n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:01412439n,bn:00837536n,bn:02811721n,bn:02449224n,bn:01389722n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2)
bn:01267781n,bn:03499678n,bn:02624458n,bn:01129169n,bn:01537770n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), DEVELOPER(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2)
bn:11444436n,bn:01156068n,bn:01539477n,bn:15109625n,bn:01592589n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:17790336n,bn:02074494n,bn:03643057n,bn:01530567n,bn:03708548n;video_game;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n)
bn:03027203n,bn:03758792n,bn:03294478n,bn:01971957n,bn:03595739n;video_game;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n), DEVELOPER(X, y_0), PUBLISHER(X, y_1), PLATFORM(X, y_2), GENRE(X, y_3)
bn:03379664n,bn:01668213n,bn:14881692n,bn:17483750n,bn:02147507n;video_game;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:15755897n,bn:01675213n,bn:02728757n,bn:02956173n,bn:14450143n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:14985659n,bn:03581195n,bn:00557726n,bn:03098877n,bn:21326876n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:03049765n,bn:00416025n,bn:01351121n,bn:00850513n,bn:03255621n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:17173096n,bn:03523599n,bn:03357795n,bn:01188665n,bn:02529841n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:03314174n,bn:01353755n,bn:00273479n,bn:03421929n,bn:02902511n;video_game;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:03181068n,bn:17227449n,bn:03273616n,bn:03386235n,bn:01616710n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:03547490n,bn:02577275n,bn:00638890n,bn:01211152n,bn:00258940n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:01200058n,bn:14565263n,bn:01944205n,bn:17173934n,bn:03498300n;video_game;5;true;true;0.216;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0)
bn:00708731n,bn:00951268n,bn:16650346n,bn:02258460n,bn:02557570n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:01969896n,bn:03439758n,bn:03316044n,bn:03498858n,bn:07815710n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:03738967n,bn:16407511n,bn:04757169n,bn:00416045n,bn:04695998n;video_game;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021477n)
bn:01578287n,bn:03505567n,bn:13810355n,bn:00492458n,bn:02384737n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:15499038n,bn:16446130n,bn:02926700n,bn:00735098n,bn:02175160n;video_game;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n)
bn:15231682n,bn:01786235n,bn:01371882n,bn:02012266n,bn:02616017n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:02215751n,bn:02293265n,bn:02430305n,bn:01739061n,bn:14962040n;video_game;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), DEVELOPER(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2)
bn:15565184n,bn:01401242n,bn:17680598n,bn:02251657n,bn:02204237n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:00483405n,bn:01823198n,bn:01336168n,bn:17622970n,bn:04585752n;video_game;5;true;true;0.216;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021477n)
bn:03684723n,bn:01415718n,bn:01290204n,bn:14560129n,bn:00770634n;video_game;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021477n)
bn:03548072n,bn:03874438n,bn:00929910n,bn:00926529n,bn:03251842n;video_game;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:04728559n,bn:16933892n,bn:03306260n,bn:01672735n,bn:03261856n;video_game;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:02471884n,bn:03338630n,bn:02470997n,bn:15864015n,bn:17571959n;video_game;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0)
bn:01066238n,bn:01431267n,bn:01811432n,bn:17220903n,bn:17002057n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:17187545n,bn:02504172n,bn:14118961n,bn:01692017n,bn:16641761n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:17562109n,bn:03427856n,bn:01828877n,bn:09676136n,bn:15006359n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:03676468n,bn:00607923n,bn:16437657n,bn:15467081n,bn:02528075n;video_game;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:03478395n,bn:01883190n,bn:16548267n,bn:02950046n,bn:01953990n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PUBLISHER(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2)
bn:02764032n,bn:14127008n,bn:03095891n,bn:15126250n,bn:03754429n;video_game;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:01021115n,bn:01726768n,bn:15959226n,bn:01834021n,bn:01242232n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0)
bn:00258633n,bn:03495218n,bn:00467830n,bn:02827104n,bn:02615187n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:03569474n,bn:02537026n,bn:00973927n,bn:02066071n,bn:17457004n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:00537136n,bn:00398428n,bn:02221790n,bn:03315294n,bn:03344486n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), DISTRIBUTION(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2)
bn:01955888n,bn:01477788n,bn:17487358n,bn:17525173n,bn:03198314n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GENRE(X, y_0)
bn:13838560n,bn:17123817n,bn:00366734n,bn:01706008n,bn:02583825n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:01348965n,bn:02452772n,bn:03561619n,bn:03585800n,bn:02385688n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), DEVELOPER(X, y_0), PUBLISHER(X, y_1), PLATFORM(X, y_2)
bn:03813288n,bn:03472915n,bn:00416693n,bn:03388071n,bn:00652096n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:00755254n,bn:02458023n,bn:00408393n,bn:01519593n,bn:01893320n;video_game;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:17632985n,bn:04114314n,bn:00233535n,bn:03191470n,bn:03845871n;video_game;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:14414946n,bn:02133542n,bn:17613840n,bn:03139095n,bn:03111135n;video_game;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n)
bn:01757255n,bn:02413045n,bn:01910787n,bn:01055672n,bn:15316095n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:02608422n,bn:17524952n,bn:03356298n,bn:02389490n,bn:00149017n;video_game;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n), PUBLISHER(X, y_0)
bn:00927022n,bn:01653993n,bn:01784188n,bn:03363867n,bn:02019418n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:17071599n,bn:01512120n,bn:03509943n,bn:17484826n,bn:01323085n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:00415371n,bn:00507695n,bn:00699057n,bn:01747488n,bn:01830945n;video_game;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021477n), PUBLISHER(X, y_0), PLATFORM(X, y_1), GENRE(X, y_2)
bn:02788362n,bn:03344295n,bn:16898701n,bn:01162550n,bn:00946077n;video_game;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0), GENRE(X, y_1)
bn:02470471n,bn:17720091n,bn:00270845n,bn:00816715n,bn:00238369n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), DEVELOPER(X, y_0), PUBLISHER(X, y_1), GENRE(X, y_2)
bn:01966308n,bn:01222644n,bn:01076371n,bn:03425775n,bn:02312304n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n)
bn:02090161n,bn:16933892n,bn:00393978n,bn:03450618n,bn:01920441n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:03305769n,bn:02194977n,bn:00686543n,bn:00265225n,bn:02691286n;video_game;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), GAME_MODE(X, bn:03278131n), GENRE(X, y_0)
bn:14978416n,bn:14670111n,bn:10932675n,bn:01027522n,bn:03105966n;video_game;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
bn:03786252n,bn:17444703n,bn:03806040n,bn:01349240n,bn:17133831n;video_game;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021477n), PLATFORM(X, y_0)
