UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:03286032n,bn:02281947n,bn:10709840n,bn:00300842n;actor;4;true;true;0.783;4[o     0.655] INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), GIVEN_NAME(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), PLACE_OF_BIRTH(X, y_2)
bn:05497132n,bn:04136411n,bn:05260303n,bn:02234967n;actor;4;true;true;0.775;4[o     0.667] INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:05131068n,bn:05285299n,bn:03631321n,bn:04866449n;actor;4;true;true;0.775;4[o     0.665] INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:03931744n,bn:02156428n,bn:03691687n,bn:03811592n;actor;4;true;true;0.773;4[o     0.666] OCCUPATION(X, bn:00001176n), INSTANCE_OF(X, bn:00001176n), GIVEN_NAME(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:00503696n,bn:01363898n,bn:02872987n,bn:16938067n;actor;4;true;true;0.774;4[o     0.672] INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), OCCUPATION(X, y_1)
bn:00705822n,bn:01965649n,bn:05146082n,bn:04927611n;actor;4;true;true;0.776;4[o     0.666] INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:05002481n,bn:02619971n,bn:00260049n,bn:06779343n;actor;4;true;true;0.778;4[o     0.667] OCCUPATION(X, bn:00001176n), INSTANCE_OF(X, bn:00001176n)
bn:02708878n,bn:03088707n,bn:01404650n,bn:01816910n;actor;4;true;true;0.775;4[o     0.660] INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), PLACE_OF_BIRTH(X, y_1)
bn:15503126n,bn:05510646n,bn:01197198n,bn:02164063n;actor;4;true;true;0.774;4[o     0.693] INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), PLACE_OF_BIRTH(X, y_1), GIVEN_NAME(X, y_2)
bn:01365881n,bn:05224185n,bn:03739770n,bn:03027528n;actor;4;true;true;0.774;4[o     0.671] INSTANCE_OF(X, bn:00001176n), PLACE_OF_BIRTH(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), INSTANCE_OF(X, y_2), OCCUPATION(X, y_2)
bn:00893754n,bn:02641950n,bn:02078393n,bn:02769448n;actor;4;true;true;0.775;4[o     0.668] INSTANCE_OF(X, bn:00001176n)
bn:16295628n,bn:01674489n,bn:01020473n,bn:03651731n;actor;4;true;true;0.776;4[o     0.660] INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), PLACE_OF_BIRTH(X, y_1), OCCUPATION(X, y_2)
bn:00023398n,bn:00442454n,bn:03478854n,bn:03725912n;actor;4;true;true;0.774;4[o     0.680] INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:00119251n,bn:01648078n,bn:03051677n,bn:00943225n;actor;4;true;true;0.779;4[o     0.666] INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), PLACE_OF_BIRTH(X, y_1)
bn:14730740n,bn:00797694n,bn:04268801n,bn:01669377n;actor;4;true;true;0.771;4[o     0.678] OCCUPATION(X, bn:00001176n), INSTANCE_OF(X, bn:00001176n), GIVEN_NAME(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), PLACE_OF_BIRTH(X, y_2)
bn:03337096n,bn:04939268n,bn:02045999n,bn:02020566n;actor;4;true;true;0.773;4[o     0.671] OCCUPATION(X, bn:00001176n), INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), PLACE_OF_BIRTH(X, y_1)
bn:02529559n,bn:01493858n,bn:01698620n,bn:00497358n;actor;4;true;true;0.778;4[o     0.657] INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), INSTANCE_OF(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1), PLACE_OF_BIRTH(X, y_2)
bn:04813276n,bn:02976668n,bn:03264926n,bn:16081339n;actor;4;true;true;0.772;4[o     0.681] INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), GIVEN_NAME(X, y_1), OCCUPATION(X, y_2)
