UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:13871629n,bn:02251205n,bn:03136608n,bn:00175684n,bn:01779853n,bn:02852584n;amusement_park;6;true;true;0.664;6[o     0.510] INSTANCE_OF(X, bn:00003695n)
bn:02389638n,bn:01633772n,bn:17527837n,bn:16741380n,bn:14791173n,bn:08129097n;amusement_park;6;true;true;0.664;6[o     0.514] INSTANCE_OF(X, bn:00003695n)
bn:00919434n,bn:03212210n,bn:01278444n,bn:02490169n,bn:16576158n,bn:10147655n;amusement_park;6;true;true;0.664;6[o     0.513] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03684672n,bn:03235124n,bn:14680226n,bn:02487901n,bn:00714659n,bn:02002965n;amusement_park;6;true;true;0.665;6[o     0.512] INSTANCE_OF(X, bn:00003695n)
bn:08082568n,bn:01273394n,bn:02211796n,bn:14280986n,bn:16481488n,bn:16575121n;amusement_park;6;true;true;0.664;6[o     0.530] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02402803n,bn:03953198n,bn:14450625n,bn:08343579n,bn:01007708n,bn:01036757n;amusement_park;6;true;true;0.665;6[o     0.497] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00732373n,bn:04108846n,bn:02352690n,bn:02211796n,bn:14034458n,bn:16828121n;amusement_park;6;true;true;0.665;6[o     0.519] INSTANCE_OF(X, bn:00003695n)
bn:03013288n,bn:03843014n,bn:14450625n,bn:00175684n,bn:02810854n,bn:01711175n;amusement_park;6;true;true;0.666;6[o     0.499] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01306473n,bn:14339042n,bn:03781892n,bn:01706375n,bn:15062038n,bn:03423724n;amusement_park;6;true;true;0.665;6[o     0.497] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03272265n,bn:02738832n,bn:00768338n,bn:02736627n,bn:16923351n,bn:01861917n;amusement_park;6;true;true;0.664;6[o     0.549] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:03413551n,bn:00639385n,bn:02105251n,bn:00744466n,bn:01861917n,bn:02509459n;amusement_park;6;true;true;0.662;6[o     0.512] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02020428n,bn:00455778n,bn:00120990n,bn:03582775n,bn:14665893n,bn:02875142n;amusement_park;6;true;true;0.665;6[o     0.545] INSTANCE_OF(X, bn:00003695n)
bn:03438545n,bn:03493957n,bn:00130967n,bn:03423724n,bn:02875142n,bn:01845449n;amusement_park;6;true;true;0.661;6[o     0.500] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01298291n,bn:02311596n,bn:17527837n,bn:01466502n,bn:03887645n,bn:01487451n;amusement_park;6;true;true;0.66;6[o     0.497] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:16600369n,bn:00908060n,bn:06766868n,bn:03486823n,bn:03446933n,bn:02490169n;amusement_park;6;true;true;0.661;6[o     0.517] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01139384n,bn:01813249n,bn:00136383n,bn:01417697n,bn:02477194n,bn:00207818n;amusement_park;6;true;true;0.664;6[o     0.504] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00164564n,bn:01627366n,bn:14558398n,bn:02217473n,bn:03393930n,bn:02948029n;amusement_park;6;true;true;0.665;6[o     0.500] INSTANCE_OF(X, bn:00003695n)
bn:01296206n,bn:02240476n,bn:00306072n,bn:12333708n,bn:03275213n,bn:13928606n;amusement_park;6;true;true;0.665;6[o     0.501] INSTANCE_OF(X, bn:00003695n)
bn:03793014n,bn:03235124n,bn:02487901n,bn:00662822n,bn:03411292n,bn:03290422n;amusement_park;6;true;true;0.667;6[o     0.512] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00164564n,bn:02635731n,bn:01097638n,bn:02736627n,bn:02481035n,bn:02747262n;amusement_park;6;true;true;0.669;6[o     0.505] INSTANCE_OF(X, bn:00003695n)
bn:06766868n,bn:02933575n,bn:13972822n,bn:02438051n,bn:03654242n,bn:02932957n;amusement_park;6;true;true;0.666;6[o     0.507] INSTANCE_OF(X, bn:00003695n)
bn:06537186n,bn:02388529n,bn:03338744n,bn:00944213n,bn:06764382n,bn:02366608n;amusement_park;6;true;true;0.665;6[o     0.505] INSTANCE_OF(X, bn:00003695n)
bn:16813302n,bn:03614366n,bn:03085743n,bn:15941428n,bn:00642527n,bn:03453775n;amusement_park;6;true;true;0.662;6[o     0.529] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:00980897n,bn:09785923n,bn:14450625n,bn:00935956n,bn:14465260n,bn:00450250n;amusement_park;6;true;true;0.664;6[o     0.495] INSTANCE_OF(X, bn:00003695n)
bn:15497492n,bn:16034704n,bn:02635731n,bn:01257449n,bn:03493957n,bn:01211492n;amusement_park;6;true;true;0.663;6[o     0.526] INSTANCE_OF(X, bn:00003695n)
bn:01706358n,bn:02826170n,bn:00141743n,bn:03675695n,bn:02932957n,bn:02730586n;amusement_park;6;true;true;0.662;6[o     0.517] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:02402803n,bn:03406513n,bn:00747214n,bn:00907450n,bn:02736627n,bn:01702853n;amusement_park;6;true;true;0.655;6[o     0.496] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:14339042n,bn:00880773n,bn:00520556n,bn:03041487n,bn:03699362n,bn:02018703n;amusement_park;6;true;true;0.665;6[o     0.522] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
bn:01989830n,bn:01712659n,bn:00255653n,bn:03738293n,bn:00318490n,bn:02738059n;amusement_park;6;true;true;0.655;6[o     0.517] INSTANCE_OF(X, bn:00003695n), COUNTRY(X, y_0)
