UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01349176n,bn:03640137n,bn:03061516n,bn:17475469n;band;4;true;true;0.668;4[o     0.522] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:15986928n,bn:13269341n,bn:03749394n,bn:03705624n;band;4;true;true;0.659;4[o     0.517] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00865998n,bn:07944580n,bn:03689840n,bn:01128040n;band;4;true;true;0.663;4[o     0.516] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:09672810n,bn:03276071n,bn:14332583n,bn:03350332n;band;4;true;true;0.668;4[o     0.503] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:00357683n,bn:01617044n,bn:02473057n,bn:00851443n;band;4;true;true;0.669;4[o     0.494] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:03088351n,bn:00267649n,bn:12361939n,bn:01961438n;band;4;true;true;0.673;4[o     0.512] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:17338593n,bn:02435026n,bn:15767369n,bn:00560202n;band;4;true;true;0.665;4[o     0.504] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:03715690n,bn:01836858n,bn:16735448n,bn:00741032n;band;4;true;true;0.668;4[o     0.501] INSTANCE_OF(X, bn:00008280n)
bn:03666831n,bn:00765658n,bn:13831901n,bn:02801815n;band;4;true;true;0.665;4[o     0.501] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:04235437n,bn:17194043n,bn:01475329n,bn:09083999n;band;4;true;true;0.668;4[o     0.511] INSTANCE_OF(X, bn:00008280n)
bn:01567692n,bn:09199577n,bn:02667198n,bn:02407537n;band;4;true;true;0.667;4[o     0.498] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:01326897n,bn:03796821n,bn:01935100n,bn:03277941n;band;4;true;true;0.668;4[o     0.504] INSTANCE_OF(X, bn:00008280n)
bn:00128392n,bn:02167858n,bn:16235373n,bn:16909447n;band;4;true;true;0.67;4[o     0.508] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:14956861n,bn:01841887n,bn:00500326n,bn:03180714n;band;4;true;true;0.671;4[o     0.519] INSTANCE_OF(X, bn:00008280n)
bn:00139047n,bn:00887661n,bn:03286087n,bn:00390316n;band;4;true;true;0.684;4[o     0.506] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02821543n,bn:02312341n,bn:03166701n,bn:01786757n;band;4;true;true;0.669;4[o     0.519] INSTANCE_OF(X, bn:00008280n)
bn:05124248n,bn:03039116n,bn:01381814n,bn:00073853n;band;4;true;true;0.666;4[o     0.517] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:02503453n,bn:02548528n,bn:02222239n,bn:16162875n;band;4;true;true;0.667;4[o     0.498] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02488937n,bn:01080336n,bn:02722043n,bn:14744443n;band;4;true;true;0.66;4[o     0.504] INSTANCE_OF(X, bn:00008280n)
bn:03829429n,bn:06495680n,bn:03233165n,bn:01660359n;band;4;true;true;0.659;4[o     0.513] INSTANCE_OF(X, bn:00008280n)
bn:00200406n,bn:14658951n,bn:02674322n,bn:01549243n;band;4;true;true;0.662;4[o     0.501] INSTANCE_OF(X, bn:00008280n)
bn:02548340n,bn:03397297n,bn:00933241n,bn:03696946n;band;4;true;true;0.66;4[o     0.586] INSTANCE_OF(X, bn:00008280n)
bn:18265064n,bn:07476883n,bn:02917811n,bn:02862213n;band;4;true;true;0.657;4[o     0.498] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:00383379n,bn:16176679n,bn:03281211n,bn:09066595n;band;4;true;true;0.668;4[o     0.509] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01210927n,bn:02032401n,bn:03791221n,bn:03736306n;band;4;true;true;0.552;4[o     0.474] INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01793818n,bn:00249751n,bn:00918734n,bn:03480637n;band;4;true;true;0.669;4[o     0.503] INSTANCE_OF(X, bn:00068051n), INSTANCE_OF(X, bn:00008280n)
bn:17204229n,bn:16517275n,bn:01501080n,bn:00135078n;band;4;true;true;0.667;4[o     0.509] INSTANCE_OF(X, bn:00008280n), GENRE(X, y_0)
