UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01107662n,bn:15051286n,bn:02445255n,bn:01391634n,bn:03645257n;championship;5;true;true;0.666;5[o     0.549] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:17228419n,bn:01968148n,bn:02074549n,bn:00756069n,bn:16922081n;championship;5;true;true;0.663;5[o     0.590] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:15809756n,bn:17063761n,bn:01005559n,bn:16008090n,bn:17312612n;championship;5;true;true;0.773;5[o     0.619] INSTANCE_OF(X, bn:00017615n)
bn:00950397n,bn:01033376n,bn:15316721n,bn:01867166n,bn:16936361n;championship;5;true;true;0.777;5[o     0.604] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01401000n,bn:14474322n,bn:01041791n,bn:13935277n,bn:15030352n;championship;5;true;true;0.67;5[o     0.536] INSTANCE_OF(X, bn:00017615n)
bn:02814323n,bn:00256757n,bn:00950348n,bn:00835069n,bn:16011857n;championship;5;true;true;0.663;5[o     0.548] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:16017947n,bn:09022417n,bn:02048187n,bn:17829662n,bn:01715886n;championship;5;true;true;0.769;5[o     0.606] INSTANCE_OF(X, bn:00017615n)
bn:03563663n,bn:15102828n,bn:17880986n,bn:00716413n,bn:02700903n;championship;5;true;true;0.663;5[o     0.526] INSTANCE_OF(X, bn:00017615n)
bn:01036856n,bn:00270424n,bn:03195690n,bn:17251752n,bn:13832500n;championship;5;true;true;0.768;5[o     0.620] INSTANCE_OF(X, bn:00017615n)
bn:01008996n,bn:02784834n,bn:04739413n,bn:15828093n,bn:16677483n;championship;5;true;true;0.78;5[o     0.624] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01136096n,bn:16264984n,bn:17052081n,bn:17229393n,bn:02070930n;championship;5;true;true;0.775;5[o     0.614] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:13907763n,bn:03851781n,bn:14486874n,bn:17219852n,bn:02072723n;championship;5;true;true;0.782;5[o     0.646] INSTANCE_OF(X, bn:00017615n)
bn:02385674n,bn:00218481n,bn:16026149n,bn:14683587n,bn:02702796n;championship;5;true;true;0.779;5[o     0.609] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:17251763n,bn:15133638n,bn:03044116n,bn:02809325n,bn:02784798n;championship;5;true;true;0.666;5[o     0.509] INSTANCE_OF(X, bn:00017615n)
bn:14626198n,bn:02821749n,bn:17079142n,bn:01045478n,bn:04297420n;championship;5;true;true;0.667;5[o     0.523] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:06790288n,bn:15838609n,bn:09022424n,bn:15316549n,bn:14370030n;championship;5;true;true;0.663;5[o     0.517] INSTANCE_OF(X, bn:00017615n)
bn:01309501n,bn:11223711n,bn:14232302n,bn:16672980n,bn:16142190n;championship;5;true;true;0.789;5[o     0.612] INSTANCE_OF(X, bn:00017615n)
bn:02028916n,bn:13990263n,bn:00995733n,bn:01079242n,bn:03631199n;championship;5;true;true;0.778;5[o     0.617] INSTANCE_OF(X, bn:00017615n)
bn:02460609n,bn:01819766n,bn:14373586n,bn:15495031n,bn:00537499n;championship;5;true;true;0.675;5[o     0.506] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:14872948n,bn:06790477n,bn:01107601n,bn:16020611n,bn:02338154n;championship;5;true;true;0.777;5[o     0.615] INSTANCE_OF(X, bn:00017615n)
bn:16023832n,bn:04739418n,bn:15102828n,bn:17232416n,bn:02850752n;championship;5;true;true;0.78;5[o     0.616] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:02983689n,bn:14126449n,bn:13892432n,bn:03116827n,bn:00806174n;championship;5;true;true;0.778;5[o     0.598] INSTANCE_OF(X, bn:00017615n)
bn:15703214n,bn:17044348n,bn:01447951n,bn:03472347n,bn:01081602n;championship;5;true;true;0.667;5[o     0.511] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:02075978n,bn:01053940n,bn:04013146n,bn:02946164n,bn:14593198n;championship;5;true;true;0.667;5[o     0.521] INSTANCE_OF(X, bn:00017615n)
bn:01018413n,bn:16119344n,bn:15621729n,bn:14725138n,bn:16106619n;championship;5;true;true;0.78;5[o     0.600] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:02321835n,bn:04762868n,bn:02232430n,bn:16480283n,bn:03401101n;championship;5;true;true;0.667;5[o     0.527] INSTANCE_OF(X, bn:00017615n)
bn:01003905n,bn:16407525n,bn:15346137n,bn:03372742n,bn:04109627n;championship;5;true;true;0.667;5[o     0.503] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:00703033n,bn:04807571n,bn:16494437n,bn:02710131n,bn:17229307n;championship;5;true;true;0.779;5[o     0.603] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:00286782n,bn:01164471n,bn:16202565n,bn:14823508n,bn:01807567n;championship;5;true;true;0.666;5[o     0.510] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01871019n,bn:03837478n,bn:00200709n,bn:01045456n,bn:03537483n;championship;5;true;true;0.665;5[o     0.506] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:15598560n,bn:02731362n,bn:17102458n,bn:16481999n,bn:01675034n;championship;5;true;true;0.667;5[o     0.517] INSTANCE_OF(X, bn:00017615n)
bn:14048370n,bn:17330594n,bn:01041757n,bn:01862016n,bn:16601438n;championship;5;true;true;0.668;5[o     0.507] INSTANCE_OF(X, bn:00017615n)
bn:16084038n,bn:03307896n,bn:01885351n,bn:03652390n,bn:01523220n;championship;5;true;true;0.667;5[o     0.508] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:00255984n,bn:15336107n,bn:02067141n,bn:02282839n,bn:14926878n;championship;5;true;true;0.78;5[o     0.605] INSTANCE_OF(X, bn:00017615n)
bn:18156541n,bn:14261531n,bn:01458977n,bn:14819071n,bn:01696104n;championship;5;true;true;0.662;5[o     0.565] INSTANCE_OF(X, bn:00017615n)
bn:08417468n,bn:15814926n,bn:21280332n,bn:16258000n,bn:02232423n;championship;5;true;true;0.673;5[o     0.509] INSTANCE_OF(X, bn:00017615n)
bn:15825830n,bn:04115899n,bn:01979308n,bn:01705928n,bn:21676732n;championship;5;true;true;0.778;5[o     0.597] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:04739412n,bn:03793858n,bn:14695978n,bn:02093149n,bn:13882184n;championship;5;true;true;0.665;5[o     0.532] INSTANCE_OF(X, bn:00017615n)
bn:03062379n,bn:02845278n,bn:01367296n,bn:16616497n,bn:03124905n;championship;5;true;true;0.668;5[o     0.510] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01227667n,bn:02595612n,bn:01489001n,bn:17221890n,bn:14819071n;championship;5;true;true;0.785;5[o     0.617] INSTANCE_OF(X, bn:00017615n)
bn:02731362n,bn:00256757n,bn:01972053n,bn:00218446n,bn:00551673n;championship;5;true;true;0.667;5[o     0.509] INSTANCE_OF(X, bn:00017615n)
bn:16473986n,bn:02605602n,bn:02510455n,bn:00636508n,bn:00421236n;championship;5;true;true;0.658;5[o     0.510] INSTANCE_OF(X, bn:00017615n)
bn:10115715n,bn:14005223n,bn:14464045n,bn:01079294n,bn:17102768n;championship;5;true;true;0.666;5[o     0.539] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01324197n,bn:02192334n,bn:16793599n,bn:01856661n,bn:16831228n;championship;5;true;true;0.671;5[o     0.513] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:00965395n,bn:00868162n,bn:02672860n,bn:01890996n,bn:02613926n;championship;5;true;true;0.684;5[o     0.509] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:00259748n,bn:16730788n,bn:02372899n,bn:04746356n,bn:00368434n;championship;5;true;true;0.781;5[o     0.615] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01772517n,bn:02924537n,bn:16034569n,bn:17821436n,bn:01644762n;championship;5;true;true;0.781;5[o     0.621] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:15218330n,bn:14812355n,bn:14827031n,bn:02082997n,bn:01053970n;championship;5;true;true;0.787;5[o     0.606] INSTANCE_OF(X, bn:00017615n)
bn:01062804n,bn:14038225n,bn:17144945n,bn:06470034n,bn:17150996n;championship;5;true;true;0.779;5[o     0.610] INSTANCE_OF(X, bn:00017615n)
bn:02762270n,bn:01035941n,bn:14733362n,bn:02079945n,bn:01581595n;championship;5;true;true;0.667;5[o     0.511] INSTANCE_OF(X, bn:00017615n)
bn:15809656n,bn:02200964n,bn:01041807n,bn:15645866n,bn:00507373n;championship;5;true;true;0.667;5[o     0.521] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:14031321n,bn:16074701n,bn:16081354n,bn:02740356n,bn:00960164n;championship;5;true;true;0.78;5[o     0.605] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:06790600n,bn:02544219n,bn:15619046n,bn:01115479n,bn:01422896n;championship;5;true;true;0.78;5[o     0.621] INSTANCE_OF(X, bn:00017615n)
bn:01107606n,bn:01915771n,bn:16767034n,bn:00994178n,bn:14603931n;championship;5;true;true;0.777;5[o     0.614] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:01045466n,bn:01715853n,bn:16056216n,bn:14844490n,bn:17104490n;championship;5;true;true;0.781;5[o     0.617] INSTANCE_OF(X, bn:00017615n)
bn:04097269n,bn:02321834n,bn:15836961n,bn:01053954n,bn:16848909n;championship;5;true;true;0.778;5[o     0.615] INSTANCE_OF(X, bn:00017615n)
bn:02067322n,bn:15051838n,bn:03327532n,bn:15542779n,bn:15935712n;championship;5;true;true;0.667;5[o     0.516] INSTANCE_OF(X, bn:00017615n)
bn:02750439n,bn:01396574n,bn:03396083n,bn:02895726n,bn:14231967n;championship;5;true;true;0.667;5[o     0.495] INSTANCE_OF(X, bn:00017615n)
bn:03491933n,bn:15288081n,bn:03264014n,bn:03574597n,bn:14160175n;championship;5;true;true;0.782;5[o     0.604] INSTANCE_OF(X, bn:00017615n)
bn:15586012n,bn:15052390n,bn:16091677n,bn:01895663n,bn:00590944n;championship;5;true;true;0.782;5[o     0.609] INSTANCE_OF(X, bn:00017615n), SPORT(X, y_0)
bn:00811974n,bn:00194237n,bn:17646514n,bn:14086628n,bn:16036910n;championship;5;true;true;0.784;5[o     0.597] INSTANCE_OF(X, bn:00017615n)
bn:02120253n,bn:02702943n,bn:15580548n,bn:15269580n,bn:02719338n;championship;5;true;true;0.662;5[o     0.507] INSTANCE_OF(X, bn:00017615n)
bn:13864087n,bn:00218411n,bn:16152942n,bn:15106402n,bn:02093778n;championship;5;true;true;0.667;5[o     0.522] INSTANCE_OF(X, bn:00017615n)
bn:01701572n,bn:18216756n,bn:14495736n,bn:01412468n,bn:01970548n;championship;5;true;true;0.78;5[o     0.610] INSTANCE_OF(X, bn:00017615n)
