UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:14399515n,bn:20243133n;chemical_element;2;true;true;0.664;2[o     0.573] INSTANCE_OF(X, bn:00079109n), INSTANCE_OF(X, bn:00002775n)
bn:00715252n,bn:15514752n;chemical_element;2;true;true;0.658;2[o     0.482] INSTANCE_OF(X, bn:00006835n)
bn:00468489n,bn:06415402n;chemical_element;2;true;true;0.664;2[o     0.557] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00079109n)
bn:16047050n,bn:15268194n;chemical_element;2;true;true;0.661;2[o     0.576] INSTANCE_OF(X, bn:00006835n), INSTANCE_OF(X, bn:00079109n)
bn:06329897n,bn:06363716n;chemical_element;2;true;true;0.659;2[o     0.591] INSTANCE_OF(X, bn:00006835n), INSTANCE_OF(X, bn:00044576n), COUNTRY_OF_CITIZENSHIP(X, bn:00063279n)
bn:02074362n,bn:20243162n;chemical_element;2;true;true;0.557;2[o     0.466] INSTANCE_OF(X, bn:00018105n)
bn:03937168n,bn:20243893n;chemical_element;2;true;true;0.554;2[o     0.481] INSTANCE_OF(X, bn:00011744n), INSTANCE_OF(X, bn:00054550n)
bn:20243382n,bn:02015108n;chemical_element;2;true;true;0.659;2[o     0.479] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00018101n), INSTANCE_OF(X, bn:03263643n)
bn:06367535n,bn:20243013n;chemical_element;2;true;true;0.668;2[o     0.558] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:01227930n), INSTANCE_OF(X, bn:00079109n)
bn:20244692n,bn:03714046n;chemical_element;2;true;true;0.774;2[o     0.591] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00011744n)
bn:10255118n,bn:20245063n;chemical_element;2;true;true;0.545;2[o     0.476] SUBCLASS_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00047677n)
bn:04305627n,bn:03216896n;chemical_element;2;true;true;0.555;2[o     0.475] INSTANCE_OF(X, bn:00002775n)
bn:20243549n,bn:20245159n;chemical_element;2;true;true;0.552;2[o     0.483] SUBCLASS_OF(X, bn:00018105n), INSTANCE_OF(X, bn:00018105n), INSTANCE_OF(X, bn:00047677n)
bn:20244399n,bn:20243609n;chemical_element;2;true;true;0.654;2[o     0.483] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00047677n), SUBCLASS_OF(X, bn:00054550n)
bn:14162961n,bn:20245805n;chemical_element;2;true;true;0.665;2[o     0.582] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00011744n)
bn:15139585n,bn:20244445n;chemical_element;2;true;true;0.656;2[o     0.491] INSTANCE_OF(X, bn:00047677n), INSTANCE_OF(X, bn:00018105n), SUBCLASS_OF(X, bn:00018105n)
bn:01196887n,bn:20245351n;chemical_element;2;true;true;0.664;2[o     0.580] INSTANCE_OF(X, bn:00054550n), INSTANCE_OF(X, bn:00011744n)
