UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:14966379n,bn:16031243n,bn:04128875n,bn:02692947n,bn:01444636n,bn:03520288n;company;6;true;true;0.658;6[o     0.516] INSTANCE_OF(X, bn:00014137n)
bn:00963050n,bn:00689490n,bn:03694019n,bn:01270635n,bn:02772663n,bn:01056277n;company;6;true;true;0.661;6[o     0.498] INSTANCE_OF(X, bn:00014137n)
bn:02588266n,bn:00265568n,bn:15825682n,bn:01002885n,bn:00474131n,bn:01755347n;company;6;true;true;0.655;6[o     0.577] INSTANCE_OF(X, bn:00014137n)
bn:00517960n,bn:16731431n,bn:03571129n,bn:01140054n,bn:03101849n,bn:01840610n;company;6;true;true;0.655;6[o     0.487] INSTANCE_OF(X, bn:00021286n)
bn:03815755n,bn:02034247n,bn:14763432n,bn:16153846n,bn:06266206n,bn:00490751n;company;6;true;true;0.663;6[o     0.523] INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:15671151n,bn:03276982n,bn:01092790n,bn:01980351n,bn:00849885n,bn:05147365n;company;6;true;true;0.659;6[o     0.482] INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00064914n)
bn:03883755n,bn:00621005n,bn:03421590n,bn:00276265n,bn:03432310n,bn:02465831n;company;6;true;true;0.668;6[o     0.497] INSTANCE_OF(X, bn:00014137n)
bn:00756235n,bn:14453007n,bn:15868862n,bn:15536445n,bn:01994441n,bn:03209838n;company;6;true;true;0.658;6[o     0.570] INSTANCE_OF(X, bn:00014137n)
bn:01485160n,bn:00570719n,bn:08045863n,bn:00375072n,bn:00491672n,bn:01316356n;company;6;true;true;0.661;6[o     0.486] INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03744391n,bn:07590213n,bn:00614299n,bn:02604227n,bn:02696659n,bn:02522125n;company;6;true;true;0.661;6[o     0.522] INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
