UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:03539125n,bn:03530261n,bn:03503010n;comune;3;true;true;0.777;3[o     0.643] LOCATED_IN_TIME_ZONE(X, bn:01623792n), COUNTRY(X, bn:00047705n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:03471575n,bn:03501637n,bn:03537768n;comune;3;true;true;0.776;3[o     0.654] LOCATED_IN_TIME_ZONE(X, bn:01624321n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), COUNTRY(X, bn:00047705n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:03523039n,bn:03522076n,bn:03504537n;comune;3;true;true;0.778;3[o     0.646] INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), COUNTRY(X, bn:00047705n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:03519309n,bn:03528114n,bn:03522146n;comune;3;true;true;0.774;3[o     0.651] INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), COUNTRY(X, bn:00047705n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:03527851n,bn:03420794n,bn:03537980n;comune;3;true;true;0.765;3[o     0.649] COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), INSTANCE_OF(X, bn:03219144n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:00852310n,bn:03537917n,bn:03420441n;comune;3;true;true;0.768;3[o     0.650] LOCATED_IN_TIME_ZONE(X, bn:01623792n), INSTANCE_OF(X, bn:03219144n), COUNTRY(X, bn:00047705n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0)
bn:03420512n,bn:00157838n,bn:03467237n;comune;3;true;true;0.766;3[o     0.649] INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), SHARES_BORDER_WITH(X, y_1)
bn:03423669n,bn:03502442n,bn:03422580n;comune;3;true;true;0.776;3[o     0.651] COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:02730187n,bn:03470320n,bn:03536734n;comune;3;true;true;0.781;3[o     0.652] LOCATED_IN_TIME_ZONE(X, bn:01624321n), COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), SHARES_BORDER_WITH(X, y_1)
bn:03424597n,bn:03448629n,bn:01823570n;comune;3;true;true;0.768;3[o     0.659] LOCATED_IN_TIME_ZONE(X, bn:01623792n), COUNTRY(X, bn:00047705n), INSTANCE_OF(X, bn:03219144n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:03420828n,bn:03519188n,bn:03531840n;comune;3;true;true;0.782;3[o     0.637] COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), SHARES_BORDER_WITH(X, y_1)
bn:01080169n,bn:03529905n,bn:03672874n;comune;3;true;true;0.779;3[o     0.645] LOCATED_IN_TIME_ZONE(X, bn:01624321n), COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), SHARES_BORDER_WITH(X, y_1)
bn:03518723n,bn:03492958n,bn:03538053n;comune;3;true;true;0.769;3[o     0.647] INSTANCE_OF(X, bn:03219144n), COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:02606125n,bn:03501697n,bn:03527683n;comune;3;true;true;0.777;3[o     0.642] LOCATED_IN_TIME_ZONE(X, bn:01623792n), INSTANCE_OF(X, bn:03219144n), COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), SHARES_BORDER_WITH(X, y_0), SISTER_CITY(X, y_1), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_2)
bn:03536914n,bn:03519640n,bn:01117988n;comune;3;true;true;0.774;3[o     0.660] COUNTRY(X, bn:00047705n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), SHARES_BORDER_WITH(X, y_1)
bn:03538169n,bn:01131235n,bn:03423453n;comune;3;true;true;0.765;3[o     0.648] LOCATED_IN_TIME_ZONE(X, bn:01623792n), INSTANCE_OF(X, bn:03219144n), COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), SHARES_BORDER_WITH(X, y_1)
bn:03423448n,bn:03208657n,bn:03447490n;comune;3;true;true;0.776;3[o     0.639] LOCATED_IN_TIME_ZONE(X, bn:01624321n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), INSTANCE_OF(X, bn:00077773n), INSTANCE_OF(X, bn:03219144n), COUNTRY(X, bn:00047705n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:03519185n,bn:03504433n,bn:03420182n;comune;3;true;true;0.775;3[o     0.649] LOCATED_IN_TIME_ZONE(X, bn:01623792n), COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), SHARES_BORDER_WITH(X, y_1)
bn:03420832n,bn:03519212n,bn:03518992n;comune;3;true;true;0.768;3[o     0.635] INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), LOCATED_IN_TIME_ZONE(X, bn:01623792n), COUNTRY(X, bn:00047705n), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_0), SHARES_BORDER_WITH(X, y_1)
bn:03538268n,bn:03530460n,bn:03522344n;comune;3;true;true;0.764;3[o     0.668] LOCATED_IN_TIME_ZONE(X, bn:01623792n), COUNTRY(X, bn:00047705n), INSTANCE_OF(X, bn:03219144n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
bn:03519843n,bn:03522152n,bn:03498191n;comune;3;true;true;0.777;3[o     0.644] LOCATED_IN_TIME_ZONE(X, bn:01623792n), INSTANCE_OF(X, bn:03219144n), COUNTRY(X, bn:00047705n), LOCATED_IN_TIME_ZONE(X, bn:01624321n), SHARES_BORDER_WITH(X, y_0), LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY(X, y_1)
