UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:01284438n,bn:01743386n,bn:12991050n;dialect;3;true;true;0.666;3[o     0.494] INSTANCE_OF(X, bn:00000640n)
bn:17458509n,bn:00069785n,bn:02906386n;dialect;3;true;true;0.663;3[o     0.510] SUBCLASS_OF(X, bn:00046524n), INSTANCE_OF(X, bn:00000640n)
bn:12993181n,bn:03165036n,bn:02838357n;dialect;3;true;true;0.666;3[o     0.496] INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00046524n)
bn:02914683n,bn:02545550n,bn:01761173n;dialect;3;true;true;0.664;3[o     0.494] INSTANCE_OF(X, bn:00000640n)
bn:03434324n,bn:10507196n,bn:01250283n;dialect;3;true;true;0.665;3[o     0.498] INSTANCE_OF(X, bn:00000640n)
bn:01802134n,bn:01953056n,bn:01837111n;dialect;3;true;true;0.664;3[o     0.497] INSTANCE_OF(X, bn:00000640n)
bn:01011899n,bn:02923522n,bn:15405870n;dialect;3;true;true;0.659;3[o     0.498] INSTANCE_OF(X, bn:00000640n)
bn:01911170n,bn:02831486n,bn:15891278n;dialect;3;true;true;0.661;3[o     0.504] INSTANCE_OF(X, bn:00000640n)
bn:02706876n,bn:15428234n,bn:03865712n;dialect;3;true;true;0.664;3[o     0.493] INSTANCE_OF(X, bn:00000640n)
bn:07729013n,bn:17143130n,bn:03706761n;dialect;3;true;true;0.664;3[o     0.501] INSTANCE_OF(X, bn:00000640n)
bn:14485811n,bn:07346025n,bn:16625754n;dialect;3;true;true;0.662;3[o     0.501] INSTANCE_OF(X, bn:00000640n), SUBCLASS_OF(X, bn:00046524n)
bn:15246300n,bn:16575296n,bn:00645128n;dialect;3;true;true;0.662;3[o     0.506] INSTANCE_OF(X, bn:01883565n), INSTANCE_OF(X, bn:00000640n)
bn:17458509n,bn:17383833n,bn:15682707n;dialect;3;true;true;0.665;3[o     0.500] INSTANCE_OF(X, bn:00000640n)
bn:00742122n,bn:02520164n,bn:01050626n;dialect;3;true;true;0.663;3[o     0.500] INSTANCE_OF(X, bn:00000640n)
bn:08632215n,bn:14760476n,bn:01510853n;dialect;3;true;true;0.662;3[o     0.509] INSTANCE_OF(X, bn:00000640n), INSTANCE_OF(X, bn:01883565n)
bn:03253170n,bn:02978032n,bn:01065742n;dialect;3;true;true;0.663;3[o     0.496] INSTANCE_OF(X, bn:00000640n)
bn:02681370n,bn:13994760n,bn:03662296n;dialect;3;true;true;0.662;3[o     0.495] INSTANCE_OF(X, bn:00000640n)
