UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:15923271n,bn:15386227n;film;2;true;true;0.551;2[o     0.482] INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), CAST_MEMBER(X, y_1), DIRECTOR(X, y_2), ORIGINAL_LANGUAGE_OF_WORK(X, y_3)
bn:03639402n,bn:14005134n;film;2;true;true;0.672;2[o     0.508] INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0), COUNTRY_OF_ORIGIN(X, y_1), CAST_MEMBER(X, y_2), GENRE(X, y_3)
bn:00977590n,bn:16220521n;film;2;true;true;0.662;2[o     0.501] INSTANCE_OF(X, bn:00034471n), CAST_MEMBER(X, y_0), GENRE(X, y_1), COUNTRY_OF_ORIGIN(X, y_2), DIRECTOR(X, y_3), ORIGINAL_LANGUAGE_OF_WORK(X, y_4)
bn:14519136n,bn:17258013n;film;2;true;true;0.555;2[o     0.489] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:14933078n,bn:16175421n;film;2;true;true;0.659;2[o     0.490] ORIGINAL_LANGUAGE_OF_WORK(X, bn:00030862n), INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:14771422n,bn:02341773n;film;2;true;true;0.667;2[o     0.593] INSTANCE_OF(X, bn:00076732n), INSTANCE_OF(X, bn:00000318n), INSTANCE_OF(X, bn:00001172n), INSTANCE_OF(X, bn:00020457n), INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), DIRECTOR(X, y_1), COUNTRY_OF_ORIGIN(X, y_2), CAST_MEMBER(X, y_3)
bn:15634233n,bn:03889292n;film;2;true;true;0.663;2[o     0.490] INSTANCE_OF(X, bn:00034471n), DIRECTOR_OF_PHOTOGRAPHY(X, y_0), COMPOSER(X, y_1), ORIGINAL_LANGUAGE_OF_WORK(X, y_2), CAST_MEMBER(X, y_3), DIRECTOR(X, y_4), COUNTRY_OF_ORIGIN(X, y_5)
bn:08973177n,bn:16233568n;film;2;true;true;0.666;2[o     0.486] INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, bn:00030862n), COUNTRY_OF_ORIGIN(X, bn:00003341n), DIRECTOR(X, y_0)
bn:04972506n,bn:02310434n;film;2;true;true;0.666;2[o     0.518] INSTANCE_OF(X, bn:00076429n), INSTANCE_OF(X, bn:00034471n)
bn:03536267n,bn:14633654n;film;2;true;true;0.665;2[o     0.488] INSTANCE_OF(X, bn:00034471n)
